cleaningDay,first_clean_day,tau_offset_days,p_wash,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff
60,20,40,0.9,0.02,2.605263157894737,2.259895702927991,2.852094699370507,0.07233339330989848,0.059364820298652074,22.50364717948628,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.025,3.02280701754386,2.7403545107455245,3.269912623867626,0.07057547279490341,0.04745441139163924,27.653415942981038,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.03,3.2017543859649127,2.9279684110152524,3.4113241034662334,0.050558872142021066,0.02969534658740865,28.731208149897952,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.035,3.6192982456140355,3.4270144104586544,3.7806640893911716,0.2915837278764809,0.16845872100353332,32.33962165222121,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.04,3.977192982456141,3.832007014108796,4.101691010118544,0.6969031562619075,0.307708761826736,37.71016673827059,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.045,4.185964912280702,4.072182083868923,4.297675930407643,0.9605944327136783,0.3729896879528847,41.83691364651276,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.05,4.3350877192982455,4.203888812311469,4.430243157064576,1.2549138188047524,0.4087538086332532,47.135560170808226,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.055,4.514035087719298,4.410288366983114,4.5793062832093065,2.3249011904172114,0.6085979340479103,51.329820440741216,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.06,4.573684210526316,4.468206640049251,4.648557660478478,2.4510811239672807,0.6199991223928376,55.386659579912454,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.02,2.5754385964912285,2.2675859006916337,2.8297076743800944,0.11437456038115662,0.07936236164680062,26.99532099285284,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.025,2.963157894736842,2.719945487509595,3.1313949328872486,0.14810709071366307,0.09234782576396058,28.91801487301873,9,0.1,12.0,400,400,0.9
