beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0
0.01,1.3177257525083612,1.0144079154765506,1.5336140845419999,0.033260060220995175,0.051289174556151604,15.686859306475366,9,140
0.015,1.9866220735785953,1.749347959123635,2.168918642290937,0.07655329363788858,0.0645688385973286,26.06116210852844,9,140
0.02,2.4214046822742477,2.2477470685898804,2.55794544255688,0.33158671909824283,0.1646352944366885,32.09202257929364,9,140
0.025,2.722408026755853,2.5957143071298048,2.834660243630391,0.6812966879709643,0.30319601237376376,36.92247004026361,9,140
0.03,3.0066889632107023,2.9009551869082095,3.097438038908667,1.808322815851593,0.5798031995822436,45.5602336307399,9,140
0.035,3.2240802675585285,3.1346793341886126,3.312118074472636,2.8650042965521183,0.7586502317142549,52.48752396244104,9,140
0.04,3.508361204013378,3.4222749163155894,3.57697431222778,4.676097140999694,0.9529755539533282,60.23225043967052,9,140
0.045,3.74247491638796,3.656863361849136,3.810960883584398,9.095282467566307,1.1802859507927717,70.78768663553296,9,140
0.05,3.94314381270903,3.8450088215923968,4.032541744488632,9.68512612084016,1.0806040341686498,73.03968927963106,9,140
0.055,4.210702341137123,4.114756570827208,4.316800014835007,12.01782090723936,1.0711056902106726,76.62499827119872,9,140
0.06,4.561872909698996,4.426825541157872,4.677249108708667,13.665615143062372,1.0533291176771262,81.44455914077267,9,140
0.065,4.846153846153846,4.711946660907327,4.969823655059852,9.936410569048725,0.7461354746489898,78.12540334923297,9,140
0.07,5.51505016722408,5.357630029610631,5.669387014798174,4.691837195626613,0.39887138795126825,78.61717646546187,9,140
