beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0
0.01,1.5183946488294313,1.2335174794024992,1.7318100151953704,0.03526524980572996,0.03468653211416011,20.115290637200083,9,140
0.015,1.903010033444816,1.6739117647316142,2.0790265279619193,0.09890249990627115,0.07623506558724617,25.298581860370724,9,140
0.02,2.37123745819398,2.1968500974354366,2.4961736621722133,0.308949629729554,0.15775018831017112,32.02651251197684,9,140
0.025,2.688963210702341,2.5626861984303106,2.7776266530530167,0.8152696141041741,0.351728048110124,37.18180669986055,9,140
0.03,2.8561872909698995,2.748391284533813,2.9358790809033395,1.3105947316765756,0.5043345202998685,41.80526837224267,9,140
0.035,3.140468227424749,3.0599572669214297,3.204570250761861,2.9677621266386986,0.8714126433204132,52.15260106980809,9,140
0.04,3.3578595317725752,3.2811100038042764,3.421588472324665,4.794767387855104,1.021341650828736,60.40807983892132,9,140
0.045,3.4080267558528425,3.324388680790856,3.48245438317787,5.137743536880117,0.991091459481967,63.23880382225,9,140
0.05,3.709030100334448,3.632387550431684,3.793896255529757,8.742940961659714,1.1365860165732016,71.42721804070861,9,140
0.055,4.0602006688963215,3.9567662188691703,4.156611810560104,11.03464001175955,1.1806064625823693,77.44675402644255,9,140
0.06,4.327759197324415,4.212124643203448,4.435249964282713,10.677483103448647,0.9140088177779959,75.03318130204443,9,140
0.065,4.7959866220735785,4.67709902249826,4.9179724187545775,4.4076800069419555,0.608624816174728,72.56265495272001,9,140
0.07,5.1638795986622075,5.0048544575117,5.328160500858243,5.285576463678406,0.5391441391532646,76.84534672423514,9,140
