handwash,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff
0.8,0.02,1.885964912,1.795659075,1.954639243,0.554622517,0.18979306,38.92925254,9,140,0.5,7.5,400,400,0.9
0.8,0.025,2.078947368,2.010797826,2.135606458,1.80301294,0.482979756,47.21254619,9,140,0.5,7.5,400,400,0.9
0.8,0.03,2.271929825,2.217767628,2.317461376,3.85717549,0.839868554,55.8660526,9,140,0.5,7.5,400,400,0.9
0.8,0.035,2.48245614,2.428127286,2.535547959,6.881220939,0.904444908,65.39274061,9,140,0.5,7.5,400,400,0.9
0.8,0.04,2.710526316,2.635585826,2.766723722,9.089653108,0.879605893,70.9216464,9,140,0.5,7.5,400,400,0.9
0.8,0.045,3.078947368,3.005208307,3.158299651,6.02760357,0.57787061,73.22211852,9,140,0.5,7.5,400,400,0.9
0.8,0.05,3.394736842,3.294754858,3.484218962,10.71898855,0.585036269,77.72084226,9,140,0.5,7.5,400,400,0.9
0.8,0.055,3.833333333,3.729673107,3.922319693,7.753281301,0.414848256,77.13340086,9,140,0.5,7.5,400,400,0.9
0.8,0.06,4.429824561,4.323246445,4.526759354,17.31556314,0.727453686,80.68703083,9,140,0.5,7.5,400,400,0.9
0.9,0.02,2.324561404,2.134469173,2.472651964,0.359461684,0.202733881,31.34327838,9,140,0.5,7.5,400,400,0.9
0.9,0.025,2.798245614,2.673485569,2.898718358,0.922108763,0.382398123,38.71572872,9,140,0.5,7.5,400,400,0.9
0.9,0.03,3.00877193,2.902120069,3.098275943,1.744494151,0.526739469,45.20202693,9,140,0.5,7.5,400,400,0.9
0.9,0.035,3.201754386,3.10620337,3.267549646,3.04622568,0.809758736,51.3498708,9,140,0.5,7.5,400,400,0.9
0.9,0.04,3.48245614,3.409663091,3.554642918,4.904593646,0.978559874,60.08412191,9,140,0.5,7.5,400,400,0.9
0.9,0.045,3.728070175,3.650092171,3.802627585,7.8466854,1.098108415,68.04721548,9,140,0.5,7.5,400,400,0.9
0.9,0.05,4.026315789,3.929633841,4.112034708,10.91507198,1.08499618,74.25007113,9,140,0.5,7.5,400,400,0.9
0.9,0.055,4.254385965,4.156001204,4.34708384,11.69008227,1.058903009,75.52713258,9,140,0.5,7.5,400,400,0.9
0.9,0.06,4.447368421,4.319765695,4.555261974,13.59094096,1.044269246,79.77780203,9,140,0.5,7.5,400,400,0.9
0.95,0.02,2.903508772,2.592713482,3.149848278,0.137615374,0.107571285,25.16807075,9,140,0.5,7.5,400,400,0.9
0.95,0.025,3.622807018,3.395901931,3.817621993,0.464727721,0.241889389,33.33526891,9,140,0.5,7.5,400,400,0.9
0.95,0.03,4.131578947,3.955164774,4.269317973,1.400912606,0.514682563,41.31605566,9,140,0.5,7.5,400,400,0.9
0.95,0.035,4.289473684,4.128438481,4.411215262,1.935522884,0.663926911,44.74081632,9,140,0.5,7.5,400,400,0.9
0.95,0.04,4.622807018,4.487180492,4.739927879,2.884070019,0.762118115,51.54222471,9,140,0.5,7.5,400,400,0.9
0.95,0.045,4.833333333,4.70685774,4.934022323,4.507972142,0.985424109,58.371091,9,140,0.5,7.5,400,400,0.9
0.95,0.05,4.99122807,4.87807495,5.105917863,6.207578409,1.172099093,65.54442478,9,140,0.5,7.5,400,400,0.9
0.95,0.055,5.359649123,5.252660529,5.453723534,8.877776129,1.551596089,76.95382108,9,140,0.5,7.5,400,400,0.9
0.95,0.06,5.5,5.37257567,5.611377463,10.1658778,1.328137462,76.08284262,9,140,0.5,7.5,400,400,0.9
0.99,0.02,6.600250627,6.5,7.164734525,0.141084856,0.102727474,25.07644187,9,140,6.5,11.5,400,400,0.9
0.99,0.025,7.540100251,6.965023458,7.995605538,0.378977004,0.243079143,28.64396208,9,140,6.5,11.5,400,400,0.9
0.99,0.03,8.542606516,8.099178965,8.913353176,0.719660678,0.376144563,33.67931979,9,140,6.5,11.5,400,400,0.9
0.99,0.035,8.655388471,8.152853343,9.053590886,0.939891553,0.391258636,37.10977271,9,140,6.5,11.5,400,400,0.9
0.99,0.04,9.55764411,9.225461237,9.845297809,1.485448243,0.600622336,40.78244945,9,140,6.5,11.5,400,400,0.9
0.99,0.045,10.15914787,9.84572952,10.42006603,2.506941339,0.783957971,48.2772141,9,140,6.5,11.5,400,400,0.9
0.99,0.05,10.61027569,10.31596954,10.85489488,3.573706364,0.903269776,53.96533986,9,140,6.5,11.5,400,400,0.9
0.99,0.055,11.0112782,10.77188998,11.23020089,4.809076081,1.271199014,61.90243848,9,140,6.5,11.5,400,400,0.9
0.99,0.06,11.11152882,10.88119699,11.30841642,6.106332488,1.472467663,67.81466541,9,140,6.5,11.5,400,400,0.9
