isolation_time,surrogate_isol_time_mean,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0,cleaningDay,p_wash,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff
6,3.0,0.02,2.456140350877193,2.292598989158056,2.5888291267458357,0.4786257266610195,0.25719076170596983,32.44034173897474,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.025,2.8140350877192986,2.683135802712958,2.9148464906438845,1.0076044496337266,0.3933290853240262,39.433459814513895,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.03,2.9929824561403513,2.9013460966662192,3.083920732678659,1.527393163637695,0.5594022561514562,43.000665264998936,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.035,3.26140350877193,3.1720514191153617,3.3522777803154864,2.41511891713921,0.6056193651097369,51.9047020389864,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.04,3.3807017543859654,3.285875682023102,3.4464937000910885,4.3677095568763695,0.9976478672931443,58.7735728062554,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.045,3.708771929824562,3.623109870480168,3.779527617859494,8.039584914424111,1.2447475412517082,70.76342175220653,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.05,3.828070175438597,3.7449640479847432,3.930812220236165,9.35526148885744,1.1985810685531382,74.8569750917307,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.055,4.185964912280702,4.082924941871994,4.287522399753609,12.773059117212348,1.2236779191179876,80.03518271826279,9,140,180,0.9,0.1,12.0,400,400,0.9
6,3.0,0.06,4.663157894736842,4.538694433290931,4.778031739793909,15.22563329206021,1.0240619430901068,80.35358238570174,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.02,2.336842105263158,2.168858477629512,2.486640460602567,0.42963959105802446,0.23991675363831252,30.942926615375686,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.025,2.635087719298246,2.4914910099850207,2.745285608778708,0.5972833416750742,0.29733006410823337,35.10828184849903,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.03,2.903508771929825,2.7982315134593128,2.998519234258999,1.4865007407997166,0.5788889373963173,42.12062265564904,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.035,3.2017543859649127,3.1008177117036513,3.271938381239454,2.6897532632640635,0.7305737152732131,50.43027839071031,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.04,3.4403508771929827,3.3747409599791385,3.5150160268151116,4.499420159890594,1.0109448596985107,59.18052079712206,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.045,3.6192982456140355,3.5306195250133294,3.6871958363307393,6.655179683076565,1.1319661123522327,67.00930132094966,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.05,3.8578947368421055,3.7516858428166815,3.930780760693368,10.180657987327814,1.1310635378357716,73.2395305984934,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.055,4.036842105263158,3.926974616780839,4.15619363921313,10.101949403520003,1.0021814642831697,76.30899520428115,9,140,180,0.9,0.1,12.0,400,400,0.9
14,7.0,0.06,4.424561403508772,4.3182504541219275,4.556350958912707,13.644146728160232,1.1795384000842475,82.70804602101497,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.02,2.4263157894736844,2.25113994745274,2.5555019848178633,0.17930979840880298,0.09909587853941965,31.34051971145121,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.025,2.664912280701755,2.543364300500176,2.7890034472701566,0.802219571291289,0.4056600735633876,36.4735463229283,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.03,2.9929824561403513,2.9013251221779286,3.0901128513952005,1.6659067595306898,0.5473289154993327,44.29072819839975,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.035,3.142105263157895,3.063598671302726,3.2301862254877856,2.491851950633005,0.7347245628585329,49.475424283751146,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.04,3.529824561403509,3.4472701882202994,3.607021416912799,5.591998449545794,0.9632248939045717,62.31763425899374,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.045,3.6192982456140355,3.531892451950016,3.701369496586661,7.025428473186636,1.1063434601966182,68.3599138180492,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.05,3.828070175438597,3.7263551772190517,3.8996704032520957,9.050592056501138,1.0974551352119997,71.58084324746493,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.055,4.21578947368421,4.113326351551411,4.327010507770253,11.847309163388699,1.0391296001103734,76.96873181093903,9,140,180,0.9,0.1,12.0,400,400,0.9
20,10.0,0.06,4.484210526315789,4.35356179645008,4.599911021238789,13.210022895818518,0.945699016605638,79.04764184938779,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.02,2.336842105263158,2.1751755112580535,2.483256783541854,0.3300774624785014,0.20038728461563532,30.285143624766572,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.025,2.78421052631579,2.6728729409339427,2.8920132223976283,0.8994922609595167,0.35713876908946374,37.99482868443608,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.03,3.1122807017543863,3.002646806492044,3.1801792697191624,1.9351300568842011,0.5191275698337432,46.065985464575895,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.035,3.1122807017543863,3.0410684212967714,3.2011897843630726,2.622033559189672,0.8457191824283072,49.638166484404266,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.04,3.3807017543859654,3.304271235861838,3.462173114268696,4.790521664184162,1.0279378790139568,60.75990930484233,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.045,3.6192982456140355,3.534305097413747,3.6842091747654453,7.153679222986769,1.1681751631511197,67.63502319443164,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.05,3.8877192982456146,3.7937342017170264,3.96875186674877,9.960319226762918,1.1174684828388957,73.0033179606569,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.055,4.066666666666666,3.960328394320944,4.159116518119835,10.383547303717739,1.0213598247997537,74.04668913938369,9,140,180,0.9,0.1,12.0,400,400,0.9
28,14.0,0.06,4.484210526315789,4.375631150057095,4.592116088071052,12.93483815006357,1.017713480839661,78.4756255797969,9,140,180,0.9,0.1,12.0,400,400,0.9
