beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0
0.01,1.3160535117056855,1.3065486571223612,1.3251118174235033,0.03311446982862211,-37.788081675535736,9,140
0.015,1.9933110367892977,1.9800702116285716,2.0005898109852747,0.07605815347139884,-21.989051895860264,9,140
0.02,2.414715719063545,2.390580048946034,2.437566812426262,0.3283898041823911,5.802307103052616,9,140
0.025,2.7157190635451505,2.6862888191682357,2.7445783077539803,0.6778415321657962,19.571838943028176,9,140
0.03,2.9866220735785953,2.944938444844409,3.0353184187018996,1.789753600722202,38.01931331673438,9,140
0.035,3.197324414715719,3.1523673642640953,3.2436788016745695,2.7766443388410154,46.36345152953586,9,140
0.04,3.468227424749164,3.4179065372075756,3.502295751039691,4.100614870906408,53.77143381950624,9,140
0.045,3.6939799331103678,3.6301716304007483,3.75760376145774,8.573836854856287,67.78542359284617,9,140
0.05,3.859531772575251,3.8140277371861333,3.909593911688728,7.481208834172902,65.19532549862761,9,140
0.055,4.130434782608695,4.074542225206168,4.180584392287751,9.617298286289039,69.96753638532853,9,140
0.06,4.446488294314381,4.403820527852189,4.483007497747651,7.8272963751458295,66.05455816795642,9,140
0.065,4.762541806020067,4.735714316781537,4.794451649892707,6.019747788165088,61.065694023888184,9,140
0.07,5.48494983277592,5.467579013200122,5.5,3.761662726809444,52.13219254127271,9,140
