cleaningDay,first_clean_day,tau_offset_days,p_wash,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff
60,20,40,0.9,0.02,2.5754385964912285,2.233551037268678,2.8418846062973593,0.03108913093669434,0.026666527897700087,22.686601381236922,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.025,2.9333333333333336,2.6342963618248714,3.1619420099192266,0.10700339385349193,0.07818387581991365,25.84603231300532,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.03,3.3807017543859654,3.122596969317351,3.564147476018993,0.2005311085714996,0.11392857562920984,30.755385862773185,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.035,3.708771929824562,3.49312311337025,3.8575241257612403,0.362342691230191,0.17161446929966187,34.74425861429926,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.04,3.8877192982456146,3.68052702133273,4.035495414195966,0.5469719079673109,0.2035042295798117,39.38577197447784,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.045,4.126315789473685,3.990728529081445,4.227229935022189,0.9769685438984144,0.43416301438541205,40.570566153987286,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.05,4.3052631578947365,4.199568811655559,4.4020809657088265,1.4581409522733142,0.5177753943825574,45.55446373573453,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.055,4.484210526315789,4.374110567022677,4.560390758949743,1.8534595263359754,0.5284406289027467,50.86662893669055,9,0.1,12.0,400,400,0.9
60,20,40,0.9,0.06,4.573684210526316,4.467865686067576,4.641445409204626,2.6765395377257994,0.688974585033128,55.22639567882363,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.02,2.515789473684211,2.2219702701171373,2.756580263773905,0.028574237216372637,0.02029276974381706,24.48829657872736,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.025,3.02280701754386,2.786935761079225,3.2052323753536958,0.21794692908275753,0.1279431432898262,31.161599284943478,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.03,3.2315789473684213,3.0399834330462903,3.394898380973291,0.29311122849516447,0.16284723333661535,33.80814400203718,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.035,3.5596491228070177,3.3884837127298533,3.670865207509319,0.6685040050571954,0.260687672101678,39.66984491702818,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.04,3.7684210526315796,3.6378072359742797,3.862270527504677,1.0003563097282795,0.36072136645023833,43.96660935569363,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.045,3.947368421052632,3.8632211214660344,4.041142887921009,1.9064215977835965,0.5679929405129887,49.681147257590474,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.05,4.066666666666666,3.9812892315151003,4.152681241970757,3.0820735062604347,0.6714564252757903,55.66505343732889,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.055,4.245614035087719,4.14905545886859,4.305904992477216,4.48266908612306,0.7873018032595704,61.5092795181213,9,0.1,12.0,400,400,0.9
90,20,70,0.9,0.06,4.3052631578947365,4.229740150171391,4.384190927654025,5.639236314052873,0.937660142127256,66.67217384069878,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.02,2.4263157894736844,2.233262147679462,2.5777532054839467,0.3319727679564213,0.212586848574091,29.34010145719179,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.025,2.8140350877192986,2.666617661708827,2.9159515706207224,0.8293467663588505,0.3635771075341119,36.768737595347574,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.03,2.9929824561403513,2.8722159887997107,3.096087132391727,1.3094615261575904,0.4670955034288258,42.59188203305499,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.035,3.2017543859649127,3.114373742451085,3.2953377898279137,2.2836219401734925,0.6231379358352216,48.55976053032041,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.04,3.3807017543859654,3.2961302363382887,3.4708058952885374,3.4254998413108995,0.7684114886465673,55.365509257946215,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.045,3.6192982456140355,3.5125781310956206,3.6953473649447877,5.513002325599362,0.7982678049317817,61.89560562431993,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.05,3.828070175438597,3.7289767462439647,3.921665687491229,8.218433694591516,0.959754363057128,69.85340280520822,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.055,4.007017543859649,3.904598355251075,4.119751334897,9.08687074899532,0.9201674416419054,73.34331757257712,9,0.1,12.0,400,400,0.9
180,20,160,0.9,0.06,4.424561403508772,4.292218205745649,4.543219040360533,9.617609327784237,0.806373752496357,76.28501333825865,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.02,2.2473684210526317,2.1186401275801376,2.367705443404189,0.5973457213890018,0.32371794672592874,33.22112019655622,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.025,2.5754385964912285,2.452444148804808,2.652619635048723,1.3162667908384365,0.473238467395881,40.465269923821765,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.03,2.843859649122807,2.751685615118699,2.9220483237890855,2.75751344629104,0.7391657730514797,50.13556821725596,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.035,3.0824561403508777,2.9835186962784244,3.1751414281863366,3.7499018367705563,0.7894335250471894,57.04409121242772,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.04,3.3210526315789477,3.2196749695739104,3.4336861411690935,4.9414110727882035,0.8319554128951039,63.80624961698866,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.045,3.6192982456140355,3.5092788119393328,3.733972994978057,5.4571962884601435,0.7533407215157358,66.51374106322267,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.05,3.7684210526315796,3.639502337360669,3.8927631637982705,6.838339464029573,0.8760124772262533,71.77818250377176,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.055,4.245614035087719,4.111830833602543,4.401433993367866,4.570057383548825,0.6050701809634724,74.02522975841246,9,0.1,12.0,400,400,0.9
360,20,340,0.9,0.06,4.752631578947368,4.598853495434837,4.9029685182192875,6.400314632814813,0.5033955060890466,76.37773264918556,9,0.1,12.0,400,400,0.9
