handwash,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
0.8,0.02,1.809762202753442,1.7449428383351702,1.850804183105339,1.2731380740067773,0.43468171863721033,70.67154676060852,2,60,0.5,12.0,800,800,0.9,B
0.8,0.025,2.0400500625782225,2.0146476615052085,2.071088311939749,2.3614075821917,0.43075628795873183,86.86718028767426,2,60,0.5,12.0,800,800,0.9,B
0.8,0.03,2.270337922403004,2.249071402324286,2.292688927381305,2.208420489892022,0.3718727725497451,109.64749489227559,2,60,0.5,12.0,800,800,0.9,B
0.8,0.035,2.471839799749687,2.4468809640553033,2.4972033930634705,2.0580406123060393,0.197816509873889,121.26853184597887,2,60,0.5,12.0,800,800,0.9,B
0.8,0.04,2.7453066332916145,2.7200430340942723,2.7781188741899663,4.861966344257771,0.23526819414386338,129.11904717617827,2,60,0.5,12.0,800,800,0.9,B
0.8,0.045,3.061952440550688,3.01594259654822,3.094754496233099,15.967790768093252,0.6242036086839652,146.12013037323777,2,60,0.5,12.0,800,800,0.9,B
0.8,0.05,3.565707133917397,3.5180822598581436,3.6056874466231896,25.713593807774156,1.1323799049018872,164.2613721933862,2,60,0.5,12.0,800,800,0.9,B
0.8,0.055,4.112640801001252,4.06341760810086,4.16732867749398,27.279798252838507,1.360232653401988,174.76867175897692,2,60,0.5,12.0,800,800,0.9,B
0.8,0.06,4.630788485607009,4.574513937196486,4.690313706929131,27.255571997765493,1.4824918170649852,179.2513546731712,2,60,0.5,12.0,800,800,0.9,B
0.9,0.02,2.19837296620776,2.0198390290767194,2.325629879384591,0.41518122751908665,0.25460257613380466,52.33037276368749,2,60,0.5,12.0,800,800,0.9,B
0.9,0.025,2.55819774718398,2.4489586299484665,2.635014171289617,0.690594486896857,0.3074448393388133,61.18166254461232,2,60,0.5,12.0,800,800,0.9,B
0.9,0.03,2.9036295369211516,2.84565117649253,2.9494029571982594,1.2717189599571248,0.324707629496397,75.84903794271041,2,60,0.5,12.0,800,800,0.9,B
0.9,0.035,3.1339173967459324,3.0985274814773627,3.1732431304653277,0.8678624465780322,0.14635236273455218,90.02252529274135,2,60,0.5,12.0,800,800,0.9,B
0.9,0.04,3.2058823529411766,3.1788691916484053,3.2428688013092577,1.4629374084786235,0.36017494983927884,94.49367024119401,2,60,0.5,12.0,800,800,0.9,B
0.9,0.045,3.479349186483104,3.440074313889433,3.505880200837642,2.4854676288430393,0.35967826343759796,111.88270764410436,2,60,0.5,12.0,800,800,0.9,B
0.9,0.05,3.709637046307885,3.6759576654268082,3.7567143106576255,2.6623405748062985,0.3964861986506394,123.60124170381731,2,60,0.5,12.0,800,800,0.9,B
0.9,0.055,3.997496871088861,3.94686886583103,4.042197474143703,4.267252181710457,0.3338081160869009,132.49959686589554,2,60,0.5,12.0,800,800,0.9,B
0.9,0.06,4.472465581977472,4.407009660549738,4.523736278304917,12.041504623636188,0.46353709723858977,142.87963702645294,2,60,0.5,12.0,800,800,0.9,B
0.95,0.02,2.8892365456821025,2.6263942052103606,3.1020461915876734,0.1637032988500327,0.138852628747674,42.77921917427028,2,60,0.5,12.0,800,800,0.9,B
0.95,0.025,3.263454317897372,3.054453732836333,3.4381694781230356,0.5595818216733397,0.3295196548528304,51.689369491639624,2,60,0.5,12.0,800,800,0.9,B
0.95,0.03,3.752816020025031,3.608578428189196,3.8652201287218975,0.9052794489502298,0.376938491091004,62.66940384357501,2,60,0.5,12.0,800,800,0.9,B
0.95,0.035,4.040675844806008,3.93242078281625,4.130423722610014,0.9820709198158288,0.28368452004800504,72.11454704507419,2,60,0.5,12.0,800,800,0.9,B
0.95,0.04,4.299749687108886,4.218911214158087,4.36079184476056,1.470766535848315,0.3489785829388955,79.4939208388878,2,60,0.5,12.0,800,800,0.9,B
0.95,0.045,4.61639549436796,4.55841575564233,4.658921504085905,0.882304872170534,0.1455569987757335,92.20325573483433,2,60,0.5,12.0,800,800,0.9,B
0.95,0.05,4.745932415519399,4.687156656261269,4.790247436890012,1.2525565855044036,0.19205634842689967,99.91169010489651,2,60,0.5,12.0,800,800,0.9,B
0.95,0.055,4.947434292866083,4.89315187508701,4.994127696939781,2.122598905710853,0.31189624424636425,110.07852293858858,2,60,0.5,12.0,800,800,0.9,B
0.95,0.06,5.22090112640801,5.170511019048678,5.2793043322040525,4.675570498202869,0.5582162289040915,123.49274423726918,2,60,0.5,12.0,800,800,0.9,B
0.99,0.02,5.854192740926158,5.10400659564984,6.421277850958137,0.2307303134362738,0.20292584744503125,37.60730467009658,2,60,0.5,12.0,800,800,0.9,B
0.99,0.025,6.602628285356696,5.977962032746699,7.074290262181538,0.3794221135119108,0.28138234036231513,43.56705362484888,2,60,0.5,12.0,800,800,0.9,B
0.99,0.03,7.264705882352941,6.765463794825139,7.663977053020378,0.46283560664555606,0.28395596873979523,48.83974022566108,2,60,0.5,12.0,800,800,0.9,B
0.99,0.035,8.301001251564456,7.930297411661867,8.594273564634852,0.6401263848191809,0.2706743106229487,59.91487349043229,2,60,0.5,12.0,800,800,0.9,B
0.99,0.04,8.948685857321651,8.640756318603568,9.182795653114312,1.5589930086224781,0.4794567575072507,71.11632987589583,2,60,0.5,12.0,800,800,0.9,B
0.99,0.045,9.20775969962453,8.948874937609537,9.408857236116427,1.2159585502935968,0.35837325303846757,72.57447433198318,2,60,0.5,12.0,800,800,0.9,B
0.99,0.05,9.740300375469337,9.529508818054524,9.921840750329043,1.7052389329195417,0.38434313543262505,83.72602207448953,2,60,0.5,12.0,800,800,0.9,B
0.99,0.055,10.013767209011265,9.842179705220758,10.1606641183436,2.0551664663738967,0.3875161777455251,85.4853606879911,2,60,0.5,12.0,800,800,0.9,B
0.99,0.06,10.244055068836046,10.098507357512556,10.37642565297733,2.3412362069340857,0.375244181225445,88.62227000339928,2,60,0.5,12.0,800,800,0.9,B
