isolation_time,avg_isolation_delay,beta_abm,theta_hat,theta_low,theta_high,sigma_hat,weighted_rmse,neg_loglik_cum_min,init_env,tau0,theta_min,theta_max,theta_grid_n,ci_grid_n,cleaning_eff,data_type
6.0,3.0,0.02,2.2847309136420524,2.1311107664248152,2.392228852879763,0.5009399653526735,0.31079684777588396,52.6787303213354,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.025,2.5006257822277846,2.3926355966213864,2.5938676744786022,1.0231082615916254,0.3606024568763413,61.65736902535964,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.03,2.8892365456821025,2.8294817470516778,2.9414493713500836,1.258787119077575,0.31220682618040413,76.63589694477203,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.035,3.119524405506884,3.083118289730076,3.1568106534762275,0.8761025417591103,0.15888800245452891,87.94143672315867,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.04,3.306633291614518,3.272364013415581,3.3391351272483893,1.712093417436978,0.32597473609865746,103.71779419988756,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.045,3.4937421777221527,3.4607126903380703,3.5279053513303182,2.242995474919152,0.29462002620542305,112.17376231711071,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.05,3.8103879849812263,3.7626479220048803,3.844806492439862,3.4428132533649194,0.3415697488787473,125.993613614493,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.055,4.112640801001252,4.063896683870495,4.168128481902657,9.456991440422813,0.365352780276614,136.57447212128304,2,60,0.5,12.0,800,800,0.9,B
6.0,3.0,0.06,4.472465581977472,4.414667221844091,4.5403600985421395,14.476826713782131,0.4746677566796315,146.9398272576804,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.02,2.2127659574468086,2.0576460709467788,2.3285302803198054,0.32514457436747934,0.20761127732561538,49.89760116928987,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.025,2.6589486858573217,2.5732214449873814,2.7282515886928436,0.8582884438055196,0.32457009361412215,65.33430954521046,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.03,2.8172715894868587,2.7475062438321274,2.86674560539277,1.3714355984254523,0.3827513600160938,72.60762300395899,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.035,3.119524405506884,3.0865293980205504,3.1588308447989393,1.7530429922271156,0.27184099303699205,89.73236614548505,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.04,3.2778473091364204,3.245637910749278,3.3111609960413597,1.4888059271784722,0.19755012180712764,100.28325912630552,2,60,0.5,12.0,800,800,0.9,B
14.0,7.0,0.045,3.4937421777221527,3.4510755353092173,3.524861785492803,2.937218625782293,0.2973620906979215,116.45228636284374,2,60,0.5,12.0,800,800,0.9,B
