beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0,used_months
0.01,1.3015075376884422,1.2946284126293326,1.3179603568439795,0.032050245211147306,-72.77442881566397,2,60,36
0.015,1.771356783919598,1.715554694224869,1.815559365697607,0.2746304558886139,4.557947450971136,2,60,36
0.02,2.2688442211055277,2.2210784772265875,2.320349368667099,0.5901298130446393,32.094928405099594,2,60,36
0.025,2.683417085427136,2.6621309222979503,2.7293965067352577,0.894443274156623,47.0658506004629,2,60,36
0.03,3.0150753768844223,3.0082860020264497,3.0459265444264436,1.108249528995295,54.781930902564085,2,60,36
0.035,3.2361809045226133,3.215864872559382,3.238310422310529,1.04994575013762,52.83637306213476,2,60,36
0.04,3.4020100502512562,3.3763141831820547,3.404170201807243,1.9465192934138094,75.05932799062029,2,60,36
0.045,3.5954773869346734,3.5932714662595147,3.6031843822651197,1.569552335325173,67.31024310612442,2,60,36
0.05,3.899497487437186,3.897044451546552,3.9091956938447505,2.3454701030773433,81.77127787464718,2,60,36
0.055,4.148241206030151,4.131608310564711,4.152116945175389,4.155991627297969,102.36562530601485,2,60,36
0.06,4.535175879396985,4.518485223996633,4.577711113217052,14.451213921211728,147.22981029442664,2,60,36
0.065,4.977386934673367,4.941608784516457,4.997998866153145,14.790765798893318,148.06589712266322,2,60,36
0.07,5.557788944723619,5.526913176912005,5.609710461335529,20.97374947835687,160.63956590958736,2,60,36
