beta_abm,theta_hat,theta_low,theta_high,sigma_hat,neg_loglik_cum_min,init_env,tau0,used_months
0.01,1.3844221105527639,1.366583719327582,1.3909202792931818,0.06466156764814096,-47.50739025455079,9,140,36
0.015,1.8819095477386936,1.8665607095559917,1.892086656251305,0.14305445507128556,-18.921289799194497,9,140,36
0.02,2.3241206030150754,2.301466852106516,2.3301417996749936,0.2775953595982589,4.9445195965512525,9,140,36
0.025,2.683417085427136,2.677117933925159,2.705781415002327,0.6687216246116392,36.59584035763026,9,140,36
0.03,2.8768844221105527,2.8731410585569264,2.90212611932773,0.9964936425429434,50.95533650647411,9,140,36
0.035,3.1256281407035176,3.118340001015544,3.138092774858572,2.136212256919363,78.40702154097214,9,140,36
0.04,3.319095477386935,3.3110816607583944,3.338032334713336,4.2893619184764145,103.50275465268993,9,140,36
0.045,3.540201005025126,3.5102310197779407,3.5527761493215957,8.513547175910462,128.18149968146747,9,140,36
0.05,3.761306532663317,3.7404154134098615,3.785465320787682,10.792700656074434,136.72110865164197,9,140,36
0.055,4.1206030150753765,4.110708647252182,4.1457077133018,7.781033384056793,124.94259677839175,9,140,36
0.06,4.5628140703517595,4.552276285420277,4.569758749132075,4.0604886134378235,101.5287065177203,9,140,36
0.065,5.005025125628141,4.967608995502968,5.0152444579539175,8.621702545381105,128.6359599399345,9,140,36
0.07,5.6130653266331665,5.566650065320746,5.644314427771303,14.649779979615543,147.72109860355297,9,140,36
