beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.1622073578595318,0.8929445142663076,1.4423680899187556,17.893972306472772,4,70
0.015,1.8244147157190636,1.6021089691216253,2.0312861076802755,9.149642627486568,4,70
0.02,2.210702341137124,2.0412243122680254,2.382347611770123,-23.281004643694228,4,70
0.025,2.5234113712374584,2.3912995155019305,2.659870210398325,-83.73094650609981,4,70
0.03,2.7441471571906355,2.631156181207923,2.850601286021233,-160.5017410762472,4,70
0.035,3.05685618729097,2.9710166485944716,3.130783367448255,-374.87272090180016,4,70
0.04,3.277591973244147,3.2180177909532754,3.3458438439072378,-677.6370499390619,4,70
0.045,3.4431438127090304,3.3896110842991445,3.5018532134013616,-1016.5116380307793,4,70
0.05,3.6638795986622075,3.6141500953832355,3.7152407525533095,-1674.4509046671799,4,70
0.055,3.8294314381270906,3.78280397975523,3.880858963582857,-2342.7849812841264,4,70
0.06,4.399665551839465,4.344988073141793,4.44896415015467,-5621.051943048618,4,70
0.065,4.7123745819398,4.652121610748972,4.7647674824636175,-7908.976077031088,4,70
0.07,5.061872909698997,5.008277888877554,5.133522025160453,-10871.849899538573,4,70
