beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.1672240802675584,1.0,1.4423433104594607,17.893624041555892,4,70
0.015,1.819397993311037,1.6020928126655714,2.0313005974267138,9.149918704161266,4,70
0.02,2.220735785953177,2.041385431971495,2.382209203350083,-23.28438887039891,4,70
0.025,2.5384615384615383,2.391322530919829,2.659850699825507,-83.73155607447436,4,70
0.03,2.7391304347826084,2.630980396188722,2.850751438717368,-160.49604455879557,4,70
0.035,3.0568561872909696,2.9710166485944765,3.1307833674482555,-374.87272090180016,4,70
0.04,3.290969899665552,3.217769759569286,3.3460735258427947,-677.6225954471017,4,70
0.045,3.441471571906354,3.3894886920168013,3.501970498335184,-1016.50341707236,4,70
0.05,3.6588628762541804,3.6138139925293062,3.7155752672511526,-1674.425366079469,4,70
0.055,3.826086956521739,3.782540670522806,3.8811262173289465,-2342.764119853899,4,70
0.06,4.394648829431437,4.345055235914104,4.448894194175501,-5621.0570216306205,4,70
0.065,4.712374581939799,4.652121610748987,4.764767482463612,-7908.976077031088,4,70
0.07,5.063545150501672,5.008472363571961,5.133317712223386,-10871.86231931018,4,70
0.075,5.481605351170568,5.414410558625467,5.554621697652549,-14470.662002389694,4,70
0.08,5.682274247491638,5.614533121756911,5.764021681938779,-16265.16544013665,4,70
