beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0,trim_front_months,used_months
0.01,1.419732441471572,1.068451475896731,1.7444110967954902,15.892651480177156,9,140,1,18
0.0125,1.6588628762541806,1.3531378016311546,1.9454313636546738,17.63996142311216,9,140,1,18
0.015,2.0635451505016724,1.820849397802204,2.272112082763585,12.99050471359681,9,140,1,18
0.0175,2.1003344481605355,1.8707293254520665,2.306927768511424,11.719195412529698,9,140,1,18
0.02,2.3762541806020065,2.1904458100992126,2.5318874029223233,-2.9565555155398293,9,140,1,18
0.0225,2.578595317725753,2.437651064014159,2.712298952235918,-30.465369167510705,9,140,1,18
0.025,2.633779264214047,2.505020751699841,2.7625356335543656,-40.81290257128575,9,140,1,18
0.0275,2.79933110367893,2.678237248927678,2.894704512580244,-82.07453435896356,9,140,1,18
0.03,2.8729096989966556,2.7770803175259258,2.9720276102187224,-115.1459090438783,9,140,1,18
0.0325,2.9832775919732444,2.9030694093838223,3.0739611619439517,-175.1158362745061,9,140,1,18
0.035,3.1120401337792645,3.0298848147801136,3.1790776244716414,-261.74374362006427,9,140,1,18
0.0375,3.277591973244147,3.2040854938549064,3.3307509805186175,-442.6573177649447,9,140,1,18
0.04,3.387959866220736,3.3327946937481014,3.445563388526854,-641.8494719804439,9,140,1,18
0.0425,3.277591973244147,3.2097582318899436,3.334841861904908,-450.34331824846896,9,140,1,18
0.045,3.6638795986622075,3.6154986284766486,3.7137312860177083,-1341.9709731915123,9,140,1,18
0.0475,3.5351170568561874,3.4919923225716567,3.596021529282654,-990.014338349738,9,140,1,18
0.05,3.8110367892976593,3.76126426828479,3.856510691408554,-1878.766104644038,9,140,1,18
0.0525,3.9214046822742477,3.8654336354853753,3.9618224753195905,-2328.431493216187,9,140,1,18
0.055,4.086956521739131,4.041029477053044,4.137907038128924,-3200.181780212171,9,140,1,18
0.0575,4.215719063545151,4.162630355400049,4.261949913284802,-3889.692253289247,9,140,1,18
0.06,4.381270903010034,4.324275896120514,4.427507571042167,-4945.759594396645,9,140,1,18
0.0625,4.528428093645485,4.477015049746254,4.584117267677434,-5966.241089596823,9,140,1,18
0.065,4.6755852842809364,4.623849265669092,4.7355249740089524,-7091.238506940713,9,140,1,18
0.0675,5.09866220735786,5.032241578413268,5.15922224649077,-10278.871529663757,9,140,1,18
0.07,5.392976588628763,5.324452783629662,5.4639854898670395,-12694.87412326635,9,140,1,18
