beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.2971014492753623,1.0468187351426033,1.5212101760291565,31.355423026130065,2,60
0.0125,1.536231884057971,1.2758683530646504,1.712726885685248,34.19535163120207,2,60
0.015,1.6956521739130435,1.5273538816580436,1.9119094641835093,33.799604696823096,2,60
0.0175,2.0144927536231885,1.8672314125280065,2.1727373027860337,22.166589614018715,2,60
0.02,2.1739130434782608,2.068747377077636,2.334840952639524,3.5170240272117073,2,60
0.0225,2.413043478260869,2.3136271635381607,2.514295806660153,-39.182304608198855,2,60
0.025,2.572463768115942,2.521091606186501,2.6876801022764085,-118.30246037587143,2,60
0.0275,2.731884057971014,2.664382561739695,2.78573818215028,-205.483090036091,2,60
0.03,2.891304347826087,2.8666289652224597,2.960764231648672,-480.28331865294047,2,60
0.0325,2.971014492753623,2.956769372386367,3.0529383622488844,-719.1318419182829,2,60
0.035,3.1304347826086953,3.0593214480300097,3.140477886446438,-1122.7340511865136,2,60
0.0375,3.1304347826086953,3.1148686717925806,3.1719501989817367,-1375.216540894186,2,60
0.04,3.289855072463768,3.2077827242691472,3.2955444199478356,-2198.1524495812882,2,60
0.0425,3.369565217391304,3.3314193497599995,3.3803320654209243,-3356.3931590914003,2,60
0.045,3.4492753623188404,3.4329254803667895,3.4735995514208895,-4748.960867903074,2,60
0.0475,3.5289855072463765,3.503537748417647,3.5449342962010046,-5937.799503876005,2,60
0.05,3.7681159420289854,3.73115323491455,3.7813119191076647,-10609.168838039983,2,60
0.0525,3.8478260869565215,3.841082422315089,3.9268283866173608,-13615.804035031191,2,60
0.055,4.007246376811594,3.957137811112108,4.019516301231608,-16256.338227732047,2,60
0.0575,4.326086956521738,4.305861124910867,4.368105714871319,-25727.84426265129,2,60
0.06,4.405797101449275,4.358687580399035,4.425121648316984,-27282.320261960253,2,60
0.0625,4.644927536231884,4.626242974011767,4.706629712589045,-34968.81750381051,2,60
0.065,4.884057971014492,4.824763044723645,4.907896613696495,-40415.64502126929,2,60
0.0675,5.282608695652174,5.2113081950340465,5.31069493524096,-51242.13458369647,2,60
0.07,5.601449275362318,5.528429333329252,5.637363421586197,-59608.899841137434,2,60
