beta_abm,theta_hat,theta_low,theta_high,neg_loglik_cum_min,init_env,tau0
0.01,1.0702341137123748,0.73318304705774,1.4301294315957733,13.849491967679734,2,40
0.015,1.6404682274247493,1.3533392817868082,1.914309496741714,17.80783523996268,2,40
0.02,2.15551839464883,1.9436937919376698,2.3531415972118817,5.852264491089539,2,40
0.025,2.5234113712374584,2.370900865973328,2.6706319499194966,-31.409822850498724,2,40
0.03,2.8545150501672243,2.7431220485390546,2.9549131522692655,-117.80990580751786,2,40
0.035,3.0384615384615388,2.958694324337069,3.1283073974610676,-224.62130021712403,2,40
0.04,3.2408026755852846,3.1699626818036917,3.3056448559663396,-406.316760587931,2,40
0.045,3.4983277591973247,3.452705370824887,3.561217677701225,-878.173962848936,2,40
0.05,3.7006688963210705,3.647989441410406,3.746183254146844,-1422.482906776946,2,40
0.055,4.068561872909699,4.015091136767361,4.11083232009714,-3017.317321069608,2,40
0.06,4.270903010033445,4.227065965768586,4.325693756960328,-4256.103517069364,2,40
0.065,4.510033444816054,4.463836961321698,4.568512508634024,-5811.044228326967,2,40
0.07,5.172240802675586,5.114524185024522,5.239731250015888,-11221.983674308067,2,40
0.075,5.668896321070235,5.603927652932408,5.749863662252648,-15460.383643290606,2,40
0.08,5.926421404682275,5.853979549552262,6.0,-17777.32192330733,2,40
