beta,month,obs_monthly,obs_cumulative,abm_mean_monthly,abm_sd_monthly,abm_mean_cumulative,abm_sd_cumulative,sigma_used,residual_cumulative
0.036,1,5.0,5.0,6.24,2.2274722564066254,6.24,2.2274722564066254,2.2274722564066254,-1.2400000000000002
0.036,2,2.0,7.0,2.76,1.4078497136862762,9.0,2.531435020952764,2.531435020952764,-2.0
0.036,3,0.0,7.0,1.46,1.6562805638304308,10.46,3.21482535152632,3.21482535152632,-3.460000000000001
0.036,4,2.0,9.0,1.54,1.8866880602618692,12.0,4.375255094603872,4.375255094603872,-3.0
0.036,5,1.0,10.0,1.9,2.340852801167706,13.9,6.051648451421467,6.051648451421467,-3.9000000000000004
0.036,6,1.0,11.0,2.2,2.6108095546424375,16.1,7.851296526234196,7.851296526234196,-5.100000000000001
0.036,7,2.0,13.0,2.54,2.9499913524605184,18.64,10.231523915461132,10.231523915461132,-5.640000000000001
0.036,8,2.0,15.0,1.3,1.843355414366277,19.94,11.511148101394793,11.511148101394793,-4.940000000000001
0.036,9,6.0,21.0,0.58,1.2136973364433963,20.52,12.020798302805629,12.020798302805629,0.4800000000000004
0.036,10,1.0,22.0,0.48,0.9739463170891034,21.0,12.368491898236208,12.368491898236208,1.0
0.036,11,1.0,23.0,0.7,1.3887301496588274,21.7,13.093463083164975,13.093463083164975,1.3000000000000007
0.036,12,0.0,23.0,0.8,1.5252968931473305,22.5,14.017845768876187,14.017845768876187,0.5
0.036,13,2.0,25.0,0.9,1.7291026338443152,23.4,15.071259308460496,15.071259308460496,1.6000000000000014
0.036,14,1.0,26.0,0.28,0.7835033829029764,23.68,15.49251300414731,15.49251300414731,2.3200000000000003
0.036,15,1.0,27.0,0.06,0.3136356914300021,23.74,15.558723519332181,15.558723519332181,3.2600000000000016
0.036,16,2.0,29.0,0.06,0.23989793748209526,23.8,15.623112130848364,15.623112130848364,5.199999999999999
0.036,17,5.0,34.0,0.06,0.31363569143000214,23.86,15.679194585728657,15.679194585728657,10.14
0.036,18,2.0,36.0,0.2,0.6998542122237649,24.06,15.873749348132813,15.873749348132813,11.940000000000001
0.036,19,2.0,38.0,0.22,0.8154127538760195,24.28,16.119502701601522,16.119502701601522,13.719999999999999
0.037,1,5.0,5.0,6.26,2.2750644754263427,6.26,2.2750644754263427,2.2750644754263427,-1.2599999999999998
0.037,2,2.0,7.0,2.44,1.5004761149143861,8.7,2.6049403612586386,2.6049403612586386,-1.6999999999999993
0.037,3,0.0,7.0,1.26,1.5360962980017543,9.96,3.410428185457548,3.410428185457548,-2.960000000000001
0.037,4,2.0,9.0,1.24,1.393278324598469,11.2,4.252250304610634,4.252250304610634,-2.1999999999999993
0.037,5,1.0,10.0,1.78,2.1023796041628637,12.98,5.7374174663931745,5.7374174663931745,-2.9800000000000004
0.037,6,1.0,11.0,2.42,2.5240880349471304,15.4,7.777518622180686,7.777518622180686,-4.4
0.037,7,2.0,13.0,2.12,2.6545302055627276,17.52,9.899989692841467,9.899989692841467,-4.52
0.037,8,2.0,15.0,0.94,1.1677643038677605,18.46,10.747966110395216,10.747966110395216,-3.460000000000001
0.037,9,6.0,21.0,0.4,0.9258200997725513,18.86,11.199508006686576,11.199508006686576,2.1400000000000006
0.037,10,1.0,22.0,0.64,1.6258121989093477,19.5,12.135712183637251,12.135712183637251,2.5
0.037,11,1.0,23.0,0.62,1.4269991347622621,20.12,12.938851477276502,12.938851477276502,2.879999999999999
0.037,12,0.0,23.0,0.68,1.4630133845133841,20.8,13.907860059281996,13.907860059281996,2.1999999999999993
