0.01,0.02,0.03,0.04
"[1, 31, 23, 22, 23, 22, 19, 23, 17, 21, 19, 20, 19, 18, 12, 16, 22, 21, 19]",,,
"[3, 31, 19, 18, 15, 14, 15, 17, 10, 15, 16, 16, 17, 16, 11, 15, 17, 14, 18]",,,
"[2, 24, 12, 12, 11, 8, 13, 11, 4, 5, 11, 10, 11, 10, 10, 13, 10, 12, 10]",,,
"[1, 32, 8, 14, 25, 19, 17, 20, 17, 19, 20, 18, 18, 19, 12, 15, 18, 18, 23]",,,
"[5, 29, 11, 27, 17, 19, 16, 18, 12, 14, 16, 20, 18, 21, 17, 20, 15, 17, 20]",,,
"[2, 39, 16, 18, 23, 24, 26, 25, 16, 19, 21, 22, 25, 21, 23, 22, 23, 24, 22]",,,
"[3, 33, 20, 19, 17, 19, 17, 20, 11, 11, 17, 18, 16, 17, 9, 13, 15, 19, 20]",,,
"[4, 26, 14, 13, 11, 11, 10, 12, 8, 8, 10, 11, 11, 11, 5, 10, 10, 11, 11]",,,
"[4, 28, 16, 23, 20, 19, 23, 17, 14, 17, 18, 18, 19, 16, 14, 14, 20, 18, 22]",,,
"[2, 31, 25, 24, 20, 20, 21, 20, 8, 9, 19, 19, 20, 19, 17, 16, 22, 19, 21]",,,
"[1, 30, 15, 15, 22, 17, 22, 16, 13, 14, 17, 19, 18, 20, 14, 13, 17, 19, 16]",,,
"[2, 25, 21, 15, 18, 16, 17, 15, 12, 17, 17, 14, 17, 18, 11, 14, 17, 18, 17]",,,
"[2, 26, 9, 13, 19, 12, 11, 12, 4, 9, 11, 15, 10, 13, 9, 11, 12, 13, 14]",,,
"[3, 36, 9, 20, 18, 17, 21, 18, 11, 17, 19, 19, 15, 18, 13, 11, 18, 20, 19]",,,
"[1, 40, 12, 23, 20, 17, 21, 24, 8, 15, 21, 15, 22, 22, 17, 19, 22, 18, 25]",,,
"[3, 28, 11, 19, 15, 17, 15, 14, 12, 14, 13, 12, 14, 14, 8, 13, 15, 12, 18]",,,
"[2, 35, 14, 28, 21, 20, 21, 19, 8, 20, 20, 22, 19, 19, 14, 20, 19, 22, 19]",,,
"[1, 32, 11, 21, 18, 16, 17, 17, 13, 19, 19, 16, 18, 17, 11, 14, 13, 19, 20]",,,
"[3, 27, 13, 14, 16, 12, 16, 12, 9, 15, 14, 12, 17, 17, 9, 16, 13, 15, 13]",,,
"[1, 35, 19, 20, 15, 20, 17, 19, 3, 9, 17, 16, 19, 20, 8, 16, 21, 14, 22]",,,
"[0, 26, 12, 21, 14, 20, 17, 18, 11, 18, 16, 15, 12, 16, 9, 13, 19, 15, 19]",,,
"[1, 31, 11, 13, 19, 19, 16, 15, 9, 12, 17, 15, 16, 16, 14, 15, 13, 14, 17]",,,
"[3, 36, 12, 6, 19, 17, 20, 16, 7, 10, 21, 15, 17, 19, 13, 15, 17, 18, 18]",,,
"[2, 36, 12, 23, 25, 22, 22, 21, 10, 17, 16, 17, 21, 20, 17, 19, 23, 22, 21]",,,
"[1, 37, 8, 13, 14, 19, 21, 22, 10, 11, 20, 18, 22, 19, 15, 19, 19, 17, 21]",,,
"[1, 33, 19, 19, 20, 16, 16, 16, 12, 17, 21, 18, 11, 19, 11, 17, 18, 15, 15]",,,
"[2, 37, 22, 21, 26, 18, 22, 23, 13, 23, 20, 21, 20, 23, 17, 20, 18, 23, 21]",,,
"[3, 29, 10, 18, 17, 18, 16, 16, 6, 7, 16, 15, 16, 16, 7, 18, 15, 17, 16]",,,
"[2, 26, 19, 17, 19, 18, 21, 17, 13, 17, 19, 17, 15, 18, 6, 13, 18, 16, 21]",,,
"[1, 36, 15, 16, 18, 20, 19, 19, 7, 4, 18, 16, 17, 18, 10, 14, 18, 16, 17]",,,
"[2, 40, 17, 18, 17, 18, 19, 18, 6, 14, 16, 18, 19, 20, 18, 13, 15, 15, 19]",,,
"[2, 31, 10, 16, 12, 16, 13, 12, 7, 9, 14, 11, 12, 15, 8, 10, 13, 14, 13]",,,
"[3, 34, 13, 16, 23, 17, 21, 22, 15, 17, 17, 21, 20, 17, 15, 17, 20, 20, 23]",,,
"[1, 36, 10, 8, 16, 16, 18, 17, 13, 17, 17, 21, 17, 20, 7, 12, 17, 20, 22]",,,
