0.01,0.03,0.05,0.07,0.09
"[3, 19, 17, 23, 9, 10, 10, 10, 12, 12, 11, 8, 12, 12, 13, 13, 7, 7, 13]",,,,
"[1, 34, 15, 16, 14, 7, 15, 15, 15, 14, 13, 13, 15, 19, 17, 12, 14, 17, 14]",,,,
"[1, 18, 8, 15, 6, 6, 9, 4, 7, 8, 6, 8, 5, 7, 6, 9, 5, 5, 8]",,,,
"[1, 17, 14, 20, 12, 9, 13, 17, 13, 16, 11, 11, 12, 16, 14, 16, 12, 12, 15]",,,,
"[1, 22, 24, 11, 9, 6, 12, 9, 12, 11, 8, 9, 11, 10, 14, 10, 9, 8, 12]",,,,
"[2, 20, 17, 12, 7, 11, 8, 10, 9, 9, 6, 9, 7, 8, 10, 8, 6, 2, 7]",,,,
"[2, 17, 12, 12, 3, 2, 4, 4, 5, 6, 3, 6, 6, 5, 6, 6, 3, 2, 5]",,,,
"[0, 20, 18, 18, 4, 9, 10, 11, 9, 8, 5, 3, 9, 10, 13, 9, 6, 3, 8]",,,,
"[3, 13, 11, 6, 10, 8, 13, 9, 10, 7, 9, 7, 10, 9, 8, 9, 9, 6, 9]",,,,
"[1, 22, 18, 13, 9, 10, 10, 8, 9, 8, 6, 4, 8, 10, 10, 8, 8, 7, 10]",,,,
"[1, 28, 16, 21, 15, 14, 17, 16, 16, 16, 9, 15, 19, 13, 17, 16, 12, 11, 16]",,,,
"[2, 22, 22, 14, 9, 10, 12, 11, 11, 9, 7, 6, 10, 10, 10, 12, 8, 6, 10]",,,,
"[0, 20, 17, 12, 5, 8, 9, 10, 8, 10, 4, 5, 11, 6, 8, 11, 6, 3, 8]",,,,
"[0, 27, 22, 8, 7, 10, 10, 10, 9, 7, 9, 7, 9, 9, 8, 9, 7, 9, 7]",,,,
"[2, 10, 11, 12, 10, 9, 10, 10, 7, 10, 4, 7, 9, 9, 7, 10, 9, 7, 8]",,,,
"[1, 14, 22, 7, 4, 2, 5, 6, 6, 5, 3, 5, 5, 6, 6, 6, 4, 3, 6]",,,,
"[3, 21, 18, 6, 6, 9, 9, 9, 8, 10, 7, 5, 8, 7, 10, 8, 9, 6, 10]",,,,
"[2, 21, 18, 9, 5, 6, 7, 7, 7, 8, 4, 5, 8, 6, 9, 8, 6, 6, 8]",,,,
"[2, 28, 18, 14, 10, 10, 9, 13, 11, 11, 6, 6, 11, 12, 11, 11, 8, 8, 9]",,,,
"[2, 19, 23, 18, 12, 11, 10, 14, 13, 13, 9, 11, 12, 14, 13, 15, 7, 9, 12]",,,,
"[1, 15, 12, 13, 14, 9, 8, 6, 8, 7, 5, 5, 7, 6, 8, 7, 5, 5, 8]",,,,
"[0, 21, 12, 18, 14, 11, 11, 10, 12, 12, 8, 8, 10, 11, 11, 9, 11, 10, 9]",,,,
"[1, 26, 21, 15, 12, 14, 17, 16, 15, 10, 15, 10, 18, 13, 15, 15, 11, 10, 12]",,,,
"[0, 18, 21, 17, 9, 7, 14, 10, 11, 12, 10, 9, 11, 10, 11, 11, 8, 6, 9]",,,,
"[4, 21, 20, 12, 7, 5, 7, 12, 11, 12, 6, 6, 8, 9, 10, 12, 7, 8, 13]",,,,
"[0, 23, 19, 9, 10, 7, 8, 10, 8, 9, 7, 6, 10, 9, 9, 9, 6, 4, 10]",,,,
"[2, 20, 12, 18, 14, 9, 9, 11, 8, 12, 7, 8, 8, 9, 10, 11, 8, 10, 10]",,,,
"[1, 24, 18, 14, 9, 11, 10, 13, 11, 7, 8, 4, 7, 13, 8, 11, 7, 12, 10]",,,,
"[2, 11, 15, 15, 8, 9, 7, 9, 10, 8, 4, 8, 12, 8, 11, 7, 6, 6, 9]",,,,
"[1, 22, 21, 17, 8, 7, 12, 13, 10, 10, 10, 7, 9, 10, 12, 8, 10, 11, 10]",,,,
"[1, 20, 20, 15, 8, 7, 14, 8, 13, 10, 9, 8, 10, 14, 11, 7, 7, 4, 9]",,,,
"[3, 14, 21, 12, 6, 6, 6, 8, 7, 5, 6, 4, 8, 8, 9, 8, 5, 2, 7]",,,,
"[1, 16, 19, 9, 5, 4, 5, 6, 5, 5, 5, 5, 5, 7, 5, 4, 6, 4, 5]",,,,
"[2, 24, 17, 20, 9, 8, 11, 13, 14, 13, 9, 9, 11, 12, 15, 10, 8, 7, 10]",,,,
"[1, 20, 15, 6, 10, 5, 11, 8, 10, 10, 6, 7, 9, 11, 9, 10, 6, 7, 7]",,,,
"[1, 14, 13, 14, 8, 6, 7, 7, 7, 6, 5, 1, 4, 4, 7, 9, 5, 7, 4]",,,,
"[2, 17, 14, 21, 11, 8, 10, 11, 11, 11, 7, 7, 11, 12, 12, 10, 9, 10, 11]",,,,
"[0, 20, 21, 11, 9, 11, 11, 11, 11, 12, 9, 12, 11, 11, 11, 12, 7, 7, 13]",,,,
"[0, 15, 16, 15, 14, 10, 10, 10, 10, 7, 8, 9, 7, 10, 10, 8, 8, 7, 9]",,,,
"[1, 25, 25, 16, 7, 9, 15, 15, 14, 16, 11, 13, 16, 13, 16, 15, 12, 11, 16]",,,,
"[0, 20, 15, 21, 10, 13, 15, 15, 13, 12, 11, 14, 12, 12, 13, 12, 9, 6, 11]",,,,
"[1, 21, 20, 12, 6, 7, 10, 10, 9, 10, 5, 8, 8, 11, 9, 10, 6, 9, 9]",,,,
"[1, 23, 21, 20, 8, 6, 11, 13, 10, 13, 10, 9, 10, 13, 14, 13, 9, 6, 9]",,,,
"[2, 21, 20, 15, 11, 9, 12, 12, 10, 9, 8, 3, 9, 10, 12, 11, 10, 7, 11]",,,,
"[2, 11, 10, 6, 19, 8, 15, 11, 12, 10, 7, 6, 11, 11, 11, 11, 9, 8, 11]",,,,
"[0, 26, 22, 8, 8, 8, 9, 9, 9, 9, 7, 7, 9, 11, 9, 9, 6, 4, 9]",,,,
"[2, 27, 25, 20, 15, 12, 16, 20, 23, 17, 17, 15, 18, 20, 18, 19, 17, 19, 18]",,,,
"[1, 18, 17, 18, 7, 9, 9, 10, 11, 10, 7, 7, 10, 10, 12, 11, 8, 4, 12]",,,,
"[1, 20, 28, 15, 11, 12, 14, 12, 13, 11, 9, 9, 14, 13, 14, 11, 9, 9, 12]",,,,
"[2, 18, 16, 16, 11, 11, 11, 12, 9, 11, 8, 11, 10, 10, 12, 10, 9, 6, 12]",,,,
,"[3, 53, 26, 26, 28, 28, 30, 26, 25, 27, 23, 26, 29, 28, 29, 23, 28, 26, 27]",,,
,"[1, 50, 23, 22, 23, 21, 25, 21, 23, 21, 21, 25, 23, 24, 23, 20, 22, 26, 25]",,,
,"[3, 41, 21, 19, 19, 18, 18, 18, 18, 22, 17, 18, 18, 18, 18, 18, 16, 22, 20]",,,
,"[4, 49, 23, 24, 27, 26, 26, 24, 24, 26, 21, 26, 23, 24, 26, 24, 25, 27, 25]",,,
,"[4, 45, 21, 20, 23, 22, 21, 21, 20, 21, 16, 20, 21, 22, 21, 20, 21, 21, 21]",,,
,"[5, 61, 36, 36, 36, 41, 38, 36, 35, 39, 31, 35, 38, 43, 37, 36, 38, 36, 38]",,,
,"[1, 52, 24, 24, 25, 28, 25, 24, 25, 24, 22, 23, 25, 28, 24, 24, 24, 25, 25]",,,
