0.06,0.075,0.08,0.09
"[8, 59, 39, 38, 45, 44, 40, 39, 38, 38, 39, 38, 41, 48, 40, 38, 39, 39, 39]",,,
"[12, 53, 36, 36, 46, 41, 37, 36, 36, 36, 36, 36, 42, 41, 40, 36, 38, 36, 36]",,,
"[10, 76, 56, 56, 70, 64, 58, 56, 56, 58, 56, 56, 70, 63, 58, 56, 59, 57, 56]",,,
"[8, 60, 38, 38, 46, 45, 38, 38, 38, 39, 39, 38, 44, 45, 40, 38, 40, 38, 39]",,,
"[9, 62, 42, 42, 53, 47, 42, 43, 42, 42, 44, 42, 46, 55, 40, 42, 44, 44, 42]",,,
"[9, 55, 34, 34, 45, 35, 35, 35, 35, 34, 34, 34, 36, 42, 36, 35, 36, 35, 34]",,,
"[8, 60, 38, 38, 48, 45, 38, 38, 37, 39, 38, 38, 46, 44, 39, 38, 41, 38, 38]",,,
"[8, 56, 34, 34, 41, 41, 35, 34, 29, 39, 34, 34, 39, 39, 34, 34, 36, 37, 34]",,,
"[5, 56, 32, 32, 38, 38, 34, 32, 32, 33, 32, 32, 32, 38, 35, 33, 34, 35, 32]",,,
"[8, 53, 32, 32, 40, 37, 32, 32, 31, 33, 33, 32, 33, 40, 33, 32, 33, 35, 33]",,,
"[6, 60, 36, 36, 45, 43, 36, 36, 36, 36, 36, 36, 42, 41, 38, 37, 39, 36, 36]",,,
"[5, 72, 48, 48, 59, 57, 49, 48, 46, 51, 48, 48, 52, 60, 51, 47, 49, 50, 50]",,,
"[8, 60, 38, 38, 47, 43, 40, 39, 34, 42, 38, 38, 41, 44, 40, 38, 40, 42, 38]",,,
"[8, 74, 52, 52, 67, 60, 53, 52, 49, 55, 52, 52, 59, 63, 52, 53, 56, 53, 53]",,,
"[8, 62, 40, 40, 46, 49, 40, 40, 40, 41, 41, 40, 44, 50, 41, 40, 42, 41, 41]",,,
"[7, 61, 38, 38, 48, 44, 38, 38, 37, 40, 38, 38, 41, 46, 40, 38, 40, 40, 38]",,,
"[9, 58, 38, 38, 47, 44, 38, 39, 39, 38, 38, 38, 44, 47, 37, 40, 40, 38, 38]",,,
"[7, 80, 59, 58, 65, 73, 58, 58, 57, 62, 59, 59, 65, 66, 63, 58, 60, 63, 59]",,,
"[6, 57, 35, 34, 42, 40, 34, 34, 32, 36, 34, 34, 41, 39, 32, 35, 35, 37, 35]",,,
"[9, 60, 40, 40, 48, 50, 38, 42, 38, 42, 40, 40, 45, 50, 38, 40, 44, 41, 41]",,,
"[9, 69, 48, 48, 60, 54, 49, 49, 49, 49, 48, 48, 54, 59, 50, 48, 52, 48, 48]",,,
"[8, 58, 36, 36, 47, 41, 35, 37, 37, 36, 36, 36, 40, 43, 39, 36, 38, 37, 36]",,,
"[8, 66, 44, 44, 54, 52, 44, 44, 41, 47, 45, 44, 53, 50, 44, 44, 45, 48, 44]",,,
"[6, 71, 49, 48, 61, 55, 48, 49, 47, 50, 48, 48, 55, 58, 49, 48, 52, 49, 48]",,,
"[5, 62, 38, 38, 48, 43, 39, 38, 37, 38, 39, 39, 44, 44, 39, 38, 39, 40, 39]",,,
"[6, 72, 48, 48, 61, 57, 48, 48, 48, 47, 48, 48, 54, 61, 50, 48, 50, 48, 48]",,,
"[6, 62, 38, 38, 47, 46, 38, 38, 38, 38, 38, 38, 43, 46, 39, 38, 39, 41, 37]",,,
"[4, 62, 36, 36, 46, 42, 36, 36, 36, 36, 36, 36, 43, 43, 37, 36, 39, 36, 36]",,,
"[7, 59, 37, 38, 42, 50, 37, 39, 37, 39, 39, 38, 42, 44, 42, 38, 40, 40, 38]",,,
"[10, 65, 46, 46, 52, 60, 46, 47, 45, 47, 46, 46, 51, 58, 48, 46, 48, 47, 46]",,,
"[8, 56, 34, 34, 42, 39, 35, 34, 35, 35, 34, 34, 37, 41, 36, 34, 35, 37, 33]",,,
"[6, 50, 26, 26, 30, 33, 26, 26, 26, 27, 26, 26, 28, 31, 28, 26, 29, 26, 26]",,,
"[10, 56, 36, 36, 42, 44, 35, 38, 37, 36, 36, 36, 40, 44, 38, 36, 39, 37, 36]",,,
"[10, 74, 53, 54, 68, 63, 55, 54, 54, 54, 55, 54, 62, 68, 52, 54, 54, 58, 54]",,,
"[7, 81, 58, 58, 75, 64, 61, 58, 57, 60, 58, 58, 71, 65, 58, 59, 61, 61, 59]",,,
"[4, 60, 34, 34, 43, 40, 34, 34, 35, 34, 33, 35, 40, 40, 35, 35, 36, 34, 34]",,,
"[6, 74, 50, 50, 61, 61, 50, 50, 49, 52, 50, 50, 58, 59, 54, 50, 50, 52, 50]",,,
"[9, 65, 44, 44, 53, 53, 45, 44, 45, 44, 44, 44, 48, 56, 43, 45, 46, 47, 44]",,,
"[9, 75, 54, 54, 67, 62, 56, 54, 53, 56, 55, 54, 63, 65, 56, 54, 55, 55, 56]",,,
"[6, 80, 56, 56, 72, 65, 57, 56, 55, 57, 56, 56, 62, 73, 56, 56, 57, 59, 56]",,,
"[7, 72, 50, 50, 62, 58, 53, 50, 50, 50, 50, 50, 55, 63, 52, 50, 52, 52, 50]",,,
"[6, 55, 32, 32, 39, 36, 34, 33, 29, 34, 32, 32, 35, 39, 32, 32, 36, 33, 32]",,,
"[7, 83, 60, 60, 74, 72, 60, 60, 58, 64, 60, 60, 68, 70, 63, 60, 64, 63, 61]",,,
"[7, 57, 34, 34, 40, 42, 34, 34, 35, 34, 33, 35, 38, 41, 35, 34, 36, 36, 34]",,,
"[7, 57, 34, 34, 42, 36, 36, 35, 35, 34, 34, 34, 37, 42, 35, 34, 36, 36, 34]",,,
"[10, 70, 50, 50, 62, 61, 50, 50, 51, 50, 50, 50, 55, 60, 55, 50, 52, 51, 51]",,,
"[7, 55, 32, 32, 41, 34, 34, 32, 32, 33, 32, 32, 36, 37, 34, 32, 35, 33, 32]",,,
