,0.12,0.15,0.18
0,"[0, 12, 18, 3, 2, 4, 0, 1, 0, 0, 2, 1, 2, 0, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 1, 3, 2, 1, 0, 2, 1, 0, 0, 0]","[0, 10, 17, 6, 2, 4, 0, 1, 0, 0, 2, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 0, 0]","[0, 22, 10, 1, 2, 4, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0, 1, 3, 2, 0, 1, 2, 1, 0, 0, 0]"
1,"[0, 9, 13, 8, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 27, 5, 0, 3, 2, 1, 1, 0, 1, 1, 2, 2, 0, 1, 3, 0, 1, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,"[0, 13, 14, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 6, 24, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 32, 3, 3, 4, 3, 3, 2, 0, 4, 1, 4, 3, 2, 3, 3, 3, 0, 3, 3, 2, 3, 2, 0, 3, 1, 3, 3, 5, 1, 2, 3, 3, 2, 0, 0]"
3,"[0, 23, 12, 3, 3, 5, 1, 3, 0, 4, 0, 4, 3, 1, 3, 3, 3, 1, 3, 3, 1, 3, 2, 0, 3, 1, 3, 4, 4, 1, 3, 2, 4, 1, 0, 0]","[0, 12, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,"[1, 4, 15, 11, 2, 3, 1, 1, 0, 1, 1, 0, 2, 0, 3, 1, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 1, 0]","[0, 14, 19, 3, 3, 5, 3, 1, 1, 3, 1, 5, 2, 3, 3, 3, 3, 1, 3, 3, 0, 4, 1, 0, 3, 3, 2, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[2, 38, 7, 7, 11, 9, 8, 7, 8, 10, 6, 8, 10, 8, 7, 11, 7, 7, 7, 9, 8, 8, 7, 7, 7, 9, 7, 9, 12, 7, 7, 9, 9, 7, 5, 7]"
5,"[0, 8, 8, 14, 3, 3, 0, 1, 0, 1, 0, 2, 2, 0, 2, 2, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 4, 0, 0, 2, 0, 1, 0, 0]","[0, 15, 17, 0, 3, 3, 1, 1, 0, 0, 2, 1, 2, 0, 2, 2, 1, 0, 2, 0, 0, 2, 0, 0, 0, 0, 2, 3, 2, 0, 1, 2, 1, 0, 0, 0]","[0, 20, 12, 1, 2, 3, 1, 1, 0, 2, 0, 1, 2, 0, 2, 2, 1, 1, 0, 2, 0, 1, 1, 0, 0, 0, 2, 2, 2, 1, 0, 2, 1, 0, 0, 0]"
6,"[0, 10, 16, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 29, 6, 3, 4, 3, 3, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 0, 4, 2, 0, 2, 2, 4, 3, 5, 0, 2, 4, 3, 0, 1, 0]","[0, 21, 9, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,"[1, 16, 15, 4, 5, 4, 2, 2, 2, 3, 0, 3, 4, 2, 3, 4, 3, 0, 3, 3, 0, 4, 1, 0, 2, 3, 4, 3, 4, 0, 3, 3, 3, 0, 1, 0]","[0, 28, 10, 4, 5, 7, 2, 4, 2, 5, 2, 6, 4, 4, 4, 5, 4, 1, 5, 3, 3, 6, 4, 0, 4, 4, 4, 5, 6, 1, 4, 5, 4, 3, 1, 1]","[0, 22, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[0, 19, 9, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 13, 16, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 19, 13, 1, 2, 3, 1, 1, 0, 1, 1, 1, 2, 0, 2, 2, 1, 1, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 2, 0, 1, 2, 1, 0, 0, 0]"
9,"[0, 16, 10, 11, 3, 4, 2, 2, 0, 4, 0, 5, 3, 1, 4, 3, 2, 1, 4, 2, 1, 5, 1, 0, 2, 2, 3, 4, 4, 1, 2, 4, 2, 2, 0, 0]","[0, 11, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 14, 16, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
