beta,0.70,0.80,0.90,0.95,1.00
0.0537831050759108,"[3, 81, 26, 28, 54, 30, 49, 28, 45, 36, 28, 46, 36, 44, 33, 34, 46, 32, 41, 36, 41, 41, 28, 41, 41, 32, 38, 41, 42, 35, 33, 46, 33, 41, 29, 44]","[0, 34, 1, 3, 3, 5, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 3, 2, 3, 4, 4, 0, 3, 3, 3, 1, 0, 0]","[0, 27, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 18, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0538063166868741,"[0, 62, 15, 17, 32, 19, 27, 17, 25, 23, 17, 25, 24, 22, 22, 22, 24, 22, 20, 23, 21, 28, 17, 21, 23, 21, 24, 26, 24, 17, 19, 30, 18, 23, 17, 23]","[0, 30, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 34, 6, 5, 6, 8, 5, 5, 4, 6, 4, 6, 5, 6, 5, 7, 5, 5, 5, 6, 4, 5, 5, 4, 5, 5, 5, 7, 8, 3, 5, 5, 6, 6, 0, 4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0538671661597877,"[0, 78, 23, 25, 48, 27, 43, 25, 41, 31, 25, 41, 32, 38, 30, 31, 40, 29, 35, 32, 36, 38, 25, 36, 37, 26, 35, 38, 36, 32, 27, 41, 30, 37, 26, 33]","[0, 34, 1, 3, 3, 5, 2, 2, 1, 3, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 2, 3, 1, 0, 2, 3, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 35, 3, 4, 6, 6, 3, 3, 2, 4, 3, 5, 5, 3, 5, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 5, 4, 4, 7, 1, 4, 6, 4, 2, 1, 1]","[0, 8, 19, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0538881445212722,"[0, 65, 18, 19, 36, 21, 31, 19, 29, 25, 19, 28, 26, 27, 24, 24, 27, 25, 25, 23, 27, 28, 19, 23, 31, 20, 26, 29, 27, 23, 20, 31, 22, 29, 19, 22]","[0, 34, 1, 3, 3, 5, 2, 2, 2, 2, 1, 4, 3, 2, 3, 3, 3, 1, 3, 3, 1, 3, 2, 0, 3, 2, 3, 3, 5, 0, 3, 3, 3, 1, 0, 0]","[0, 3, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 2, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0538975776386791,"[0, 74, 21, 23, 44, 25, 39, 23, 37, 29, 23, 37, 29, 35, 28, 28, 38, 26, 30, 32, 31, 37, 23, 26, 38, 25, 32, 36, 33, 28, 23, 41, 25, 36, 23, 32]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 14, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 23, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0538991965287747,"[0, 66, 17, 19, 36, 21, 31, 19, 29, 25, 19, 29, 26, 26, 24, 24, 30, 22, 22, 28, 24, 32, 19, 20, 29, 24, 23, 32, 24, 23, 22, 32, 22, 26, 19, 25]","[0, 36, 2, 4, 5, 7, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 3, 4, 4, 0, 4, 4, 4, 5, 7, 2, 3, 4, 5, 3, 1, 0]","[0, 32, 0, 1, 3, 3, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 1, 0, 1, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 0, 1, 26, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539086277196468,"[1, 81, 25, 27, 52, 29, 47, 27, 45, 33, 27, 47, 32, 42, 32, 32, 46, 30, 38, 37, 38, 40, 27, 39, 39, 30, 39, 39, 42, 32, 28, 49, 29, 43, 27, 40]","[0, 36, 2, 4, 5, 7, 3, 3, 3, 5, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 4, 4, 3, 0, 4, 4, 5, 4, 8, 0, 4, 6, 4, 3, 0, 1]","[0, 37, 4, 5, 8, 7, 5, 5, 3, 5, 5, 5, 7, 6, 5, 6, 6, 4, 5, 6, 5, 5, 5, 2, 6, 5, 5, 8, 7, 3, 5, 6, 6, 5, 0, 4]","[0, 24, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539137297115634,"[0, 80, 24, 26, 50, 28, 45, 26, 43, 32, 26, 42, 34, 40, 31, 31, 42, 31, 37, 33, 39, 38, 26, 33, 41, 30, 36, 39, 38, 33, 27, 43, 32, 40, 26, 36]","[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 35, 3, 4, 6, 6, 3, 3, 4, 4, 1, 6, 4, 4, 4, 5, 4, 3, 4, 4, 3, 5, 3, 0, 4, 4, 5, 4, 8, 0, 4, 6, 4, 3, 0, 0]","[0, 2, 21, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539177428902114,"[0, 50, 9, 11, 20, 13, 15, 11, 16, 14, 11, 14, 16, 13, 12, 18, 11, 16, 11, 13, 15, 17, 11, 11, 14, 16, 11, 15, 18, 11, 12, 16, 13, 15, 11, 11]","[1, 71, 20, 22, 41, 25, 37, 22, 33, 30, 22, 34, 30, 32, 27, 27, 35, 26, 28, 31, 29, 36, 22, 27, 32, 26, 29, 35, 31, 28, 23, 37, 25, 33, 22, 29]","[0, 1, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 9, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0.0539329568555182,"[1, 75, 22, 24, 46, 26, 41, 24, 38, 31, 24, 38, 32, 36, 29, 30, 39, 27, 32, 34, 32, 37, 24, 34, 35, 25, 35, 36, 35, 29, 25, 41, 27, 38, 24, 32]","[0, 40, 4, 6, 9, 9, 6, 6, 6, 7, 6, 6, 9, 6, 6, 9, 6, 6, 6, 8, 6, 6, 7, 4, 6, 9, 6, 6, 12, 4, 6, 8, 6, 6, 4, 5]","[0, 30, 2, 1, 2, 4, 0, 1, 0, 2, 0, 1, 2, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 0, 0, 2, 2, 3, 0, 0, 2, 1, 0, 0, 0]","[0, 9, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
