beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.26, 0.18, 0.14, 0.08, 0.02, 0.06, 0.02, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5589275444992848, 0.43312815655415443, 0.4476605857119876, 0.2712931993250107, 0.13999999999999993, 0.2374868417407584, 0.1399999999999999, 0.0, 0.13999999999999987, 0.1399999999999999, 0.0, 0.0, 0.0, 0.1399999999999999, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3, 1.125, 1.4, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[80.0, 84.0, 90.0, 92.0, 98.0, 94.0, 98.0, 100.0, 98.0, 98.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.015,"[0.64, 0.6, 0.4, 0.34, 0.02, 0.08, 0.08, 0.04, 0.16, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.7683749084919419, 0.8485281374238569, 0.5291502622129182, 0.5868560300448487, 0.13999999999999999, 0.2712931993250108, 0.2712931993250107, 0.19595917942265428, 0.46303347611160933, 0.0, 0.0, 0.0, 0.0, 0.13999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.28, 1.5, 1.0526315789473684, 1.2142857142857142, 1.0, 1.0, 1.0, 1.0, 1.3333333333333333, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[50.0, 60.0, 62.0, 72.0, 98.0, 92.0, 92.0, 96.0, 88.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.02,"[0.92, 0.9, 0.94, 0.62, 0.1, 0.12, 0.1, 0.1, 0.2, 0.22, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9765244492586963, 0.9848857801796106, 0.8811356308764277, 0.7717512552629893, 0.2999999999999998, 0.3249615361854385, 0.36055512754639873, 0.41231056256176585, 0.7483314773547881, 0.6720119046564579, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[4.0, 4.0, 3.0, 3.0, 1.0, 1.0, 2.0, 2.0, 5.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5333333333333334, 1.6666666666666667, 1.46875, 1.3478260869565217, 1.0, 1.0, 1.25, 1.6666666666666667, 1.6666666666666667, 1.5714285714285714, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[40.0, 46.0, 36.0, 54.0, 90.0, 88.0, 92.0, 94.0, 88.0, 86.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.025,"[1.14, 1.42, 1.36, 0.74, 0.2, 0.24, 0.5, 0.36, 0.38, 0.2, 0.08, 0.02, 0.02, 0.06, 0.04, 0.08, 0.0, 0.0, 0.0]","[0.8487638069569178, 0.8964373932405989, 1.072567014223354, 0.7696752561957538, 0.48989794855663527, 0.5851495535331119, 0.8544003745317531, 0.6858571279792899, 0.7180529228406499, 0.5291502622129178, 0.3370459909270545, 0.1399999999999999, 0.13999999999999987, 0.2374868417407584, 0.19595917942265434, 0.2712931993250107, 0.0, 0.0, 0.0]",50,"[3.0, 4.0, 5.0, 3.0, 2.0, 3.0, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5, 1.5777777777777777, 1.7435897435897436, 1.3214285714285714, 1.25, 1.3333333333333333, 1.6666666666666667, 1.3846153846153846, 1.3571428571428572, 1.4285714285714286, 1.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0]","[24.0, 10.0, 22.0, 44.0, 84.0, 82.0, 70.0, 74.0, 72.0, 86.0, 94.0, 98.0, 98.0, 94.0, 96.0, 92.0, 100.0, 100.0, 100.0]"
0.03,"[1.56, 2.02, 2.06, 1.26, 0.12, 0.24, 0.32, 0.42, 0.54, 0.28, 0.1, 0.08, 0.0, 0.12, 0.12, 0.02, 0.06, 0.02, 0.08]","[1.0229369482035535, 1.1043550153822816, 1.4340153416194685, 0.9961927524329818, 0.32496153618543855, 0.549909083394701, 0.6764613810115102, 0.9184770002564028, 0.9635351576356721, 0.6939740629158985, 0.41231056256176585, 0.33704599092705434, 0.0, 0.5153639490690052, 0.5153639490690052, 0.13999999999999987, 0.31048349392520047, 0.13999999999999996, 0.4399999999999997]",50,"[4.0, 4.0, 6.0, 4.0, 1.0, 2.0, 3.0, 5.0, 4.0, 3.0, 2.0, 2.0, 0.0, 3.0, 3.0, 1.0, 2.0, 1.0, 3.0]","[1.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.813953488372093, 2.1956521739130435, 2.5121951219512195, 1.6578947368421053, 1.0, 1.3333333333333333, 1.4545454545454546, 1.6153846153846154, 1.8, 1.5555555555555556, 1.6666666666666667, 1.3333333333333333, 0.0, 2.0, 2.0, 1.0, 1.5, 1.0, 2.0]","[14.000000000000002, 8.0, 18.0, 24.0, 88.0, 82.0, 78.0, 74.0, 70.0, 82.0, 94.0, 94.0, 100.0, 94.0, 94.0, 98.0, 96.0, 98.0, 96.0]"
0.035,"[2.1, 2.78, 3.02, 2.02, 0.46, 0.7, 0.8, 0.74, 1.22, 0.64, 0.16, 0.16, 0.24, 0.22, 0.26, 0.24, 0.1, 0.04, 0.02]","[1.1, 1.3459569086712995, 1.4211263138792412, 1.3489254983133794, 1.2523577763562617, 1.4866068747318506, 1.28062484748657, 1.1629273408085306, 1.5529327094243333, 0.9112628599915615, 0.5425863986500217, 0.36660605559646714, 0.9068627239003708, 0.6095900261651269, 0.8674099376880574, 0.649923072370877, 0.412310562561766, 0.19595917942265428, 0.13999999999999993]",50,"[5.0, 6.0, 7.0, 6.0, 8.0, 10.0, 6.0, 5.0, 6.0, 4.0, 3.0, 1.0, 6.0, 3.0, 5.0, 3.0, 2.0, 1.0, 1.0]","[2.0, 3.0, 3.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.282608695652174, 2.836734693877551, 3.1458333333333335, 2.4047619047619047, 2.090909090909091, 1.6666666666666667, 2.0, 2.0555555555555554, 2.3461538461538463, 1.5238095238095237, 1.6, 1.0, 2.0, 1.5714285714285714, 2.1666666666666665, 1.7142857142857142, 1.6666666666666667, 1.0, 1.0]","[8.0, 2.0, 4.0, 16.0, 78.0, 57.99999999999999, 60.0, 64.0, 48.0, 57.99999999999999, 90.0, 84.0, 88.0, 86.0, 88.0, 86.0, 94.0, 96.0, 98.0]"
0.04,"[3.0, 3.14, 3.78, 2.62, 0.64, 0.98, 1.16, 1.4, 1.66, 1.62, 0.74, 0.54, 0.96, 1.08, 1.04, 0.9, 0.24, 0.3, 0.48]","[1.3416407864998738, 1.4561593319413915, 1.8578482176970217, 1.3695254652615994, 1.1092339699089637, 1.5031965939290837, 1.953048898517392, 1.939071942966532, 2.2681269805722946, 2.2968674319603215, 1.494121815649581, 1.1525623627379131, 2.3829393613770375, 2.415284662312086, 2.1813757127097575, 1.9000000000000001, 0.6183849933496125, 0.8306623862918074, 1.2687001221722969]",50,"[7.0, 8.0, 7.0, 7.0, 6.0, 6.0, 8.0, 6.0, 8.0, 7.0, 7.0, 4.0, 11.0, 13.0, 9.0, 8.0, 2.0, 4.0, 6.0]","[3.0, 3.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.061224489795918, 3.14, 3.9375, 2.62, 1.6842105263157894, 2.45, 2.9, 3.3333333333333335, 3.4583333333333335, 3.6818181818181817, 2.642857142857143, 2.4545454545454546, 4.363636363636363, 3.857142857142857, 4.0, 3.75, 1.7142857142857142, 2.142857142857143, 2.6666666666666665]","[2.0, 0.0, 4.0, 0.0, 62.0, 60.0, 60.0, 57.99999999999999, 52.0, 56.00000000000001, 72.0, 78.0, 78.0, 72.0, 74.0, 76.0, 86.0, 86.0, 82.0]"
0.045,"[3.32, 3.88, 4.64, 3.58, 0.94, 1.06, 1.64, 2.2, 2.74, 2.34, 0.82, 1.08, 1.02, 1.62, 1.76, 1.68, 0.46, 0.6, 0.86]","[1.528921188289312, 1.9145756710038906, 2.1611108254784166, 1.9605101376937584, 1.317725312802331, 1.6298466185503466, 2.1518364250100435, 2.9597297173897474, 3.7884561499375984, 3.1534742745105753, 1.5190786681406592, 1.8312837027615356, 2.0638798414636454, 3.422805866536987, 3.271452276894774, 2.664132128855474, 1.0239140588936162, 1.3711309200802086, 1.7889661819050682]",50,"[7.0, 10.0, 10.0, 8.0, 5.0, 6.0, 7.0, 11.0, 16.0, 15.0, 7.0, 7.0, 12.0, 20.0, 17.0, 11.0, 4.0, 6.0, 7.0]","[3.0, 3.5, 5.0, 3.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.3877551020408165, 3.9591836734693877, 4.64, 3.7291666666666665, 2.0434782608695654, 2.5238095238095237, 3.1538461538461537, 4.074074074074074, 4.892857142857143, 3.9, 2.5625, 3.375, 2.8333333333333335, 5.0625, 4.888888888888889, 4.666666666666667, 2.090909090909091, 2.727272727272727, 3.5833333333333335]","[2.0, 2.0, 0.0, 4.0, 54.0, 57.99999999999999, 48.0, 46.0, 44.0, 40.0, 68.0, 68.0, 64.0, 68.0, 64.0, 64.0, 78.0, 78.0, 76.0]"
0.05,"[4.2, 5.1, 5.78, 5.36, 1.36, 1.68, 2.9, 3.46, 4.52, 3.8, 1.0, 1.24, 1.7, 2.2, 2.76, 2.48, 0.74, 1.4, 1.74]","[1.7999999999999998, 2.0322401432901573, 2.8864511081949753, 2.4800000000000004, 1.6704490414256878, 2.5095019426173, 3.2202484376209237, 3.683530914760999, 5.115623129199413, 4.445222154178573, 1.9183326093250879, 2.627241899787684, 2.906888370749726, 3.8314488121336034, 4.240565999958025, 3.7801587268261625, 1.682973558912914, 2.932575659723036, 3.3574395005718274]",50,"[10.0, 11.0, 15.0, 13.0, 5.0, 11.0, 12.0, 13.0, 18.0, 16.0, 9.0, 16.0, 14.0, 16.0, 15.0, 14.0, 9.0, 16.0, 16.0]","[4.0, 5.0, 5.0, 5.0, 1.0, 1.0, 2.0, 2.5, 3.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.2, 5.1, 5.78, 5.36, 2.5185185185185186, 3.230769230769231, 4.833333333333333, 5.766666666666667, 7.290322580645161, 6.551724137931035, 3.125, 3.4444444444444446, 4.25, 5.7894736842105265, 6.571428571428571, 5.904761904761905, 2.176470588235294, 4.117647058823529, 4.833333333333333]","[0.0, 0.0, 0.0, 0.0, 46.0, 48.0, 40.0, 40.0, 38.0, 42.0, 68.0, 64.0, 60.0, 62.0, 57.99999999999999, 57.99999999999999, 66.0, 66.0, 64.0]"
0.055,"[4.7, 5.54, 7.3, 6.54, 1.66, 2.8, 3.88, 4.5, 5.64, 4.9, 1.28, 1.66, 2.6, 3.92, 5.2, 3.68, 1.36, 2.2, 2.52]","[1.8788294228055935, 2.562888994864974, 3.24499614791759, 2.9947287022366487, 1.986051358852534, 3.0919249667480604, 4.492838746271671, 5.227810249043093, 5.928777276977101, 5.084289527554464, 2.2542404485768586, 3.3021810973960832, 4.237924020083417, 6.0293946628164905, 7.628892449104259, 5.597999642729535, 2.9377542443165674, 3.9899874686520005, 4.405632758185821]",50,"[12.0, 14.0, 20.0, 15.0, 8.0, 11.0, 20.0, 22.0, 22.0, 17.0, 9.0, 15.0, 17.0, 19.0, 26.0, 21.0, 16.0, 17.0, 19.0]","[5.0, 5.5, 7.0, 6.0, 1.0, 2.0, 2.0, 3.0, 4.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.7, 5.54, 7.3, 6.54, 2.7666666666666666, 4.666666666666667, 6.0625, 7.258064516129032, 8.545454545454545, 7.424242424242424, 4.0, 5.1875, 7.222222222222222, 10.88888888888889, 14.444444444444445, 10.222222222222221, 4.25, 6.875, 7.875]","[0.0, 0.0, 0.0, 0.0, 40.0, 40.0, 36.0, 38.0, 34.0, 34.0, 68.0, 68.0, 64.0, 64.0, 64.0, 64.0, 68.0, 68.0, 68.0]"
