beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.72, 0.22, 0.04, 0.06, 0.18, 0.14, 0.08, 0.06, 0.02, 0.0, 0.02, 0.02, 0.0, 0.02, 0.0, 0.0, 0.02, 0.0, 0.0]","[0.8255906976220116, 0.46, 0.19595917942265434, 0.2374868417407584, 0.43312815655415454, 0.4004996878900154, 0.2712931993250108, 0.2374868417407584, 0.13999999999999987, 0.0, 0.13999999999999987, 0.13999999999999987, 0.0, 0.13999999999999993, 0.0, 0.0, 0.13999999999999996, 0.0, 0.0]",50,"[3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.44, 1.1, 1.0, 1.0, 1.125, 1.1666666666666667, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[50.0, 80.0, 96.0, 94.0, 84.0, 88.0, 92.0, 94.0, 98.0, 100.0, 98.0, 98.0, 100.0, 98.0, 100.0, 100.0, 98.0, 100.0, 100.0]"
0.015,"[1.38, 0.4, 0.1, 0.14, 0.16, 0.14, 0.14, 0.14, 0.04, 0.02, 0.02, 0.0, 0.04, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1469960767151732, 0.5291502622129182, 0.29999999999999977, 0.3469870314579493, 0.5425863986500219, 0.34698703145794935, 0.34698703145794935, 0.34698703145794924, 0.1959591794226543, 0.13999999999999993, 0.1399999999999999, 0.0, 0.19595917942265434, 0.19595917942265428, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[5.0, 2.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.8157894736842106, 1.0526315789473684, 1.0, 1.0, 1.6, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[24.0, 62.0, 90.0, 86.0, 90.0, 86.0, 86.0, 86.0, 96.0, 98.0, 98.0, 100.0, 96.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.02,"[2.1, 0.98, 0.24, 0.36, 0.36, 0.36, 0.38, 0.18, 0.1, 0.06, 0.12, 0.06, 0.06, 0.04, 0.0, 0.0, 0.0, 0.0, 0.02]","[1.2369316876852983, 1.1043550153822816, 0.5122499389946281, 0.6248199740725324, 0.7418894796396563, 0.5571355310873647, 0.845931439302264, 0.4770744176750626, 0.2999999999999999, 0.2374868417407584, 0.32496153618543855, 0.23748684174075838, 0.2374868417407584, 0.19595917942265434, 0.0, 0.0, 0.0, 0.0, 0.13999999999999996]",50,"[6.0, 5.0, 2.0, 3.0, 3.0, 2.0, 4.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.234042553191489, 1.6896551724137931, 1.2, 1.2, 1.5, 1.125, 1.7272727272727273, 1.2857142857142858, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[6.0, 42.0, 80.0, 70.0, 76.0, 68.0, 78.0, 86.0, 90.0, 94.0, 88.0, 94.0, 94.0, 96.0, 100.0, 100.0, 100.0, 100.0, 98.0]"
0.025,"[3.36, 1.2, 0.54, 0.62, 0.62, 0.46, 0.9, 0.32, 0.06, 0.12, 0.12, 0.16, 0.22, 0.1, 0.06, 0.04, 0.08, 0.1, 0.1]","[1.4799999999999993, 1.058300524425836, 0.8296987405076616, 0.9977975746613136, 0.8692525524840291, 0.7269112738154501, 1.1874342087037921, 0.7054076835419355, 0.3104834939252005, 0.43081318457076045, 0.38157568056677843, 0.46303347611160944, 0.641560597293818, 0.29999999999999977, 0.4200000000000003, 0.19595917942265434, 0.3370459909270545, 0.29999999999999977, 0.45825756949558394]",50,"[7.0, 4.0, 3.0, 4.0, 3.0, 3.0, 5.0, 4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 1.0, 3.0, 1.0, 2.0, 1.0, 3.0]","[3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.4285714285714284, 1.7647058823529411, 1.4210526315789473, 1.7222222222222223, 1.55, 1.3529411764705883, 1.875, 1.3333333333333333, 1.5, 1.5, 1.2, 1.3333333333333333, 1.5714285714285714, 1.0, 3.0, 1.0, 1.3333333333333333, 1.0, 1.6666666666666667]","[2.0, 32.0, 62.0, 64.0, 60.0, 66.0, 52.0, 76.0, 96.0, 92.0, 90.0, 88.0, 86.0, 90.0, 98.0, 96.0, 94.0, 90.0, 94.0]"
0.03,"[4.26, 1.68, 0.62, 0.76, 0.9, 0.56, 0.84, 0.46, 0.28, 0.22, 0.26, 0.46, 0.38, 0.18, 0.08, 0.04, 0.14, 0.14, 0.28]","[1.6100931650062988, 1.1737120600896973, 0.9977975746613136, 1.0499523798725345, 1.3453624047073713, 0.8754427451295715, 1.1019981851164722, 1.0239140588936162, 0.9389355675444409, 0.6095900261651273, 0.5936328831862331, 1.1350770898930165, 0.9141115905621151, 0.5173006862551027, 0.3370459909270544, 0.2799999999999999, 0.5295280917949491, 0.5295280917949491, 1.000799680255744]",50,"[7.0, 5.0, 4.0, 4.0, 6.0, 5.0, 4.0, 5.0, 6.0, 3.0, 2.0, 5.0, 4.0, 3.0, 2.0, 2.0, 3.0, 3.0, 5.0]","[4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.26, 2.0, 1.7222222222222223, 1.7272727272727273, 2.0454545454545454, 1.3333333333333333, 1.75, 1.9166666666666667, 2.0, 1.5714285714285714, 1.4444444444444444, 2.5555555555555554, 1.9, 1.2857142857142858, 1.3333333333333333, 2.0, 1.75, 1.75, 3.5]","[0.0, 16.0, 64.0, 56.00000000000001, 56.00000000000001, 57.99999999999999, 52.0, 76.0, 86.0, 86.0, 82.0, 82.0, 80.0, 86.0, 94.0, 98.0, 92.0, 92.0, 92.0]"
0.035,"[6.38, 2.46, 0.94, 1.38, 1.28, 1.46, 1.82, 0.76, 0.46, 0.52, 0.78, 1.1, 0.62, 0.38, 0.14, 0.24, 0.28, 0.38, 0.46]","[1.7987773625437917, 1.3886684269471965, 1.3177253128023312, 1.672004784682149, 1.3862178760930768, 1.6877203559831828, 2.1971800108320663, 1.2419339757008019, 0.72691127381545, 1.1872657663724666, 1.3006152390311287, 1.824828759089466, 1.1643023662262306, 0.9141115905621147, 0.4903060268852509, 0.8616263691415209, 0.8494704232638121, 1.0371113729971335, 1.4029967925836466]",50,"[10.0, 7.0, 5.0, 5.0, 6.0, 7.0, 9.0, 5.0, 3.0, 6.0, 4.0, 7.0, 5.0, 5.0, 3.0, 5.0, 5.0, 4.0, 7.0]","[7.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.38, 2.510204081632653, 2.1363636363636362, 2.6538461538461537, 2.3703703703703702, 2.5172413793103448, 3.033333333333333, 2.111111111111111, 1.3529411764705883, 2.0, 2.4375, 3.0555555555555554, 1.9375, 1.7272727272727273, 1.4, 2.4, 2.0, 2.375, 3.2857142857142856]","[0.0, 2.0, 56.00000000000001, 48.0, 46.0, 42.0, 40.0, 64.0, 66.0, 74.0, 68.0, 64.0, 68.0, 78.0, 90.0, 90.0, 86.0, 84.0, 86.0]"
0.04,"[7.58, 3.06, 1.5, 1.66, 2.74, 2.92, 3.08, 1.44, 0.6, 1.04, 1.28, 1.54, 1.84, 0.82, 0.34, 0.56, 0.72, 0.76, 0.84]","[1.8230743265155152, 1.69008875506584, 1.7578395831246945, 1.6924538398432023, 2.711530932886439, 2.8763866221354886, 3.058365576578444, 1.6752313273097539, 0.979795897113271, 1.754536975956905, 2.0103730997006495, 2.308332731648538, 2.852086955196143, 1.3666016244685204, 0.8627861844049198, 1.4022838514366474, 1.4702380759591287, 1.6560193235587555, 1.5278743403827428]",50,"[12.0, 7.0, 7.0, 6.0, 9.0, 10.0, 13.0, 8.0, 5.0, 7.0, 9.0, 9.0, 11.0, 6.0, 4.0, 7.0, 6.0, 8.0, 6.0]","[7.5, 3.0, 1.0, 1.5, 2.0, 2.5, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.58, 3.3260869565217392, 2.5, 2.59375, 3.8055555555555554, 4.171428571428572, 4.277777777777778, 2.4, 1.6666666666666667, 2.4761904761904763, 3.2, 3.5, 4.6, 2.2777777777777777, 2.125, 3.111111111111111, 2.769230769230769, 2.923076923076923, 3.0]","[0.0, 8.0, 40.0, 36.0, 28.000000000000004, 30.0, 28.000000000000004, 40.0, 64.0, 57.99999999999999, 60.0, 56.00000000000001, 60.0, 64.0, 84.0, 82.0, 74.0, 74.0, 72.0]"
0.045,"[8.2, 3.68, 1.26, 2.02, 2.48, 2.88, 3.06, 1.66, 0.78, 1.08, 1.6, 2.06, 2.82, 1.14, 0.42, 0.54, 0.74, 0.76, 1.22]","[1.9183326093250879, 2.0043951706188077, 1.9880643852752862, 2.908539152220578, 3.1889810284791595, 3.308413517080355, 3.500914166328561, 1.9658077220318364, 1.2851459061133879, 1.7645396000090223, 2.465765601187591, 2.648848806557294, 3.9328869803237425, 1.6734395716607153, 1.2343419299367582, 1.4029967925836473, 2.2874439883852875, 1.8714700104463329, 2.69287949971773]",50,"[13.0, 10.0, 7.0, 12.0, 12.0, 11.0, 13.0, 6.0, 5.0, 7.0, 9.0, 11.0, 14.0, 6.0, 7.0, 8.0, 15.0, 11.0, 15.0]","[8.0, 3.0, 0.0, 0.0, 0.5, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.2, 3.68, 2.8636363636363638, 4.208333333333333, 4.96, 4.8, 5.275862068965517, 3.1923076923076925, 2.0526315789473686, 2.5714285714285716, 3.8095238095238093, 3.814814814814815, 5.423076923076923, 2.590909090909091, 2.625, 2.7, 3.0833333333333335, 3.4545454545454546, 5.083333333333333]","[0.0, 0.0, 56.00000000000001, 52.0, 50.0, 40.0, 42.0, 48.0, 62.0, 57.99999999999999, 57.99999999999999, 46.0, 48.0, 56.00000000000001, 84.0, 80.0, 76.0, 78.0, 76.0]"
0.05,"[10.18, 4.4, 2.42, 3.28, 5.1, 5.38, 6.78, 2.9, 1.36, 2.24, 3.08, 4.12, 4.34, 2.34, 1.08, 1.04, 1.64, 2.38, 2.76]","[2.5114935795259363, 1.9078784028338918, 2.3587284710199268, 3.0596731851621013, 4.437341546466757, 4.5249972375682175, 5.2736704485585735, 2.9478805945967355, 1.7636326148038886, 2.9295733477760892, 3.877318661136843, 4.773426442294885, 4.735440845370154, 3.115188597821967, 2.0575713839378693, 1.8434749794884657, 2.6363611285254542, 3.6215466309299407, 4.1835869777022685]",50,"[16.0, 8.0, 8.0, 12.0, 20.0, 18.0, 24.0, 13.0, 9.0, 12.0, 17.0, 20.0, 18.0, 12.0, 10.0, 7.0, 10.0, 14.0, 15.0]","[10.0, 4.5, 2.0, 3.0, 5.0, 5.0, 6.0, 2.0, 1.0, 0.5, 2.0, 3.0, 3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[10.18, 4.4, 3.361111111111111, 4.4324324324324325, 6.538461538461538, 6.725, 8.475, 4.027777777777778, 2.5185185185185186, 4.48, 4.967741935483871, 6.645161290322581, 7.0, 4.5, 3.176470588235294, 2.736842105263158, 4.1, 5.666666666666667, 6.2727272727272725]","[0.0, 0.0, 28.000000000000004, 26.0, 22.0, 20.0, 20.0, 28.000000000000004, 46.0, 50.0, 38.0, 38.0, 38.0, 48.0, 66.0, 62.0, 60.0, 57.99999999999999, 56.00000000000001]"
0.055,"[12.32, 5.14, 3.18, 5.12, 6.08, 7.5, 8.96, 4.82, 2.92, 4.82, 5.74, 6.92, 8.38, 4.34, 2.98, 4.06, 5.0, 6.22, 7.58]","[2.043917806566595, 2.0397058611476306, 2.957634189686075, 4.439099007681627, 5.32480985576011, 6.158733636065128, 6.951143790772854, 4.515263004521442, 3.908145340183755, 5.760867990155652, 6.045858086326538, 7.168932974997047, 7.9571100281446405, 4.347919042484577, 3.7920443035386606, 4.7682701265763034, 5.462600113499065, 6.378996786329336, 7.992721689136936]",50,"[17.0, 10.0, 11.0, 15.0, 17.0, 20.0, 21.0, 20.0, 21.0, 24.0, 20.0, 28.0, 25.0, 18.0, 15.0, 17.0, 19.0, 20.0, 26.0]","[13.0, 5.0, 2.0, 4.0, 4.0, 6.0, 8.5, 3.5, 2.0, 3.0, 4.0, 6.0, 7.0, 4.0, 2.0, 2.0, 3.0, 5.5, 6.5]","[12.32, 5.14, 4.297297297297297, 6.4, 7.6, 9.375, 11.487179487179487, 6.17948717948718, 4.709677419354839, 7.53125, 8.441176470588236, 10.176470588235293, 11.971428571428572, 6.575757575757576, 5.321428571428571, 7.8076923076923075, 8.620689655172415, 10.366666666666667, 12.633333333333333]","[0.0, 0.0, 26.0, 20.0, 20.0, 20.0, 22.0, 22.0, 38.0, 36.0, 32.0, 32.0, 30.0, 34.0, 44.0, 48.0, 42.0, 40.0, 40.0]"
