beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.38, 0.36, 0.0, 0.06, 0.1, 0.14, 0.02, 0.04, 0.02, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.5963220606350228, 0.5571355310873647, 0.0, 0.23748684174075838, 0.3, 0.3469870314579492, 0.13999999999999999, 0.19595917942265428, 0.13999999999999985, 0.0, 0.0, 0.0, 0.13999999999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[2.0, 2.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1875, 1.125, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[68.0, 68.0, 100.0, 94.0, 90.0, 86.0, 98.0, 96.0, 98.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.0125,"[1.18, 0.3, 0.04, 0.18, 0.04, 0.06, 0.04, 0.06, 0.02, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.9314504817756014, 0.5744562646538027, 0.19595917942265437, 0.4331281565541545, 0.1959591794226543, 0.3104834939252, 0.1959591794226543, 0.2374868417407584, 0.13999999999999999, 0.0, 0.0, 0.1399999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[3.0, 2.0, 1.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5945945945945945, 1.25, 1.0, 1.125, 1.0, 1.5, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[26.0, 76.0, 96.0, 84.0, 96.0, 96.0, 96.0, 94.0, 98.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.015,"[1.26, 0.48, 0.08, 0.12, 0.14, 0.16, 0.1, 0.08, 0.0, 0.0, 0.02, 0.02, 0.0, 0.06, 0.0, 0.0, 0.04, 0.0, 0.0]","[1.016070863670443, 0.699714227381436, 0.27129319932501084, 0.32496153618543855, 0.40049968789001544, 0.41761226035642196, 0.2999999999999998, 0.2712931993250107, 0.0, 0.0, 0.13999999999999996, 0.13999999999999996, 0.0, 0.31048349392520025, 0.0, 0.0, 0.19595917942265428, 0.0, 0.0]",50,"[5.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.575, 1.3333333333333333, 1.0, 1.0, 1.1666666666666667, 1.1428571428571428, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.5, 0.0, 0.0, 1.0, 0.0, 0.0]","[20.0, 64.0, 92.0, 88.0, 88.0, 86.0, 90.0, 92.0, 100.0, 100.0, 98.0, 98.0, 100.0, 96.0, 100.0, 100.0, 96.0, 100.0, 100.0]"
0.0175,"[1.64, 0.68, 0.34, 0.2, 0.3, 0.26, 0.36, 0.02, 0.02, 0.02, 0.04, 0.02, 0.06, 0.06, 0.0, 0.0, 0.0, 0.0, 0.04]","[1.1447270417003348, 0.8109253973085316, 0.5868560300448484, 0.4000000000000001, 0.5744562646538027, 0.48207883172775806, 0.8428523002282193, 0.1399999999999999, 0.13999999999999999, 0.13999999999999987, 0.19595917942265428, 0.13999999999999999, 0.31048349392520047, 0.42000000000000054, 0.0, 0.0, 0.0, 0.0, 0.27999999999999975]",50,"[4.0, 3.0, 2.0, 1.0, 2.0, 2.0, 5.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 1.3076923076923077, 1.2142857142857142, 1.0, 1.25, 1.0833333333333333, 1.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.5, 3.0, 0.0, 0.0, 0.0, 0.0, 2.0]","[18.0, 48.0, 72.0, 80.0, 76.0, 76.0, 76.0, 98.0, 98.0, 98.0, 96.0, 98.0, 96.0, 98.0, 100.0, 100.0, 100.0, 100.0, 98.0]"
0.02,"[2.1, 0.7, 0.24, 0.34, 0.38, 0.16, 0.3, 0.14, 0.04, 0.02, 0.08, 0.04, 0.1, 0.02, 0.0, 0.0, 0.02, 0.02, 0.0]","[1.2041594578792296, 0.7549834435270747, 0.512249938994628, 0.681469001496033, 0.66, 0.4630334761116091, 0.7810249675906653, 0.40049968789001567, 0.19595917942265434, 0.13999999999999996, 0.33704599092705434, 0.27999999999999997, 0.41231056256176596, 0.13999999999999999, 0.0, 0.0, 0.1399999999999999, 0.1399999999999999, 0.0]",50,"[5.0, 3.0, 2.0, 3.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.1875, 1.2962962962962963, 1.2, 1.4166666666666667, 1.3571428571428572, 1.3333333333333333, 1.875, 1.1666666666666667, 1.0, 1.0, 1.3333333333333333, 2.0, 1.6666666666666667, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]","[4.0, 46.0, 80.0, 76.0, 72.0, 88.0, 84.0, 88.0, 96.0, 98.0, 94.0, 98.0, 94.0, 98.0, 100.0, 100.0, 98.0, 98.0, 100.0]"
0.0225,"[2.74, 1.08, 0.34, 0.28, 0.26, 0.32, 0.46, 0.1, 0.0, 0.02, 0.06, 0.04, 0.02, 0.06, 0.0, 0.0, 0.02, 0.0, 0.02]","[1.4671059948074647, 1.0361467077590896, 0.6200000000000002, 0.5306599664568641, 0.4820788317277582, 0.7054076835419356, 0.805232885567896, 0.3605551275463988, 0.0, 0.13999999999999987, 0.31048349392520036, 0.19595917942265434, 0.13999999999999987, 0.2374868417407584, 0.0, 0.0, 0.13999999999999987, 0.0, 0.13999999999999987]",50,"[7.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 0.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.9148936170212765, 1.8, 1.3076923076923077, 1.1666666666666667, 1.0833333333333333, 1.6, 1.5333333333333334, 1.25, 0.0, 1.0, 1.5, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0]","[6.0, 40.0, 74.0, 76.0, 76.0, 80.0, 70.0, 92.0, 100.0, 98.0, 96.0, 96.0, 98.0, 94.0, 100.0, 100.0, 98.0, 100.0, 98.0]"
0.025,"[3.56, 1.3, 0.34, 0.38, 0.58, 0.62, 0.46, 0.3, 0.08, 0.08, 0.08, 0.1, 0.06, 0.06, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.7106723824274477, 1.044030650891055, 0.5868560300448487, 0.6599999999999999, 0.8268010643437755, 1.0371113729971337, 0.9425497334358541, 0.6403124237432848, 0.2712931993250108, 0.33704599092705434, 0.33704599092705434, 0.3605551275463987, 0.31048349392520025, 0.23748684174075843, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[9.0, 4.0, 2.0, 3.0, 3.0, 5.0, 4.0, 2.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.63265306122449, 1.7567567567567568, 1.2142857142857142, 1.2666666666666666, 1.5263157894736843, 1.7222222222222223, 1.9166666666666667, 1.5, 1.0, 1.3333333333333333, 1.3333333333333333, 1.25, 1.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 26.0, 72.0, 70.0, 62.0, 64.0, 76.0, 80.0, 92.0, 94.0, 94.0, 92.0, 96.0, 94.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
0.0275,"[4.36, 1.82, 0.74, 0.56, 0.78, 0.8, 1.28, 0.42, 0.12, 0.16, 0.2, 0.32, 0.18, 0.14, 0.02, 0.02, 0.04, 0.02, 0.0]","[2.215942237514327, 1.1258774356030061, 1.0355674772799697, 0.9830564581955606, 0.9442457307290302, 1.0392304845413265, 1.2655433615645102, 0.8022468448052633, 0.43081318457076045, 0.6118823416311345, 0.6324555320336755, 0.8818163074019439, 0.47707441767506253, 0.4903060268852505, 0.13999999999999993, 0.13999999999999993, 0.27999999999999986, 0.13999999999999993, 0.0]",50,"[10.0, 5.0, 5.0, 5.0, 3.0, 4.0, 4.0, 4.0, 2.0, 4.0, 3.0, 5.0, 2.0, 3.0, 1.0, 1.0, 2.0, 1.0, 0.0]","[4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.448979591836735, 2.022222222222222, 1.608695652173913, 1.4736842105263157, 1.625, 1.8181818181818181, 2.0, 1.5, 1.5, 1.6, 1.6666666666666667, 1.7777777777777777, 1.2857142857142858, 1.4, 1.0, 1.0, 2.0, 1.0, 0.0]","[2.0, 10.0, 54.0, 62.0, 52.0, 56.00000000000001, 36.0, 72.0, 92.0, 90.0, 88.0, 82.0, 86.0, 90.0, 98.0, 98.0, 98.0, 98.0, 100.0]"
0.03,"[5.02, 1.82, 0.7, 0.94, 1.14, 1.68, 1.54, 0.74, 0.18, 0.32, 0.28, 0.3, 0.32, 0.18, 0.1, 0.08, 0.12, 0.1, 0.1]","[1.9848425630260957, 1.3219682295728592, 1.1000000000000005, 1.156027681329474, 1.5621779668142806, 1.9229144546755068, 2.0416659863944444, 0.9340235543068496, 0.43312815655415443, 0.9682974749528166, 0.8494704232638122, 0.7549834435270749, 0.6764613810115102, 0.7124605252222752, 0.3605551275463987, 0.33704599092705434, 0.6209669878504008, 0.41231056256176596, 0.458257569495584]",50,"[11.0, 6.0, 4.0, 5.0, 6.0, 10.0, 9.0, 3.0, 2.0, 6.0, 5.0, 4.0, 3.0, 4.0, 2.0, 2.0, 4.0, 2.0, 3.0]","[5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.02, 2.022222222222222, 1.6666666666666667, 1.7407407407407407, 2.590909090909091, 2.625, 2.9615384615384617, 1.608695652173913, 1.125, 1.7777777777777777, 2.0, 1.6666666666666667, 1.4545454545454546, 2.25, 1.25, 1.3333333333333333, 3.0, 1.6666666666666667, 1.6666666666666667]","[0.0, 10.0, 57.99999999999999, 46.0, 56.00000000000001, 36.0, 48.0, 54.0, 84.0, 82.0, 86.0, 82.0, 78.0, 92.0, 92.0, 94.0, 96.0, 94.0, 94.0]"
0.0325,"[5.4, 2.2, 0.76, 0.92, 1.06, 1.52, 1.08, 0.56, 0.22, 0.28, 0.38, 0.7, 0.58, 0.3, 0.12, 0.1, 0.16, 0.22, 0.32]","[1.8330302779823364, 1.4832396974191326, 1.0873821775254549, 1.246434916070631, 1.5285287043428397, 2.165548429382266, 1.426043477598071, 1.08, 0.7560423268574321, 0.7493997598078076, 0.7717512552629895, 1.40356688476182, 1.1329607230614835, 0.7549834435270749, 0.5153639490690051, 0.3, 0.5425863986500217, 0.8072174428244228, 1.103449137930698]",50,"[11.0, 5.0, 4.0, 5.0, 8.0, 11.0, 5.0, 5.0, 5.0, 3.0, 3.0, 6.0, 4.0, 4.0, 3.0, 1.0, 3.0, 5.0, 6.0]","[5.5, 2.0, 0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.4, 2.5, 1.9, 1.84, 2.0384615384615383, 2.7142857142857144, 2.25, 1.8666666666666667, 1.5714285714285714, 2.0, 1.7272727272727273, 2.6923076923076925, 2.4166666666666665, 1.6666666666666667, 2.0, 1.0, 1.6, 2.2, 3.2]","[0.0, 12.0, 60.0, 50.0, 48.0, 44.0, 52.0, 70.0, 86.0, 86.0, 78.0, 74.0, 76.0, 82.0, 94.0, 90.0, 90.0, 90.0, 90.0]"
