isolation_time,cleaningDay,tau_offset_days,beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
6,180,140,0.02,"[2.5, 1.08, 0.3, 0.28, 0.26, 0.42, 0.26, 0.14, 0.06, 0.06, 0.08, 0.04, 0.08, 0.02, 0.0, 0.0, 0.04, 0.0, 0.0]","[1.3601470508735443, 0.9346657156438339, 0.6082762530298219, 0.6337191807101943, 0.5936328831862333, 0.8964373932405992, 0.5219195340279956, 0.3469870314579493, 0.2374868417407584, 0.23748684174075843, 0.43999999999999934, 0.19595917942265437, 0.3370459909270546, 0.13999999999999996, 0.0, 0.0, 0.19595917942265434, 0.0, 0.0]",50,"[5.0, 3.0, 2.0, 3.0, 3.0, 4.0, 2.0, 1.0, 1.0, 1.0, 3.0, 1.0, 2.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[3.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.717391304347826, 1.588235294117647, 1.3636363636363635, 1.4, 1.3, 1.9090909090909092, 1.1818181818181819, 1.0, 1.0, 1.0, 2.0, 1.0, 1.3333333333333333, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[8.0, 32.0, 78.0, 80.0, 80.0, 78.0, 78.0, 86.0, 94.0, 94.0, 96.0, 96.0, 94.0, 98.0, 100.0, 100.0, 96.0, 100.0, 100.0]"
6,180,140,0.025,"[3.66, 1.48, 0.52, 0.46, 0.84, 0.66, 0.84, 0.44, 0.0, 0.08, 0.18, 0.12, 0.16, 0.06, 0.02, 0.06, 0.02, 0.04, 0.06]","[1.6566230711903054, 1.0438390680559912, 0.9431860898041277, 0.7539230729988308, 1.4745846872933412, 0.9509994742374994, 1.1892854997854803, 0.8284926070883194, 0.0, 0.3370459909270544, 0.5895761189193469, 0.47497368348151675, 0.5425863986500217, 0.23748684174075838, 0.13999999999999993, 0.31048349392520025, 0.13999999999999999, 0.1959591794226543, 0.31048349392520025]",50,"[8.0, 5.0, 4.0, 3.0, 6.0, 4.0, 5.0, 3.0, 0.0, 2.0, 3.0, 3.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0]","[4.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.7346938775510203, 1.8048780487804879, 1.7333333333333334, 1.4375, 2.3333333333333335, 1.65, 1.9090909090909092, 1.6923076923076923, 0.0, 1.3333333333333333, 1.8, 1.5, 1.6, 1.0, 1.0, 1.5, 1.0, 1.0, 1.5]","[2.0, 18.0, 70.0, 68.0, 64.0, 60.0, 56.00000000000001, 74.0, 100.0, 94.0, 90.0, 92.0, 90.0, 94.0, 98.0, 96.0, 98.0, 96.0, 96.0]"
6,180,140,0.03,"[4.82, 1.6, 0.8, 0.7, 1.02, 1.24, 0.86, 0.26, 0.24, 0.32, 0.38, 0.3, 0.4, 0.22, 0.04, 0.04, 0.12, 0.1, 0.18]","[1.7853851125177445, 1.3266499161421597, 0.8944271909999159, 0.9000000000000001, 1.1574109036984226, 1.4907716122867378, 1.2963024338479043, 0.48207883172775806, 0.5122499389946281, 0.9260669522232183, 0.7453858061433694, 0.6082762530298219, 0.7745966692414834, 0.6095900261651273, 0.19595917942265434, 0.19595917942265434, 0.43081318457076045, 0.4582575694955839, 0.589576118919347]",50,"[9.0, 6.0, 3.0, 3.0, 4.0, 6.0, 5.0, 2.0, 2.0, 4.0, 3.0, 2.0, 3.0, 3.0, 1.0, 1.0, 2.0, 3.0, 3.0]","[5.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.918367346938775, 2.051282051282051, 1.4814814814814814, 1.5909090909090908, 1.9615384615384615, 2.2962962962962963, 2.0476190476190474, 1.0833333333333333, 1.2, 2.2857142857142856, 1.5833333333333333, 1.3636363636363635, 1.6666666666666667, 1.5714285714285714, 1.0, 1.0, 1.5, 1.6666666666666667, 1.8]","[2.0, 22.0, 46.0, 56.00000000000001, 48.0, 46.0, 57.99999999999999, 76.0, 80.0, 86.0, 76.0, 78.0, 76.0, 86.0, 96.0, 96.0, 92.0, 94.0, 90.0]"
6,180,140,0.035,"[6.42, 2.36, 0.82, 1.14, 1.44, 1.7, 1.78, 0.84, 0.38, 0.82, 0.86, 1.0, 1.32, 0.5, 0.18, 0.3, 0.36, 0.54, 0.64]","[2.5929905514675524, 1.4799999999999995, 1.2114454176726244, 1.3417898494175602, 2.070362287137206, 2.220360331117451, 2.351935373261774, 1.22245654319489, 0.9141115905621153, 1.291355876588634, 1.4698299221338493, 1.8547236990991407, 2.203996370232946, 1.118033988749895, 0.5895761189193468, 0.830662386291808, 1.1092339699089646, 1.3595587519485877, 1.8413038858374269]",50,"[16.0, 5.0, 5.0, 4.0, 9.0, 11.0, 11.0, 6.0, 4.0, 5.0, 5.0, 7.0, 8.0, 5.0, 3.0, 3.0, 5.0, 6.0, 10.0]","[6.0, 2.0, 0.0, 1.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.42, 2.6818181818181817, 1.7826086956521738, 2.111111111111111, 2.88, 2.7419354838709675, 2.966666666666667, 1.9090909090909092, 1.9, 2.411764705882353, 2.8666666666666667, 3.125, 3.8823529411764706, 1.9230769230769231, 1.8, 2.5, 3.0, 3.0, 3.5555555555555554]","[0.0, 12.0, 54.0, 46.0, 50.0, 38.0, 40.0, 56.00000000000001, 80.0, 66.0, 70.0, 68.0, 66.0, 74.0, 90.0, 88.0, 88.0, 82.0, 82.0]"
6,180,140,0.04,"[8.06, 2.98, 1.16, 1.34, 1.8, 1.96, 2.2, 1.06, 0.4, 0.68, 1.06, 0.92, 1.08, 0.36, 0.26, 0.1, 0.28, 0.56, 0.64]","[2.1578693194908727, 1.881382470419027, 1.4192955999368135, 1.9453534383242554, 1.9595917942265424, 2.2087100307645633, 2.7202941017470876, 1.666253282067285, 0.8485281374238568, 1.3332666649999172, 2.148580927030677, 1.863759641155478, 2.3310083654933558, 0.8428523002282197, 0.9759098319004681, 0.41231056256176596, 0.8009993757800312, 1.8564482217395673, 2.076150283577758]",50,"[14.0, 8.0, 5.0, 9.0, 7.0, 8.0, 11.0, 6.0, 3.0, 6.0, 8.0, 8.0, 11.0, 4.0, 6.0, 2.0, 3.0, 12.0, 13.0]","[8.0, 3.0, 0.5, 0.0, 1.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.06, 3.1041666666666665, 2.32, 2.7916666666666665, 3.0, 3.2666666666666666, 3.793103448275862, 2.409090909090909, 1.8181818181818181, 2.8333333333333335, 4.416666666666667, 3.5384615384615383, 4.153846153846154, 1.8, 2.6, 1.6666666666666667, 2.3333333333333335, 3.5, 4.0]","[0.0, 4.0, 50.0, 52.0, 40.0, 40.0, 42.0, 56.00000000000001, 78.0, 76.0, 76.0, 74.0, 74.0, 80.0, 90.0, 94.0, 88.0, 84.0, 84.0]"
6,180,140,0.045,"[9.68, 4.88, 2.12, 2.52, 3.38, 4.38, 5.18, 2.26, 0.96, 1.06, 1.56, 2.0, 2.58, 1.28, 0.68, 0.9, 1.4, 1.86, 2.46]","[2.2130521909796883, 1.8290981384277882, 2.519047439013406, 2.6324133414036637, 3.2055576737909424, 3.9743678742662967, 4.479687489100105, 2.472326839234651, 1.5094369811290562, 1.8805318396666406, 2.5935304123915732, 3.4525353003264136, 3.6501506818212315, 2.0595145058969604, 1.7255723688098397, 2.202271554554524, 2.9120439557122064, 4.054676312604991, 5.485289418070846]",50,"[16.0, 9.0, 10.0, 14.0, 11.0, 15.0, 14.0, 10.0, 7.0, 8.0, 10.0, 14.0, 13.0, 11.0, 8.0, 10.0, 11.0, 17.0, 22.0]","[10.0, 5.0, 1.5, 2.0, 3.0, 4.0, 4.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.68, 4.88, 3.533333333333333, 3.4054054054054053, 4.447368421052632, 6.083333333333333, 7.0, 3.6451612903225805, 2.2857142857142856, 2.789473684210526, 3.7142857142857144, 5.0, 5.863636363636363, 3.0476190476190474, 3.4, 4.5, 5.384615384615385, 7.75, 10.25]","[0.0, 0.0, 40.0, 26.0, 24.0, 28.000000000000004, 26.0, 38.0, 57.99999999999999, 62.0, 57.99999999999999, 60.0, 56.00000000000001, 57.99999999999999, 80.0, 80.0, 74.0, 76.0, 76.0]"
6,180,140,0.05,"[11.68, 4.92, 2.36, 3.02, 4.46, 5.52, 6.06, 2.62, 1.1, 1.66, 2.6, 3.46, 3.94, 1.78, 0.78, 1.26, 1.5, 2.04, 2.68]","[2.8244645510255566, 2.1618510586994657, 2.6135033958271414, 3.602721193764514, 4.574756824138306, 5.780103805296233, 5.682992169623323, 3.0652242984812705, 1.8466185312619392, 2.6803731083563718, 4.127953488110058, 5.223830012548263, 5.412614894854427, 2.6251857077166947, 1.565758602083987, 2.5362176562747933, 3.52845575287547, 4.3079461463672, 4.9535441857320714]",50,"[18.0, 12.0, 12.0, 18.0, 20.0, 27.0, 19.0, 12.0, 8.0, 10.0, 18.0, 19.0, 20.0, 8.0, 5.0, 10.0, 19.0, 22.0, 23.0]","[11.5, 5.0, 2.0, 2.0, 4.0, 4.5, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[11.68, 4.92, 3.4705882352941178, 4.575757575757576, 6.371428571428571, 7.885714285714286, 8.911764705882353, 4.517241379310345, 2.8947368421052633, 4.368421052631579, 5.909090909090909, 7.863636363636363, 8.954545454545455, 4.045454545454546, 3.0, 4.5, 4.6875, 7.285714285714286, 8.375]","[0.0, 0.0, 32.0, 34.0, 30.0, 30.0, 32.0, 42.0, 62.0, 62.0, 56.00000000000001, 56.00000000000001, 56.00000000000001, 56.00000000000001, 74.0, 72.0, 68.0, 72.0, 68.0]"
6,180,140,0.055,"[13.98, 6.62, 3.1, 4.7, 6.1, 7.6, 9.28, 5.22, 2.62, 3.72, 4.56, 5.96, 7.5, 3.88, 2.12, 3.64, 4.04, 5.5, 6.68]","[2.789193431800671, 2.8836782067352797, 3.3896902513356593, 4.691481642295961, 5.415717865620401, 6.203224967708328, 7.321311357946745, 4.369393550597153, 3.6104847319992928, 4.5652601240236015, 6.040397337924054, 7.3456381615214354, 8.572630868059116, 4.676066723219419, 3.391990566024617, 5.812951057767475, 5.646095996350044, 7.782673062643709, 9.34759862210611]",50,"[24.0, 14.0, 15.0, 18.0, 19.0, 23.0, 29.0, 15.0, 16.0, 16.0, 24.0, 26.0, 33.0, 15.0, 14.0, 24.0, 23.0, 28.0, 30.0]","[14.0, 6.0, 2.5, 3.0, 5.0, 7.0, 9.0, 5.5, 1.0, 1.5, 2.0, 2.0, 3.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[13.98, 6.62, 3.9743589743589745, 6.351351351351352, 7.439024390243903, 9.5, 11.317073170731707, 6.525, 4.851851851851852, 6.642857142857143, 7.6, 9.933333333333334, 12.5, 6.689655172413793, 5.3, 9.1, 8.782608695652174, 11.458333333333334, 13.916666666666666]","[0.0, 0.0, 22.0, 26.0, 18.0, 20.0, 18.0, 20.0, 46.0, 44.0, 40.0, 40.0, 40.0, 42.0, 60.0, 60.0, 54.0, 52.0, 52.0]"
6,180,140,0.06,"[15.48, 8.04, 5.16, 7.6, 9.96, 12.4, 15.1, 7.6, 4.86, 6.86, 9.56, 11.68, 14.46, 7.2, 4.46, 5.96, 8.06, 10.58, 12.16]","[3.1063805304566277, 2.828144267890166, 3.9464414350145884, 5.261178575186362, 7.005597761790212, 8.357032966310472, 9.539916142189092, 4.898979485566356, 5.744597461963719, 7.163825793526809, 9.506124341707295, 10.634735539730174, 12.43094525770265, 6.334035048845245, 6.027304538514708, 7.138515251787308, 9.080550644096427, 11.55524123504135, 12.562420148999955]",50,"[26.0, 17.0, 18.0, 18.0, 25.0, 33.0, 34.0, 20.0, 21.0, 24.0, 32.0, 34.0, 43.0, 24.0, 29.0, 24.0, 28.0, 35.0, 40.0]","[15.0, 8.0, 5.0, 6.5, 9.0, 12.0, 14.5, 8.0, 3.0, 4.0, 7.5, 11.0, 15.0, 7.0, 1.0, 3.0, 5.5, 7.0, 9.5]","[15.48, 8.04, 6.2926829268292686, 9.047619047619047, 11.318181818181818, 14.090909090909092, 17.15909090909091, 8.837209302325581, 7.147058823529412, 9.8, 13.657142857142857, 16.22222222222222, 20.083333333333332, 10.0, 7.964285714285714, 10.642857142857142, 13.89655172413793, 17.633333333333333, 20.266666666666666]","[0.0, 0.0, 18.0, 16.0, 12.0, 12.0, 12.0, 14.000000000000002, 32.0, 30.0, 30.0, 28.000000000000004, 28.000000000000004, 28.000000000000004, 44.0, 44.0, 42.0, 40.0, 40.0]"
14,180,140,0.02,"[2.18, 0.98, 0.34, 0.26, 0.24, 0.32, 0.16, 0.14, 0.02, 0.04, 0.04, 0.0, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.26, 1.0293687385966215, 0.6200000000000002, 0.48207883172775795, 0.585149553533112, 0.6144916598294884, 0.4630334761116094, 0.44766058571198786, 0.13999999999999987, 0.19595917942265434, 0.19595917942265434, 0.0, 0.13999999999999987, 0.13999999999999987, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[6.0, 4.0, 2.0, 2.0, 2.0, 3.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.3191489361702127, 1.6333333333333333, 1.3076923076923077, 1.0833333333333333, 1.5, 1.2307692307692308, 1.3333333333333333, 1.4, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 40.0, 74.0, 76.0, 84.0, 74.0, 88.0, 90.0, 98.0, 96.0, 96.0, 100.0, 98.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
