cleaningDay,first_clean_day,tau_offset_days,beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
60,20,40,0.02,"[1.72, 0.18, 0.1, 0.04, 0.04, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.149608629055993, 0.43312815655415476, 0.2999999999999998, 0.27999999999999986, 0.19595917942265428, 0.0, 0.0, 0.0, 0.19595917942265434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[6.0, 2.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.9545454545454546, 1.125, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[12.0, 84.0, 90.0, 98.0, 96.0, 100.0, 100.0, 100.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.025,"[2.28, 0.46, 0.36, 0.06, 0.06, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3120975573485385, 0.8296987405076618, 0.6858571279792899, 0.31048349392520014, 0.2374868417407584, 0.0, 0.0, 0.0, 0.13999999999999996, 0.0, 0.1399999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[6.0, 3.0, 3.0, 2.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.425531914893617, 1.6428571428571428, 1.3846153846153846, 1.5, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 72.0, 74.0, 96.0, 94.0, 100.0, 100.0, 100.0, 98.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.03,"[2.4, 0.52, 0.38, 0.3, 0.12, 0.06, 0.02, 0.0, 0.02, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.2, 0.8541662601625049, 0.7972452571197898, 0.7280109889280517, 0.32496153618543855, 0.3104834939252004, 0.1399999999999999, 0.0, 0.13999999999999985, 0.0, 0.19595917942265428, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[5.0, 4.0, 4.0, 3.0, 1.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.5531914893617023, 1.4444444444444444, 1.5833333333333333, 1.875, 1.0, 1.5, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 64.0, 76.0, 84.0, 88.0, 96.0, 98.0, 100.0, 98.0, 100.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.035,"[4.12, 0.66, 0.58, 0.08, 0.16, 0.04, 0.04, 0.0, 0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.5954936540143303, 0.9509994742374995, 0.9816312953446423, 0.27129319932501084, 0.5425863986500215, 0.27999999999999997, 0.27999999999999997, 0.0, 0.19595917942265434, 0.0, 0.19595917942265434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[9.0, 4.0, 4.0, 1.0, 3.0, 2.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.12, 1.5714285714285714, 1.7058823529411764, 1.0, 1.6, 2.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 57.99999999999999, 66.0, 92.0, 90.0, 98.0, 98.0, 100.0, 96.0, 100.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.04,"[5.86, 1.12, 1.04, 0.2, 0.14, 0.0, 0.02, 0.0, 0.04, 0.0, 0.08, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.9596938536414297, 1.2270289320142371, 1.4961283367412026, 0.5291502622129177, 0.44766058571198797, 0.0, 0.13999999999999996, 0.0, 0.27999999999999997, 0.0, 0.33704599092705445, 0.0, 0.13999999999999993, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[12.0, 4.0, 6.0, 2.0, 2.0, 0.0, 1.0, 0.0, 2.0, 0.0, 2.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[5.86, 1.8666666666666667, 2.3636363636363638, 1.4285714285714286, 1.4, 0.0, 1.0, 0.0, 2.0, 0.0, 1.3333333333333333, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 40.0, 56.00000000000001, 86.0, 90.0, 100.0, 98.0, 100.0, 98.0, 100.0, 94.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.045,"[6.72, 1.6, 1.66, 0.52, 0.5, 0.04, 0.08, 0.0, 0.04, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.0, 0.0]","[1.897788186284233, 1.9493588689617933, 1.7732456118654292, 0.9846826900072938, 0.8544003745317531, 0.19595917942265434, 0.5599999999999999, 0.0, 0.19595917942265434, 0.0, 0.19595917942265434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.27999999999999975, 0.0, 0.0]",50,"[11.0, 8.0, 6.0, 4.0, 3.0, 1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]","[7.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.72, 2.5, 2.9642857142857144, 2.0, 1.6666666666666667, 1.0, 4.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]","[0.0, 36.0, 44.0, 74.0, 70.0, 96.0, 98.0, 100.0, 96.0, 100.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0]"
60,20,40,0.05,"[7.68, 1.98, 2.0, 0.5, 0.48, 0.12, 0.22, 0.1, 0.2, 0.08, 0.28, 0.04, 0.0, 0.04, 0.06, 0.0, 0.0, 0.0, 0.0]","[2.1113029152634635, 2.345122598074565, 2.7129319932501073, 1.02469507659596, 1.1178550889985697, 0.5153639490690052, 1.153949738940133, 0.4999999999999998, 0.6928203230275505, 0.5599999999999998, 0.9173875952943771, 0.27999999999999975, 0.0, 0.27999999999999975, 0.4200000000000004, 0.0, 0.0, 0.0, 0.0]",50,"[15.0, 9.0, 10.0, 4.0, 5.0, 3.0, 8.0, 3.0, 4.0, 4.0, 5.0, 2.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0]","[8.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[7.68, 3.5357142857142856, 3.7037037037037037, 2.272727272727273, 2.0, 2.0, 3.6666666666666665, 2.5, 2.0, 4.0, 2.0, 2.0, 0.0, 2.0, 3.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 44.0, 46.0, 78.0, 76.0, 94.0, 94.0, 96.0, 90.0, 98.0, 86.0, 98.0, 100.0, 98.0, 98.0, 100.0, 100.0, 100.0, 100.0]"
60,20,40,0.055,"[8.94, 3.16, 3.3, 0.66, 0.98, 0.4, 0.24, 0.04, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0]","[2.120471645648675, 2.708209740769721, 3.0215889859476253, 1.3654303350958619, 1.9543796969882787, 1.113552872566004, 0.8616263691415209, 0.27999999999999975, 0.6633249580710799, 0.0, 0.6633249580710796, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2374868417407584, 0.0, 0.0]",50,"[14.0, 9.0, 11.0, 6.0, 8.0, 4.0, 5.0, 2.0, 4.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[9.0, 3.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[8.94, 4.157894736842105, 4.230769230769231, 2.5384615384615383, 3.2666666666666666, 3.3333333333333335, 2.4, 2.0, 1.6666666666666667, 0.0, 1.6666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[0.0, 24.0, 22.0, 74.0, 70.0, 88.0, 90.0, 98.0, 88.0, 100.0, 88.0, 100.0, 100.0, 100.0, 100.0, 100.0, 94.0, 100.0, 100.0]"
60,20,40,0.06,"[9.84, 2.86, 3.3, 1.02, 1.18, 0.46, 0.56, 0.14, 0.22, 0.14, 0.3, 0.26, 0.22, 0.06, 0.1, 0.0, 0.1, 0.0, 0.0]","[2.0722934155181787, 3.4293439605848826, 3.562302626111374, 1.9234344283078648, 2.329721013340439, 1.499466571818125, 1.6989408465276246, 0.9799999999999998, 0.9008884503644167, 0.9799999999999998, 0.7810249675906653, 1.2459534501738017, 0.8784076502399104, 0.4200000000000005, 0.700000000000001, 0.0, 0.41231056256176585, 0.0, 0.0]",50,"[14.0, 14.0, 14.0, 7.0, 11.0, 7.0, 9.0, 7.0, 6.0, 7.0, 4.0, 8.0, 4.0, 3.0, 5.0, 0.0, 2.0, 0.0, 0.0]","[10.0, 1.5, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.84, 4.931034482758621, 5.5, 3.923076923076923, 3.6875, 3.8333333333333335, 4.666666666666667, 7.0, 2.2, 7.0, 1.6666666666666667, 4.333333333333333, 3.6666666666666665, 3.0, 5.0, 0.0, 1.6666666666666667, 0.0, 0.0]","[0.0, 42.0, 40.0, 74.0, 68.0, 88.0, 88.0, 98.0, 90.0, 98.0, 82.0, 94.0, 94.0, 98.0, 98.0, 100.0, 94.0, 100.0, 100.0]"
90,20,70,0.02,"[1.82, 0.18, 0.3, 0.18, 0.0, 0.02, 0.04, 0.04, 0.02, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3666016244685204, 0.554616984954482, 0.6082762530298219, 0.3841874542459709, 0.0, 0.13999999999999999, 0.19595917942265434, 0.27999999999999997, 0.13999999999999999, 0.13999999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[5.0, 3.0, 3.0, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.1666666666666665, 1.5, 1.25, 1.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[16.0, 88.0, 76.0, 82.0, 100.0, 98.0, 96.0, 98.0, 98.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
90,20,70,0.025,"[2.26, 0.52, 0.48, 0.3, 0.06, 0.12, 0.1, 0.02, 0.0, 0.04, 0.04, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.2619033243477886, 0.830421579681068, 0.8059776671843952, 0.5385164807134503, 0.2374868417407584, 0.43081318457076045, 0.2999999999999999, 0.13999999999999996, 0.0, 0.19595917942265428, 0.1959591794226543, 0.0, 0.1399999999999999, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",50,"[5.0, 4.0, 3.0, 2.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.404255319148936, 1.4444444444444444, 1.5, 1.1538461538461537, 1.0, 1.5, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[6.0, 64.0, 68.0, 74.0, 94.0, 92.0, 90.0, 98.0, 100.0, 96.0, 96.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
