beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.01,"[0.14, 0.14, 0.1, 0.08, 0.04, 0.0, 0.02, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.02, 0.0, 0.02, 0.02, 0.0, 0.02, 0.0]","[0.34698703145794935, 0.34698703145794935, 0.3, 0.27129319932501084, 0.19595917942265428, 0.0, 0.13999999999999999, 0.0, 0.19595917942265434, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13999999999999996, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13999999999999993, 0.0, 0.0, 0.1399999999999999, 0.0, 0.13999999999999999, 0.13999999999999987, 0.0, 0.13999999999999999, 0.0]",50,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]","[86.0, 86.0, 90.0, 92.0, 96.0, 100.0, 98.0, 100.0, 96.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 98.0, 100.0, 98.0, 98.0, 100.0, 98.0, 100.0]"
0.0125,"[0.06, 0.18, 0.14, 0.22, 0.02, 0.02, 0.02, 0.06, 0.02, 0.04, 0.0, 0.02, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, 0.04, 0.02, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.0, 0.0, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]","[0.2374868417407584, 0.3841874542459709, 0.3469870314579494, 0.41424630354415964, 0.13999999999999999, 0.1399999999999999, 0.13999999999999987, 0.23748684174075843, 0.13999999999999987, 0.19595917942265434, 0.0, 0.13999999999999996, 0.0, 0.0, 0.13999999999999987, 0.0, 0.0, 0.0, 0.13999999999999996, 0.1399999999999999, 0.27999999999999986, 0.13999999999999993, 0.0, 0.0, 0.0, 0.0, 0.13999999999999996, 0.0, 0.0, 0.0, 0.13999999999999987, 0.13999999999999996, 0.13999999999999999, 0.13999999999999999, 0.13999999999999993, 0.13999999999999987]",50,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[94.0, 82.0, 86.0, 78.0, 98.0, 98.0, 98.0, 94.0, 98.0, 96.0, 100.0, 98.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 98.0, 98.0, 98.0, 98.0, 100.0, 100.0, 100.0, 100.0, 98.0, 100.0, 100.0, 100.0, 98.0, 98.0, 98.0, 98.0, 98.0, 98.0]"
0.015,"[0.14, 0.2, 0.18, 0.16, 0.04, 0.02, 0.02, 0.04, 0.04, 0.1, 0.0, 0.06, 0.04, 0.0, 0.06, 0.02, 0.0, 0.02, 0.02, 0.04, 0.0, 0.08, 0.0, 0.06, 0.02, 0.02, 0.06, 0.04, 0.04, 0.04, 0.06, 0.04, 0.06, 0.08, 0.06, 0.0]","[0.34698703145794935, 0.4898979485566353, 0.38418745424597095, 0.36660605559646703, 0.19595917942265434, 0.13999999999999993, 0.1399999999999999, 0.19595917942265434, 0.19595917942265428, 0.2999999999999998, 0.0, 0.2374868417407584, 0.19595917942265434, 0.0, 0.2374868417407584, 0.13999999999999996, 0.0, 0.13999999999999996, 0.13999999999999999, 0.19595917942265428, 0.0, 0.2712931993250109, 0.0, 0.23748684174075843, 0.13999999999999987, 0.13999999999999993, 0.42000000000000026, 0.1959591794226543, 0.19595917942265428, 0.19595917942265437, 0.2374868417407584, 0.19595917942265428, 0.23748684174075835, 0.33704599092705434, 0.2374868417407584, 0.0]",50,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.3333333333333333, 1.0, 0.0]","[86.0, 84.0, 82.0, 84.0, 96.0, 98.0, 98.0, 96.0, 96.0, 90.0, 100.0, 94.0, 96.0, 100.0, 94.0, 98.0, 100.0, 98.0, 98.0, 96.0, 100.0, 92.0, 100.0, 94.0, 98.0, 98.0, 98.0, 96.0, 96.0, 96.0, 94.0, 96.0, 94.0, 94.0, 94.0, 100.0]"
0.0175,"[0.12, 0.32, 0.34, 0.38, 0.04, 0.0, 0.08, 0.06, 0.12, 0.14, 0.0, 0.0, 0.04, 0.04, 0.06, 0.08, 0.04, 0.02, 0.08, 0.02, 0.06, 0.06, 0.0, 0.04, 0.1, 0.06, 0.0, 0.08, 0.04, 0.06, 0.0, 0.04, 0.12, 0.08, 0.02, 0.0]","[0.3249615361854386, 0.5455272678794341, 0.4737087712930804, 0.6289674077406553, 0.27999999999999997, 0.0, 0.33704599092705434, 0.31048349392520047, 0.3249615361854385, 0.40049968789001555, 0.0, 0.0, 0.19595917942265428, 0.19595917942265428, 0.2374868417407584, 0.3370459909270544, 0.19595917942265434, 0.13999999999999985, 0.3370459909270546, 0.13999999999999999, 0.31048349392520036, 0.23748684174075843, 0.0, 0.19595917942265434, 0.2999999999999999, 0.23748684174075843, 0.0, 0.33704599092705445, 0.19595917942265434, 0.23748684174075838, 0.0, 0.19595917942265434, 0.4308131845707605, 0.27129319932501095, 0.13999999999999987, 0.0]",50,"[1.0, 2.0, 1.0, 2.0, 2.0, 0.0, 2.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 1.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 1.0, 2.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.1428571428571428, 1.0, 1.2666666666666666, 2.0, 0.0, 1.3333333333333333, 1.5, 1.0, 1.1666666666666667, 0.0, 0.0, 1.0, 1.0, 1.0, 1.3333333333333333, 1.0, 1.0, 1.3333333333333333, 1.0, 1.5, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.3333333333333333, 1.0, 1.0, 0.0, 1.0, 1.5, 1.0, 1.0, 0.0]","[88.0, 72.0, 66.0, 70.0, 98.0, 100.0, 94.0, 96.0, 88.0, 88.0, 100.0, 100.0, 96.0, 96.0, 94.0, 94.0, 96.0, 98.0, 94.0, 98.0, 96.0, 94.0, 100.0, 96.0, 90.0, 94.0, 100.0, 94.0, 96.0, 94.0, 100.0, 96.0, 92.0, 92.0, 98.0, 100.0]"
0.02,"[0.08, 0.3, 0.56, 0.5, 0.04, 0.06, 0.06, 0.08, 0.08, 0.22, 0.02, 0.04, 0.04, 0.0, 0.06, 0.1, 0.02, 0.0, 0.14, 0.08, 0.1, 0.14, 0.18, 0.1, 0.06, 0.08, 0.16, 0.06, 0.0, 0.04, 0.08, 0.14, 0.14, 0.18, 0.04, 0.02]","[0.2712931993250109, 0.5385164807134504, 0.6681317235396026, 0.6708203932499369, 0.19595917942265434, 0.2374868417407584, 0.2374868417407584, 0.2712931993250109, 0.27129319932501084, 0.5400000000000004, 0.13999999999999987, 0.19595917942265434, 0.19595917942265434, 0.0, 0.31048349392520047, 0.2999999999999998, 0.13999999999999987, 0.0, 0.40049968789001567, 0.2712931993250109, 0.2999999999999999, 0.3469870314579494, 0.4770744176750627, 0.2999999999999999, 0.23748684174075843, 0.2712931993250108, 0.4630334761116094, 0.31048349392520036, 0.0, 0.19595917942265428, 0.27129319932501084, 0.40049968789001567, 0.44766058571198775, 0.4331281565541545, 0.27999999999999997, 0.13999999999999999]",50,"[1.0, 2.0, 2.0, 3.0, 1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 0.0, 2.0, 1.0, 1.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.1538461538461537, 1.2173913043478262, 1.1904761904761905, 1.0, 1.0, 1.0, 1.0, 1.0, 1.375, 1.0, 1.0, 1.0, 0.0, 1.5, 1.0, 1.0, 0.0, 1.1666666666666667, 1.0, 1.0, 1.0, 1.2857142857142858, 1.0, 1.0, 1.0, 1.3333333333333333, 1.5, 0.0, 1.0, 1.0, 1.1666666666666667, 1.4, 1.125, 2.0, 1.0]","[92.0, 74.0, 54.0, 57.99999999999999, 96.0, 94.0, 94.0, 92.0, 92.0, 84.0, 98.0, 96.0, 96.0, 100.0, 96.0, 90.0, 98.0, 100.0, 88.0, 92.0, 90.0, 86.0, 86.0, 90.0, 94.0, 92.0, 88.0, 96.0, 100.0, 96.0, 92.0, 88.0, 90.0, 84.0, 98.0, 98.0]"
0.0225,"[0.22, 0.58, 0.66, 0.78, 0.02, 0.08, 0.06, 0.12, 0.04, 0.18, 0.0, 0.04, 0.1, 0.08, 0.1, 0.02, 0.02, 0.08, 0.1, 0.14, 0.18, 0.2, 0.12, 0.08, 0.22, 0.14, 0.16, 0.26, 0.08, 0.06, 0.08, 0.2, 0.16, 0.26, 0.06, 0.14]","[0.41424630354415964, 0.6352952069707435, 0.7378346698278689, 0.87840765023991, 0.13999999999999999, 0.2712931993250108, 0.3104834939252004, 0.3249615361854385, 0.19595917942265434, 0.47707441767506265, 0.0, 0.19595917942265434, 0.36055512754639873, 0.33704599092705456, 0.3605551275463989, 0.13999999999999993, 0.1399999999999999, 0.3370459909270544, 0.36055512754639873, 0.34698703145794935, 0.4770744176750627, 0.44721359549995776, 0.32496153618543866, 0.33704599092705445, 0.5400000000000005, 0.34698703145794924, 0.41761226035642196, 0.6575712889109436, 0.27129319932501084, 0.23748684174075843, 0.33704599092705434, 0.5656854249492376, 0.417612260356422, 0.5936328831862331, 0.2374868417407584, 0.4476605857119876]",50,"[1.0, 2.0, 2.0, 3.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0, 0.0, 1.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 3.0, 1.0, 1.0, 2.0, 3.0, 2.0, 2.0, 1.0, 2.0]","[0.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.0, 1.16, 1.32, 1.4444444444444444, 1.0, 1.0, 1.5, 1.0, 1.0, 1.2857142857142858, 0.0, 1.0, 1.25, 1.3333333333333333, 1.25, 1.0, 1.0, 1.3333333333333333, 1.25, 1.0, 1.2857142857142858, 1.1111111111111112, 1.0, 1.3333333333333333, 1.375, 1.0, 1.1428571428571428, 1.625, 1.0, 1.0, 1.3333333333333333, 1.4285714285714286, 1.1428571428571428, 1.4444444444444444, 1.0, 1.4]","[78.0, 50.0, 50.0, 46.0, 98.0, 92.0, 96.0, 88.0, 96.0, 86.0, 100.0, 96.0, 92.0, 94.0, 92.0, 98.0, 98.0, 94.0, 92.0, 86.0, 86.0, 82.0, 88.0, 94.0, 84.0, 86.0, 86.0, 84.0, 92.0, 94.0, 94.0, 86.0, 86.0, 82.0, 94.0, 90.0]"
0.025,"[0.28, 0.44, 0.88, 0.96, 0.12, 0.2, 0.12, 0.3, 0.36, 0.42, 0.04, 0.1, 0.08, 0.1, 0.1, 0.16, 0.14, 0.12, 0.06, 0.08, 0.14, 0.16, 0.08, 0.14, 0.14, 0.28, 0.38, 0.34, 0.14, 0.18, 0.16, 0.18, 0.16, 0.22, 0.18, 0.14]","[0.530659966456864, 0.6053098380168622, 1.032279032045115, 0.9583318840568755, 0.3815756805667785, 0.44721359549995776, 0.3815756805667783, 0.6708203932499367, 0.68585712797929, 0.6352952069707438, 0.19595917942265437, 0.49999999999999983, 0.27129319932501095, 0.36055512754639885, 0.36055512754639873, 0.4630334761116095, 0.34698703145794935, 0.3815756805667783, 0.23748684174075838, 0.2712931993250107, 0.3469870314579492, 0.46303347611160917, 0.33704599092705456, 0.4476605857119881, 0.4004996878900155, 0.6013318551349159, 0.71805292284065, 0.681469001496033, 0.4004996878900155, 0.47707441767506287, 0.5043808085167399, 0.517300686255103, 0.417612260356422, 0.4600000000000003, 0.43312815655415465, 0.3469870314579492]",50,"[2.0, 2.0, 5.0, 4.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 1.0, 3.0, 1.0, 2.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0]","[0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1666666666666667, 1.1578947368421053, 1.5714285714285714, 1.4545454545454546, 1.2, 1.1111111111111112, 1.2, 1.5, 1.3846153846153846, 1.2352941176470589, 1.0, 2.5, 1.0, 1.25, 1.25, 1.3333333333333333, 1.0, 1.2, 1.0, 1.0, 1.0, 1.3333333333333333, 1.3333333333333333, 1.4, 1.1666666666666667, 1.2727272727272727, 1.4615384615384615, 1.5454545454545454, 1.1666666666666667, 1.2857142857142858, 1.6, 1.5, 1.1428571428571428, 1.1, 1.125, 1.0]","[76.0, 62.0, 44.0, 34.0, 90.0, 82.0, 90.0, 80.0, 74.0, 66.0, 96.0, 96.0, 92.0, 92.0, 92.0, 88.0, 86.0, 90.0, 94.0, 92.0, 86.0, 88.0, 94.0, 90.0, 88.0, 78.0, 74.0, 78.0, 88.0, 86.0, 90.0, 88.0, 86.0, 80.0, 84.0, 86.0]"
0.0275,"[0.58, 0.82, 0.88, 1.0, 0.06, 0.16, 0.2, 0.18, 0.28, 0.36, 0.12, 0.14, 0.14, 0.16, 0.3, 0.34, 0.16, 0.14, 0.26, 0.26, 0.28, 0.42, 0.08, 0.16, 0.24, 0.18, 0.54, 0.22, 0.1, 0.18, 0.16, 0.3, 0.38, 0.52, 0.06, 0.28]","[0.7236021006050221, 0.931450481775602, 0.7652450587883595, 0.8, 0.31048349392520014, 0.417612260356422, 0.5999999999999996, 0.5546169849544824, 0.633719180710194, 0.5919459434779497, 0.38157568056677843, 0.6327716807822551, 0.44766058571198797, 0.4176122603564221, 0.7280109889280517, 0.5868560300448484, 0.6118823416311344, 0.4476605857119881, 0.558927544499285, 0.593632883186233, 0.6337191807101943, 0.8738420909981393, 0.2712931993250109, 0.463033476111609, 0.5851495535331122, 0.517300686255103, 1.0809255293497328, 0.5015974481593783, 0.2999999999999999, 0.5173006862551026, 0.41761226035642196, 0.6403124237432847, 0.7180529228406497, 0.8059776671843953, 0.23748684174075843, 0.6939740629158986]",50,"[2.0, 4.0, 3.0, 3.0, 2.0, 2.0, 3.0, 3.0, 3.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 2.0, 4.0, 2.0, 2.0, 3.0, 3.0, 4.0, 1.0, 2.0, 3.0, 3.0, 5.0, 2.0, 1.0, 3.0, 2.0, 3.0, 3.0, 3.0, 1.0, 3.0]","[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.3181818181818181, 1.4642857142857142, 1.3333333333333333, 1.4285714285714286, 1.5, 1.1428571428571428, 1.6666666666666667, 1.5, 1.4, 1.2, 1.2, 2.3333333333333335, 1.4, 1.1428571428571428, 1.5, 1.2142857142857142, 1.6, 1.4, 1.3, 1.3, 1.4, 1.75, 1.0, 1.3333333333333333, 1.3333333333333333, 1.2857142857142858, 1.9285714285714286, 1.2222222222222223, 1.0, 1.2857142857142858, 1.1428571428571428, 1.3636363636363635, 1.4615384615384615, 1.4444444444444444, 1.0, 1.5555555555555556]","[56.00000000000001, 44.0, 34.0, 30.0, 96.0, 86.0, 88.0, 88.0, 80.0, 70.0, 90.0, 94.0, 90.0, 86.0, 80.0, 72.0, 90.0, 90.0, 80.0, 80.0, 80.0, 76.0, 92.0, 88.0, 82.0, 86.0, 72.0, 82.0, 90.0, 86.0, 86.0, 78.0, 74.0, 64.0, 94.0, 82.0]"
0.03,"[0.56, 0.96, 1.44, 1.4, 0.16, 0.24, 0.38, 0.56, 0.76, 0.94, 0.08, 0.16, 0.26, 0.34, 0.34, 0.7, 0.22, 0.24, 0.26, 0.2, 0.3, 0.46, 0.26, 0.34, 0.44, 0.54, 0.7, 0.48, 0.08, 0.38, 0.24, 0.38, 0.54, 0.74, 0.16, 0.32]","[0.6974238309665077, 1.1128342194594847, 1.329059818066892, 1.1832159566199232, 0.41761226035642207, 0.7631513611335566, 0.5249761899362674, 1.0031948963187562, 1.0873821775254546, 1.391545902943917, 0.271293199325011, 0.5425863986500219, 0.5219195340279955, 0.6200000000000003, 0.6200000000000001, 1.0630145812734655, 0.5015974481593783, 0.6183849933496127, 0.7432361670424817, 0.5291502622129175, 0.6708203932499368, 0.8534635317340745, 0.7158212067269306, 0.8627861844049199, 0.8284926070883196, 1.0041912168506557, 1.2845232578665124, 0.8997777503361595, 0.2712931993250109, 0.7180529228406498, 0.6800000000000004, 0.8219489035213806, 1.080925529349733, 1.03556747727997, 0.41761226035642207, 0.7054076835419355]",50,"[3.0, 5.0, 7.0, 5.0, 2.0, 4.0, 2.0, 4.0, 4.0, 6.0, 1.0, 3.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 3.0, 4.0, 5.0, 4.0, 5.0, 5.0, 3.0, 1.0, 3.0, 3.0, 3.0, 5.0, 4.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.2173913043478262, 1.7142857142857142, 1.894736842105263, 1.8421052631578947, 1.1428571428571428, 2.0, 1.0555555555555556, 1.8666666666666667, 1.6521739130434783, 2.1363636363636362, 1.0, 1.6, 1.1818181818181819, 1.3076923076923077, 1.3076923076923077, 1.75, 1.2222222222222223, 1.7142857142857142, 1.8571428571428572, 1.25, 1.5, 1.6428571428571428, 1.625, 1.7, 1.5714285714285714, 1.8, 2.5, 1.7142857142857142, 1.0, 1.4615384615384615, 2.0, 1.7272727272727273, 1.9285714285714286, 1.7619047619047619, 1.1428571428571428, 1.6]","[54.0, 44.0, 24.0, 24.0, 86.0, 88.0, 64.0, 70.0, 54.0, 56.00000000000001, 92.0, 90.0, 78.0, 74.0, 74.0, 60.0, 82.0, 86.0, 86.0, 84.0, 80.0, 72.0, 84.0, 80.0, 72.0, 70.0, 72.0, 72.0, 92.0, 74.0, 88.0, 78.0, 72.0, 57.99999999999999, 86.0, 80.0]"
0.0325,"[0.7, 0.98, 1.44, 1.88, 0.18, 0.34, 0.42, 0.76, 0.68, 1.0, 0.06, 0.12, 0.36, 0.42, 0.76, 0.8, 0.22, 0.22, 0.48, 0.52, 0.6, 0.64, 0.36, 0.48, 0.64, 0.92, 1.16, 1.32, 0.36, 0.34, 0.58, 0.66, 0.68, 1.06, 0.3, 0.54]","[0.854400374531753, 0.9271461589199406, 1.3290598180668918, 1.3804347141389917, 0.47707441767506265, 0.6814690014960328, 0.8964373932405988, 1.2257242756835651, 0.988736567544662, 1.2328828005937953, 0.3104834939252004, 0.32496153618543844, 0.5571355310873646, 0.7769169839822015, 1.4636939570825591, 1.442220510185596, 0.5400000000000005, 0.672011904656458, 0.8304215796810679, 0.8059776671843951, 1.0198039027185566, 1.4527215837867897, 0.6858571279792899, 0.9846826900072944, 0.9112628599915614, 1.6951696080333674, 1.8799999999999997, 2.18577217477028, 0.71442284397967, 0.7378346698278689, 1.4154857823376397, 1.2101239605924676, 1.0087616170334797, 1.5285287043428395, 0.5744562646538027, 0.9210863151735567]",50,"[3.0, 4.0, 4.0, 7.0, 2.0, 4.0, 5.0, 7.0, 3.0, 5.0, 2.0, 1.0, 2.0, 3.0, 7.0, 6.0, 2.0, 4.0, 3.0, 3.0, 4.0, 7.0, 3.0, 5.0, 3.0, 7.0, 7.0, 8.0, 3.0, 3.0, 9.0, 7.0, 4.0, 7.0, 2.0, 3.0]","[0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.4583333333333333, 1.4848484848484849, 2.1818181818181817, 2.35, 1.2857142857142858, 1.2142857142857142, 1.6153846153846154, 1.7272727272727273, 1.7894736842105263, 1.8518518518518519, 1.5, 1.0, 1.125, 1.6153846153846154, 2.235294117647059, 2.2222222222222223, 1.375, 1.5714285714285714, 1.6, 1.5294117647058822, 1.875, 2.6666666666666665, 1.3846153846153846, 1.6, 1.6, 2.7058823529411766, 2.9, 3.473684210526316, 1.5, 1.5454545454545454, 2.0714285714285716, 1.8333333333333333, 1.7, 2.3043478260869565, 1.25, 1.6875]","[52.0, 34.0, 34.0, 20.0, 86.0, 72.0, 74.0, 56.00000000000001, 62.0, 46.0, 96.0, 88.0, 68.0, 74.0, 66.0, 64.0, 84.0, 86.0, 70.0, 66.0, 68.0, 76.0, 74.0, 70.0, 60.0, 66.0, 60.0, 62.0, 76.0, 78.0, 72.0, 64.0, 60.0, 54.0, 76.0, 68.0]"
