beta,mean,std,n,max,median,nonzero_mean,disease_free(%)
0.02,"[0.32, 0.3, 0.36, 0.4, 0.02, 0.0, 0.06, 0.06, 0.08, 0.04, 0.0, 0.04, 0.02, 0.02, 0.02, 0.02, 0.0, 0.0, 0.06, 0.04, 0.08, 0.04, 0.0, 0.0, 0.02, 0.04, 0.06, 0.02, 0.06, 0.0, 0.04, 0.02, 0.06, 0.08, 0.04, 0.0]","[0.5455272678794341, 0.5744562646538027, 0.656048778674269, 0.5656854249492381, 0.13999999999999996, 0.0, 0.23748684174075843, 0.2374868417407584, 0.27129319932501084, 0.1959591794226543, 0.0, 0.19595917942265428, 0.13999999999999999, 0.13999999999999999, 0.1399999999999999, 0.13999999999999987, 0.0, 0.0, 0.3104834939252, 0.27999999999999986, 0.33704599092705445, 0.19595917942265434, 0.0, 0.0, 0.13999999999999985, 0.19595917942265437, 0.3104834939252, 0.13999999999999987, 0.23748684174075838, 0.0, 0.19595917942265428, 0.13999999999999996, 0.2374868417407584, 0.27129319932501084, 0.19595917942265428, 0.0]",50,"[2.0, 2.0, 2.0, 2.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 2.0, 2.0, 1.0, 0.0, 0.0, 1.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1428571428571428, 1.25, 1.3846153846153846, 1.1111111111111112, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.5, 2.0, 1.3333333333333333, 1.0, 0.0, 0.0, 1.0, 1.0, 1.5, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]","[72.0, 76.0, 74.0, 64.0, 98.0, 100.0, 94.0, 94.0, 92.0, 96.0, 100.0, 96.0, 98.0, 98.0, 98.0, 98.0, 100.0, 100.0, 96.0, 98.0, 94.0, 96.0, 100.0, 100.0, 98.0, 96.0, 96.0, 98.0, 94.0, 100.0, 96.0, 98.0, 94.0, 92.0, 96.0, 100.0]"
0.025,"[0.34, 0.64, 0.9, 0.94, 0.14, 0.12, 0.28, 0.18, 0.18, 0.34, 0.04, 0.06, 0.14, 0.12, 0.18, 0.28, 0.06, 0.06, 0.16, 0.08, 0.14, 0.26, 0.08, 0.08, 0.12, 0.14, 0.06, 0.18, 0.1, 0.12, 0.04, 0.14, 0.14, 0.26, 0.02, 0.04]","[0.5517245689653488, 0.7144228439796702, 0.7810249675906654, 1.0278132126023678, 0.4004996878900155, 0.3815756805667783, 0.6939740629158982, 0.4331281565541545, 0.4331281565541546, 0.7901898506055366, 0.19595917942265434, 0.4200000000000002, 0.44766058571198786, 0.38157568056677843, 0.517300686255103, 0.6013318551349158, 0.23748684174075843, 0.23748684174075843, 0.542586398650022, 0.27129319932501084, 0.6327716807822551, 0.715821206726931, 0.33704599092705456, 0.33704599092705456, 0.4749736834815168, 0.44766058571198797, 0.3104834939252001, 0.6539113089708724, 0.3605551275463988, 0.3815756805667784, 0.1959591794226543, 0.4476605857119875, 0.4476605857119876, 0.8199999999999997, 0.13999999999999987, 0.2799999999999999]",50,"[2.0, 2.0, 4.0, 5.0, 2.0, 2.0, 3.0, 2.0, 2.0, 4.0, 1.0, 3.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0, 3.0, 1.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 4.0, 2.0, 2.0, 1.0, 2.0, 2.0, 5.0, 1.0, 2.0]","[0.0, 0.5, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.1333333333333333, 1.28, 1.2857142857142858, 1.5666666666666667, 1.1666666666666667, 1.2, 1.75, 1.125, 1.125, 1.7, 1.0, 3.0, 1.4, 1.2, 1.5, 1.4, 1.0, 1.0, 1.6, 1.0, 2.3333333333333335, 1.625, 1.3333333333333333, 1.3333333333333333, 2.0, 1.4, 1.5, 1.8, 1.25, 1.2, 1.0, 1.4, 1.4, 1.8571428571428572, 1.0, 2.0]","[70.0, 50.0, 30.0, 40.0, 88.0, 90.0, 84.0, 84.0, 84.0, 80.0, 96.0, 98.0, 90.0, 90.0, 88.0, 80.0, 94.0, 94.0, 90.0, 92.0, 94.0, 84.0, 94.0, 94.0, 94.0, 90.0, 96.0, 90.0, 92.0, 90.0, 96.0, 90.0, 90.0, 86.0, 98.0, 98.0]"
0.03,"[0.54, 1.06, 1.36, 1.58, 0.14, 0.26, 0.2, 0.32, 0.3, 0.54, 0.04, 0.12, 0.3, 0.14, 0.34, 0.34, 0.06, 0.06, 0.12, 0.18, 0.2, 0.3, 0.08, 0.2, 0.16, 0.18, 0.2, 0.14, 0.08, 0.04, 0.02, 0.06, 0.24, 0.3, 0.16, 0.14]","[0.6696267617113285, 1.0470912090166742, 0.9541488353501252, 1.2663332894621384, 0.4903060268852505, 0.6264183905346328, 0.5291502622129178, 0.8818163074019445, 0.6403124237432848, 0.9635351576356725, 0.19595917942265437, 0.43081318457076045, 0.7280109889280517, 0.5660388679233966, 0.8627861844049198, 0.8856635930193815, 0.31048349392520036, 0.31048349392520025, 0.3815756805667783, 0.43312815655415443, 0.6324555320336754, 0.806225774829855, 0.2712931993250109, 0.5656854249492379, 0.46303347611160905, 0.5895761189193475, 0.6324555320336753, 0.4004996878900154, 0.33704599092705456, 0.19595917942265434, 0.1399999999999999, 0.3104834939252003, 0.6183849933496125, 0.7810249675906653, 0.6118823416311342, 0.40049968789001533]",50,"[3.0, 5.0, 3.0, 5.0, 3.0, 3.0, 2.0, 5.0, 2.0, 4.0, 1.0, 2.0, 3.0, 3.0, 4.0, 4.0, 2.0, 2.0, 2.0, 2.0, 3.0, 4.0, 1.0, 3.0, 2.0, 3.0, 4.0, 2.0, 2.0, 1.0, 1.0, 2.0, 3.0, 4.0, 4.0, 2.0]","[0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.173913043478261, 1.7096774193548387, 1.7, 1.975, 1.4, 1.4444444444444444, 1.4285714285714286, 2.0, 1.5, 1.6875, 1.0, 1.5, 1.6666666666666667, 2.3333333333333335, 2.125, 2.125, 1.5, 1.5, 1.2, 1.125, 1.6666666666666667, 1.875, 1.0, 1.4285714285714286, 1.3333333333333333, 1.8, 1.4285714285714286, 1.1666666666666667, 1.3333333333333333, 1.0, 1.0, 1.5, 1.5, 1.6666666666666667, 1.6, 1.1666666666666667]","[54.0, 38.0, 20.0, 20.0, 90.0, 82.0, 86.0, 84.0, 80.0, 68.0, 96.0, 92.0, 82.0, 94.0, 84.0, 84.0, 96.0, 96.0, 90.0, 84.0, 88.0, 84.0, 92.0, 86.0, 88.0, 90.0, 86.0, 88.0, 94.0, 96.0, 98.0, 96.0, 84.0, 82.0, 90.0, 88.0]"
0.035,"[0.96, 1.7, 1.8, 2.68, 0.36, 0.44, 0.68, 0.88, 1.24, 1.28, 0.12, 0.18, 0.28, 0.34, 0.5, 0.84, 0.16, 0.22, 0.58, 0.36, 0.62, 0.9, 0.22, 0.28, 0.24, 0.76, 0.46, 0.66, 0.16, 0.34, 0.34, 0.52, 0.78, 0.76, 0.22, 0.44]","[0.9789790600416337, 1.081665382639197, 1.4832396974191326, 1.9943921379708658, 0.6560487786742691, 0.983056458195561, 1.207311061822926, 1.6569852141766388, 1.738505104968058, 1.939484467584105, 0.43081318457076034, 0.5895761189193469, 0.7756287771866124, 1.0697663296253066, 1.4594519519326423, 2.257077756746542, 0.5043808085167398, 0.7011419257183242, 1.3869390758068647, 0.866256313108309, 1.3840520221436765, 1.7233687939614086, 0.6095900261651273, 0.775628777186612, 0.6800000000000003, 1.772681584492827, 0.9635351576356718, 1.504792344478133, 0.50438080851674, 0.7901898506055367, 0.8856635930193815, 1.0814804667676625, 1.4600000000000002, 1.2579348154813113, 0.4142463035441596, 0.9200000000000006]",50,"[4.0, 4.0, 5.0, 10.0, 2.0, 5.0, 4.0, 8.0, 6.0, 8.0, 2.0, 3.0, 3.0, 5.0, 7.0, 10.0, 3.0, 4.0, 6.0, 4.0, 6.0, 9.0, 3.0, 4.0, 3.0, 10.0, 4.0, 9.0, 2.0, 3.0, 4.0, 4.0, 6.0, 5.0, 1.0, 4.0]","[1.0, 2.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.6, 2.0238095238095237, 2.1951219512195124, 2.851063829787234, 1.3846153846153846, 1.8333333333333333, 2.125, 2.588235294117647, 2.8181818181818183, 2.782608695652174, 1.5, 1.8, 2.0, 2.8333333333333335, 4.166666666666667, 4.2, 1.3333333333333333, 1.8333333333333333, 3.2222222222222223, 2.0, 2.3846153846153846, 2.25, 1.5714285714285714, 1.75, 1.7142857142857142, 3.1666666666666665, 1.9166666666666667, 2.357142857142857, 1.6, 1.8888888888888888, 2.125, 2.3636363636363638, 2.6, 2.235294117647059, 1.0, 1.8333333333333333]","[40.0, 16.0, 18.0, 6.0, 74.0, 76.0, 68.0, 66.0, 56.00000000000001, 54.0, 92.0, 90.0, 86.0, 88.0, 88.0, 80.0, 88.0, 88.0, 82.0, 82.0, 74.0, 60.0, 86.0, 84.0, 86.0, 76.0, 76.0, 72.0, 90.0, 82.0, 84.0, 78.0, 70.0, 66.0, 78.0, 76.0]"
0.04,"[1.22, 2.14, 2.5, 3.5, 0.52, 0.7, 0.88, 1.58, 1.84, 2.6, 0.26, 0.52, 0.74, 1.2, 1.38, 1.5, 0.26, 0.48, 0.78, 1.2, 1.42, 1.64, 0.42, 0.82, 1.3, 1.34, 1.78, 2.02, 0.44, 0.54, 0.84, 0.94, 1.22, 1.66, 0.44, 0.56]","[1.100727032465361, 1.5875767697972905, 1.6881943016134133, 2.1931712199461306, 0.921737489744233, 1.2041594578792294, 1.2592060990957754, 1.9908792027644469, 2.460569039876752, 2.8, 0.9759098319004681, 1.2528367810692653, 1.1101351269102337, 2.0396078054371136, 2.2968674319603215, 2.3, 0.558927544499285, 1.1530828244319664, 1.315902731967679, 1.8330302779823358, 1.9400000000000002, 2.3896443249990167, 0.7769169839822017, 1.2440257232067191, 1.8466185312619385, 2.025931884343598, 2.3090257685872624, 2.634312054408133, 1.0031948963187565, 1.283900307656323, 1.9530488985173928, 1.748256274120016, 2.0619408332927502, 2.4216523284732676, 0.9200000000000003, 1.0983624174196784]",50,"[4.0, 7.0, 8.0, 10.0, 4.0, 5.0, 4.0, 9.0, 12.0, 12.0, 6.0, 6.0, 4.0, 9.0, 10.0, 11.0, 2.0, 5.0, 5.0, 7.0, 6.0, 10.0, 3.0, 5.0, 7.0, 10.0, 8.0, 10.0, 6.0, 6.0, 10.0, 9.0, 9.0, 10.0, 4.0, 5.0]","[1.0, 2.0, 2.0, 3.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]","[1.7428571428571429, 2.488372093023256, 2.9761904761904763, 3.5714285714285716, 1.7333333333333334, 2.0588235294117645, 2.0952380952380953, 2.7241379310344827, 3.1724137931034484, 3.823529411764706, 2.6, 2.3636363636363638, 1.9473684210526316, 3.0, 4.0588235294117645, 3.260869565217391, 1.3, 2.4, 2.2941176470588234, 2.857142857142857, 3.0869565217391304, 3.4166666666666665, 1.5, 2.05, 2.9545454545454546, 2.576923076923077, 3.2962962962962963, 3.740740740740741, 1.6923076923076923, 2.4545454545454546, 3.0, 2.473684210526316, 3.05, 3.074074074074074, 1.5714285714285714, 1.75]","[30.0, 14.000000000000002, 16.0, 2.0, 70.0, 66.0, 57.99999999999999, 42.0, 42.0, 32.0, 90.0, 78.0, 62.0, 60.0, 66.0, 54.0, 80.0, 80.0, 66.0, 57.99999999999999, 54.0, 52.0, 72.0, 60.0, 56.00000000000001, 48.0, 46.0, 46.0, 74.0, 78.0, 72.0, 62.0, 60.0, 46.0, 72.0, 68.0]"
0.045,"[1.86, 2.6, 3.82, 4.7, 1.24, 1.36, 1.62, 2.6, 2.8, 3.38, 0.62, 1.04, 1.62, 2.06, 2.5, 3.14, 0.52, 0.9, 1.36, 1.92, 2.74, 3.3, 0.76, 1.26, 1.8, 2.44, 2.92, 3.58, 0.76, 1.06, 1.64, 2.1, 2.94, 3.4, 0.76, 1.32]","[1.3417898494175602, 1.6613247725836153, 2.2062638101550776, 2.9614185789921694, 1.3499629624548959, 1.4934523762075576, 1.874993333321481, 3.280243893371345, 3.1811947441173722, 3.85688993879784, 1.2631706139710501, 1.928315326911032, 2.8627958362412085, 3.408284025723208, 3.6345563690772495, 4.322082831228481, 1.0047885349664378, 1.40356688476182, 2.260619384151167, 2.6820887382784337, 3.4223383818669952, 3.3600595232822883, 1.1757550765359253, 1.9678414570284875, 2.2, 2.9608106997915282, 3.6432952117554245, 4.1040955154577, 1.3792751719653333, 1.701881311960385, 2.725876005984132, 3.0282007859453457, 4.465019596821497, 4.331281565541542, 1.4361058456812998, 2.1673947494630506]",50,"[6.0, 6.0, 8.0, 13.0, 6.0, 6.0, 9.0, 15.0, 14.0, 15.0, 6.0, 9.0, 14.0, 16.0, 12.0, 14.0, 4.0, 7.0, 11.0, 14.0, 13.0, 12.0, 5.0, 10.0, 8.0, 13.0, 14.0, 13.0, 5.0, 7.0, 13.0, 14.0, 21.0, 16.0, 7.0, 8.0]","[2.0, 2.0, 4.0, 4.0, 1.0, 1.0, 1.0, 1.5, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.5, 2.5, 0.0, 0.5, 1.0, 2.0, 2.0, 1.5, 0.0, 0.0, 0.0, 0.5, 1.0, 1.5, 0.0, 0.0]","[2.1136363636363638, 2.888888888888889, 4.0638297872340425, 4.895833333333333, 2.066666666666667, 2.2666666666666666, 2.793103448275862, 4.0625, 4.375, 4.694444444444445, 2.3846153846153846, 2.736842105263158, 3.6818181818181817, 4.681818181818182, 5.434782608695652, 6.541666666666667, 2.0, 2.142857142857143, 3.5789473684210527, 3.5555555555555554, 4.724137931034483, 4.852941176470588, 1.9, 2.52, 3.4615384615384617, 4.357142857142857, 5.0344827586206895, 6.392857142857143, 2.533333333333333, 2.65, 3.4166666666666665, 4.2, 5.653846153846154, 5.3125, 2.235294117647059, 3.142857142857143]","[12.0, 10.0, 6.0, 4.0, 40.0, 40.0, 42.0, 36.0, 36.0, 28.000000000000004, 74.0, 62.0, 56.00000000000001, 56.00000000000001, 54.0, 52.0, 74.0, 57.99999999999999, 62.0, 46.0, 42.0, 32.0, 60.0, 50.0, 48.0, 44.0, 42.0, 44.0, 70.0, 60.0, 52.0, 50.0, 48.0, 36.0, 66.0, 57.99999999999999]"
0.05,"[1.88, 3.3, 4.88, 6.38, 1.12, 1.84, 2.56, 4.36, 4.9, 5.98, 1.28, 1.8, 2.92, 3.74, 4.26, 5.78, 1.1, 2.16, 2.88, 3.5, 4.94, 5.14, 1.2, 1.84, 2.8, 3.28, 4.76, 5.26, 1.3, 2.66, 3.42, 4.36, 5.68, 6.72, 1.64, 2.3]","[1.2432216214336038, 1.7691806012954132, 3.2902279556286067, 3.9186222068477083, 1.807097119692243, 2.781078927322992, 3.2196894260161186, 5.684223781660959, 6.194352266379431, 6.278503006290593, 2.5926048676958082, 3.3406586176980135, 4.146516610361038, 5.066793858052644, 5.369580989239291, 6.931926139248743, 1.982422760159902, 3.7542509239527426, 4.576636319394409, 4.976946855251722, 6.664563001427777, 6.600030302960736, 2.0297783130184435, 2.693399339125189, 3.8314488121336026, 3.8316576047449766, 5.148048173822774, 5.6703086335754245, 1.9313207915827966, 3.1280025575437116, 4.142897536748888, 4.906159394067828, 5.445879176037604, 5.567908045217702, 1.9571407716360116, 3.3120990323358392]",50,"[5.0, 8.0, 16.0, 21.0, 8.0, 13.0, 12.0, 24.0, 23.0, 23.0, 12.0, 15.0, 13.0, 19.0, 19.0, 22.0, 10.0, 18.0, 24.0, 24.0, 28.0, 22.0, 11.0, 14.0, 15.0, 17.0, 21.0, 26.0, 8.0, 11.0, 13.0, 20.0, 19.0, 22.0, 7.0, 18.0]","[2.0, 3.0, 4.0, 5.5, 0.0, 0.0, 1.0, 1.0, 3.0, 4.0, 0.0, 0.0, 0.0, 0.5, 2.0, 3.5, 0.0, 0.0, 1.0, 1.5, 1.0, 2.0, 0.0, 1.0, 1.0, 3.0, 3.0, 4.5, 0.0, 1.0, 2.0, 3.0, 5.0, 5.5, 1.0, 1.0]","[2.0434782608695654, 3.3, 4.88, 6.510204081632653, 2.8, 4.181818181818182, 4.923076923076923, 6.8125, 7.903225806451613, 8.08108108108108, 4.0, 5.294117647058823, 6.083333333333333, 7.48, 7.344827586206897, 10.703703703703704, 2.619047619047619, 4.5, 5.333333333333333, 6.0344827586206895, 8.233333333333333, 8.290322580645162, 2.857142857142857, 3.5384615384615383, 4.666666666666667, 5.290322580645161, 6.8, 7.514285714285714, 2.8260869565217392, 4.75, 5.896551724137931, 7.266666666666667, 8.352941176470589, 7.813953488372093, 3.1538461538461537, 4.107142857142857]","[8.0, 0.0, 0.0, 2.0, 60.0, 56.00000000000001, 48.0, 36.0, 38.0, 26.0, 68.0, 66.0, 52.0, 50.0, 42.0, 46.0, 57.99999999999999, 52.0, 46.0, 42.0, 40.0, 38.0, 57.99999999999999, 48.0, 40.0, 38.0, 30.0, 30.0, 54.0, 44.0, 42.0, 40.0, 32.0, 14.000000000000002, 48.0, 44.0]"
0.055,"[2.76, 4.12, 5.7, 8.22, 1.32, 2.18, 3.48, 4.58, 6.46, 8.66, 1.52, 2.62, 3.4, 5.18, 6.44, 7.94, 1.76, 3.06, 4.86, 6.9, 8.88, 11.26, 2.8, 4.16, 6.3, 7.5, 10.18, 12.0, 2.4, 4.76, 5.9, 7.62, 10.12, 11.22, 2.44, 4.3]","[1.4499655168313481, 1.9456618411224496, 3.0610455730027932, 3.864142854502147, 1.8269099594670783, 2.503517525403008, 3.7215050718761638, 4.72055081531806, 5.689323334105735, 6.955889590843144, 2.080769088582392, 3.428644046850008, 4.019950248448355, 5.955468075642754, 7.316173863434356, 8.403356472267493, 2.168501786948768, 4.192421734510974, 5.1147238439626435, 6.315853069855249, 8.02406380832057, 9.212621776671394, 3.280243893371345, 4.908604689725991, 6.490762667052309, 7.531932023060219, 9.727671869465993, 10.667708282475669, 2.668332812825266, 5.791580095276246, 5.886425061104575, 7.426681627752734, 8.885133651217636, 7.980701723532836, 2.6469605210505125, 4.846648326421054]",50,"[8.0, 11.0, 16.0, 17.0, 7.0, 8.0, 13.0, 16.0, 22.0, 27.0, 8.0, 12.0, 15.0, 24.0, 25.0, 30.0, 8.0, 22.0, 17.0, 30.0, 28.0, 33.0, 11.0, 21.0, 22.0, 26.0, 30.0, 36.0, 10.0, 27.0, 27.0, 30.0, 38.0, 29.0, 9.0, 21.0]","[3.0, 4.0, 5.0, 8.0, 0.5, 1.0, 3.0, 3.0, 6.0, 7.5, 0.0, 0.0, 1.5, 3.0, 3.5, 5.5, 1.0, 2.0, 4.0, 6.0, 8.0, 11.5, 1.5, 2.0, 3.5, 5.0, 8.0, 10.5, 1.0, 3.0, 5.0, 6.5, 9.0, 11.5, 1.0, 3.0]","[2.875, 4.204081632653061, 5.7, 8.387755102040817, 2.64, 3.7586206896551726, 5.8, 6.542857142857143, 8.72972972972973, 10.825, 3.3043478260869565, 5.458333333333333, 5.862068965517241, 8.931034482758621, 11.5, 11.676470588235293, 3.3846153846153846, 5.1, 6.942857142857143, 9.324324324324325, 11.384615384615385, 14.075, 4.827586206896552, 6.303030303030303, 9.0, 10.135135135135135, 13.051282051282051, 15.789473684210526, 3.2432432432432434, 6.611111111111111, 8.194444444444445, 9.76923076923077, 12.65, 13.357142857142858, 3.588235294117647, 6.515151515151516]","[4.0, 2.0, 0.0, 2.0, 50.0, 42.0, 40.0, 30.0, 26.0, 20.0, 54.0, 52.0, 42.0, 42.0, 44.0, 32.0, 48.0, 40.0, 30.0, 26.0, 22.0, 20.0, 42.0, 34.0, 30.0, 26.0, 22.0, 24.0, 26.0, 28.000000000000004, 28.000000000000004, 22.0, 20.0, 16.0, 32.0, 34.0]"
0.06,"[2.62, 5.34, 7.82, 10.34, 2.6, 4.54, 6.76, 8.92, 11.74, 15.5, 3.9, 6.04, 8.62, 11.2, 13.88, 15.96, 5.14, 8.24, 11.28, 14.58, 17.86, 20.98, 5.34, 8.6, 11.64, 15.88, 18.78, 21.9, 4.84, 8.24, 12.62, 14.96, 18.5, 21.14, 5.26, 8.92]","[1.7764008556629327, 2.363133512944201, 3.308715762950937, 4.946150017943249, 2.416609194718914, 4.109549853694441, 6.045031017290152, 7.207884571772775, 8.934897872947403, 10.892658077806354, 3.796050579220462, 6.302253565193962, 7.127103198354856, 9.127978965795219, 10.563408540807272, 10.457456669764403, 4.595693636438356, 6.8892960453155165, 8.667271773747492, 10.048064490238902, 11.832176469272252, 11.59394669644466, 4.479330307088326, 6.867313885355758, 7.583561168738603, 9.69049018368008, 9.833188699501296, 10.340696301506975, 3.9210202753875167, 5.4902094677707876, 8.118842282000555, 8.667087169285885, 8.338465086573187, 8.357056898214825, 3.3633911458526495, 5.465674706749388]",50,"[8.0, 11.0, 20.0, 23.0, 9.0, 17.0, 23.0, 31.0, 30.0, 36.0, 15.0, 22.0, 27.0, 37.0, 38.0, 38.0, 15.0, 26.0, 33.0, 35.0, 41.0, 40.0, 16.0, 28.0, 30.0, 39.0, 36.0, 37.0, 18.0, 22.0, 38.0, 32.0, 35.0, 35.0, 14.0, 21.0]","[2.0, 5.0, 7.0, 9.5, 2.0, 4.0, 5.0, 7.5, 10.5, 14.5, 3.0, 3.5, 7.5, 9.0, 13.5, 16.0, 4.0, 7.5, 12.0, 13.5, 20.0, 23.0, 4.0, 7.0, 10.5, 16.0, 20.5, 24.5, 4.0, 7.5, 11.0, 15.5, 19.0, 22.5, 5.0, 8.5]","[2.911111111111111, 5.34, 7.82, 10.34, 3.7142857142857144, 6.135135135135135, 8.24390243902439, 10.372093023255815, 13.340909090909092, 17.22222222222222, 5.0, 7.947368421052632, 10.775, 14.0, 16.926829268292682, 18.136363636363637, 6.425, 10.3, 13.428571428571429, 15.51063829787234, 19.0, 20.98, 6.068181818181818, 9.347826086956522, 12.125, 16.893617021276597, 19.97872340425532, 23.29787234042553, 5.5, 8.76595744680851, 13.145833333333334, 15.583333333333334, 18.877551020408163, 21.571428571428573, 5.717391304347826, 9.48936170212766]","[10.0, 0.0, 0.0, 0.0, 30.0, 26.0, 18.0, 14.000000000000002, 12.0, 10.0, 22.0, 24.0, 20.0, 20.0, 18.0, 12.0, 20.0, 20.0, 16.0, 6.0, 6.0, 0.0, 12.0, 8.0, 4.0, 6.0, 6.0, 6.0, 12.0, 6.0, 4.0, 4.0, 2.0, 2.0, 8.0, 6.0]"
0.065,"[3.26, 6.56, 9.98, 15.0, 3.88, 6.6, 9.62, 14.34, 18.86, 23.4, 6.52, 9.84, 14.18, 17.84, 23.22, 25.14, 6.34, 11.14, 16.08, 20.38, 24.06, 26.1, 6.28, 11.66, 16.6, 20.28, 25.46, 28.78, 5.54, 10.62, 15.2, 19.2, 21.82, 25.12, 6.2, 11.08]","[2.1148049555455466, 3.395055227827671, 4.666861900678015, 6.690291473471092, 3.438837012712292, 5.44426303552648, 7.407806692942251, 8.78546526940947, 9.994018210909966, 9.951884243699784, 4.522123395043527, 6.230120384069637, 8.208995066389067, 9.691976062702588, 11.377679904092926, 12.104561123807835, 4.735440845370154, 7.271891088293334, 9.80375438288822, 11.359383786103892, 12.64026898447972, 10.72240644631605, 4.228664091648803, 6.632073582221476, 8.937561188601734, 9.593831351446617, 10.292152350213245, 10.104038796441747, 4.262440615422108, 6.817301518929613, 9.556149852320232, 9.846826900072937, 10.676497553036763, 10.08491943448236, 3.768288736283355, 6.541681740959277]",50,"[10.0, 15.0, 22.0, 31.0, 12.0, 26.0, 36.0, 35.0, 43.0, 39.0, 17.0, 23.0, 27.0, 35.0, 40.0, 45.0, 16.0, 27.0, 40.0, 42.0, 44.0, 41.0, 17.0, 27.0, 35.0, 37.0, 47.0, 44.0, 15.0, 29.0, 44.0, 33.0, 40.0, 40.0, 14.0, 32.0]","[3.0, 6.0, 9.0, 15.0, 3.0, 6.0, 8.5, 14.5, 19.0, 24.5, 6.5, 10.0, 14.5, 20.0, 27.0, 29.0, 6.0, 10.0, 16.5, 21.5, 27.5, 29.0, 6.0, 11.5, 16.0, 21.0, 27.5, 32.0, 4.0, 11.0, 16.5, 22.5, 23.5, 26.5, 6.0, 10.5]","[3.3958333333333335, 6.6938775510204085, 9.98, 15.0, 4.7317073170731705, 7.173913043478261, 10.688888888888888, 14.9375, 19.244897959183675, 23.877551020408163, 7.2444444444444445, 10.933333333333334, 15.41304347826087, 19.391304347826086, 25.23913043478261, 27.32608695652174, 7.204545454545454, 12.108695652173912, 17.106382978723403, 20.79591836734694, 24.551020408163264, 26.632653061224488, 6.977777777777778, 12.145833333333334, 17.291666666666668, 21.125, 26.520833333333332, 29.979166666666668, 6.295454545454546, 11.8, 16.52173913043478, 20.869565217391305, 22.729166666666668, 25.632653061224488, 6.458333333333333, 11.541666666666666]","[4.0, 2.0, 0.0, 0.0, 18.0, 8.0, 10.0, 4.0, 2.0, 2.0, 10.0, 10.0, 8.0, 8.0, 8.0, 8.0, 12.0, 8.0, 6.0, 2.0, 2.0, 2.0, 10.0, 4.0, 4.0, 4.0, 4.0, 4.0, 12.0, 10.0, 8.0, 8.0, 4.0, 2.0, 4.0, 4.0]"
