beta,mean,std,n_iter,handwash,data_type,init_env,tau0
0.02,"[0.26, 0.58, 1.18, 0.94, 0.14, 0.12, 0.24, 0.26, 0.54, 0.36, 0.04, 0.06, 0.18, 0.2, 0.16, 0.18, 0.08, 0.16, 0.16, 0.18, 0.24, 0.32, 0.22, 0.3, 0.28, 0.46, 0.48, 0.32, 0.08, 0.26, 0.28, 0.28, 0.34, 0.4, 0.22, 0.26]","[0.48697315854455187, 0.7848046682754497, 1.2237446712481177, 1.076843459716729, 0.45220547975269776, 0.32826072265931605, 0.5174505793221382, 0.48697315854455175, 1.1104328995890733, 0.8020382198638971, 0.1979486637221575, 0.31363569143000203, 0.5225526045191967, 0.7284313590846831, 0.37032803990902047, 0.38808793449160356, 0.2740475156178697, 0.509501557146486, 0.5480950312357393, 0.43752550946038743, 0.5174505793221381, 0.6207303137828691, 0.4646701704940171, 0.5439837932759933, 0.5728553615932407, 0.8134080483135294, 1.0544366906997675, 0.5869325309764037, 0.2740475156178699, 0.6642473107178664, 0.536047515408392, 0.607436903584837, 0.626294577622371, 0.7559289460184544, 0.5454823740581943, 0.527218345349884]",50,0.8,B,2,60
0.025,"[0.68, 0.84, 1.48, 1.96, 0.32, 0.38, 0.36, 0.46, 0.82, 1.24, 0.3, 0.46, 0.3, 0.54, 0.78, 0.76, 0.38, 0.4, 0.68, 1.12, 1.14, 1.52, 0.32, 0.62, 1.06, 1.26, 1.54, 1.46, 0.16, 0.36, 0.48, 0.78, 0.7, 1.14, 0.28, 0.66]","[0.6833291853200797, 0.933721979335325, 1.328494621435734, 1.3395095051121193, 0.6207303137828694, 0.6667006794044591, 0.692820323027551, 0.8381222939355787, 1.2887266298678748, 1.5591729885305425, 0.6468132241526725, 0.9304376850247874, 0.6144518047887589, 1.14660101061835, 1.555634918610405, 1.221574761510397, 0.7529533687488252, 0.8329931278350425, 1.1506874608915585, 1.8805123053604953, 1.6036947136827122, 1.6689236418868838, 0.6833291853200795, 1.0079277589921503, 1.4201178450669338, 2.0284708224549406, 1.971325049041784, 1.8974741535170656, 0.37032803990902036, 0.7761758689832072, 0.7886956423909863, 1.1301074538037779, 1.0546302185881005, 1.5254306852525954, 0.6401530429259448, 0.9171829096728301]",50,0.8,B,2,60
0.03,"[1.4, 2.08, 3.18, 3.76, 0.8, 1.18, 1.76, 2.24, 2.84, 3.82, 0.62, 0.88, 1.24, 1.84, 2.4, 2.92, 0.66, 0.8, 1.18, 2.06, 2.32, 2.84, 0.82, 1.5, 2.32, 3.2, 3.42, 4.46, 1.0, 1.62, 2.16, 2.96, 3.26, 4.46, 1.16, 1.78]","[1.2289036095775179, 1.8276783533393688, 1.9865876804825147, 2.2728207772972957, 0.9689042833036098, 1.4803474495633009, 2.1998144634194463, 2.1623871918199424, 2.971703284004523, 3.088424735514657, 1.0476406924170913, 1.1542291358128087, 1.7209394681572106, 2.1127407482669893, 2.9623487647611024, 2.9126045571142085, 0.9171829096728301, 1.4568627181693674, 1.8810548495295862, 2.5185839883002608, 3.0867723053873157, 3.053001199890137, 1.0631105688650895, 2.589224137198837, 2.683585782690992, 3.619674131234265, 3.5747984101861445, 4.638833421260574, 1.52529689314733, 2.440224144940587, 2.582199663473144, 3.392428544357483, 3.3491393960057185, 4.243650719436206, 1.31490668560044, 1.7761457928759734]",50,0.8,B,2,60
0.035,"[1.36, 2.68, 3.74, 5.36, 1.16, 1.68, 2.4, 3.84, 5.62, 7.2, 1.24, 2.1, 3.3, 4.3, 5.6, 6.16, 1.64, 2.5, 3.94, 5.06, 6.9, 8.12, 1.8, 4.22, 4.74, 6.48, 8.16, 10.28, 1.92, 3.4, 4.2, 5.64, 6.86, 8.16, 1.72, 3.5]","[1.3211003453367876, 1.6467655372559504, 2.247992301533771, 3.712966798798447, 1.5433861526936583, 2.1893993212192013, 2.4327694808466287, 3.2221174429754313, 4.365402008277995, 4.499433070863892, 1.6970562748477138, 2.6515301704672267, 3.6770107646382146, 4.180860179046257, 5.4921093676403085, 5.997822734211176, 1.7700455430552622, 2.589224137198837, 3.605041820924169, 3.9969886623990996, 4.5141500883785595, 4.967814778498631, 1.9272482233188633, 3.3581457468583555, 3.503991892638091, 4.051908091711048, 5.1124497901830654, 5.558740130347406, 2.0186881980177938, 2.996596709057576, 4.085814184592883, 4.693721381607911, 5.576956964115094, 4.9625536546731865, 1.6418009026924163, 3.0321407538273037]",50,0.8,B,2,60
0.04,"[2.12, 3.82, 5.46, 7.7, 1.72, 2.62, 4.84, 7.04, 10.2, 12.66, 3.28, 4.44, 7.12, 9.3, 11.3, 13.32, 3.06, 5.52, 7.64, 9.36, 11.98, 14.42, 3.84, 6.28, 8.42, 10.12, 12.72, 15.44, 3.24, 5.94, 8.64, 11.32, 13.6, 14.18, 4.06, 6.84]","[1.451810973247143, 1.9865876804825147, 2.6435134320268014, 3.453776401067595, 1.990179973402057, 2.7913130550743626, 3.66093553338376, 4.694590895218601, 5.458563764155086, 5.445874679095008, 2.9140055887778535, 3.494368647538202, 4.574284821986171, 5.218686987887953, 6.2376408413202284, 5.430225311971457, 2.4024647208010936, 4.44118020718064, 4.69372138160791, 6.760509581083245, 7.069595722067096, 7.290166706752658, 2.9854066827192063, 4.4448548563341825, 4.870108744542923, 5.188842031961762, 6.114686235212895, 7.106076732671288, 2.714736804621646, 4.1028113805645265, 4.9683077232245845, 6.045541450405533, 6.1045316054918555, 6.0023464799448325, 2.992575847673979, 4.643889995005726]",50,0.8,B,2,60
0.045,"[2.3, 4.8, 7.68, 11.04, 2.4, 5.46, 8.06, 11.12, 14.7, 17.12, 4.12, 7.42, 10.72, 13.04, 16.44, 17.8, 4.84, 9.68, 12.92, 15.36, 20.28, 20.56, 5.68, 10.6, 14.1, 16.8, 20.74, 22.22, 6.36, 10.74, 14.26, 18.14, 20.36, 21.88, 6.18, 11.06]","[1.3887301496588271, 2.5394841192330255, 4.176904429388455, 4.72060182949728, 2.555506259999759, 4.760423579164067, 6.149199383759196, 6.974121259839031, 7.27379978177198, 6.894659275889725, 3.3051598497883665, 5.8207580683099955, 7.4396620506963504, 7.832324439299549, 9.40073813862616, 9.710083124552245, 3.2972468416383203, 6.325974959140565, 7.295064028757628, 6.47052973890398, 7.131533882006317, 6.074906566846798, 3.241566766556076, 5.484672520129276, 6.051648451421467, 6.4365030434678925, 6.359341513851565, 5.729586657456723, 3.2997216951291706, 4.843720951196634, 6.023118725683021, 7.480614402355912, 5.309829160555517, 5.442238435025929, 3.426725693660326, 5.064522460716512]",50,0.8,B,2,60
0.05,"[2.9, 7.36, 11.76, 15.48, 5.18, 8.92, 13.08, 17.14, 22.1, 24.18, 6.94, 12.78, 17.86, 22.38, 25.74, 27.5, 8.24, 13.64, 19.06, 21.98, 26.32, 27.34, 10.12, 17.08, 22.62, 25.58, 27.56, 29.74, 8.62, 15.56, 21.14, 24.66, 26.0, 26.82, 8.52, 14.68]","[1.9820624179302302, 3.102073039574849, 5.7907738018756865, 6.175131164433609, 4.178125739357009, 5.641826307290278, 7.148112352508293, 8.045812702320154, 7.290614598543103, 6.965483413494964, 3.7818578740602926, 6.357672530100933, 6.8333217189216064, 7.534654630980989, 5.791654798597932, 5.544808198592957, 4.377866407933697, 7.032751370319776, 7.541477146489301, 6.169344886333606, 4.515008983650971, 4.378099485169429, 4.255320798957562, 5.294741326475328, 5.232902187708313, 4.785565029655457, 4.204759208325727, 3.837569383804051, 3.9221505970733013, 5.782309403760432, 5.879782031223086, 4.4885796126141635, 4.290473547908916, 3.7508638460808914, 3.7701296464472422, 5.335441760108547]",50,0.8,B,2,60
0.055,"[4.36, 9.54, 15.72, 21.44, 8.82, 16.0, 21.04, 25.38, 29.64, 29.36, 11.14, 19.1, 24.54, 28.14, 30.7, 30.8, 11.4, 21.46, 26.04, 27.22, 31.2, 30.82, 12.64, 21.38, 26.48, 29.36, 31.3, 32.64, 11.4, 21.54, 26.74, 28.8, 30.5, 28.7, 11.14, 21.04]","[2.145331904296359, 4.051756988502339, 5.728696115493775, 5.451680137951109, 5.561126005493815, 8.216459339741945, 7.969226526368254, 7.153962795085628, 6.314091787584403, 4.202817325245977, 5.529180475865649, 7.775550377527586, 7.163427523019341, 5.398450268931118, 4.695851403969601, 3.45229884959845, 4.620274751084637, 5.62868020199465, 5.409590878189196, 4.413754013285733, 4.481253468959465, 4.028926022894835, 5.141904673705006, 5.554516456112493, 6.034729420916358, 4.881284541543363, 3.897932471326358, 3.4861826383244905, 4.261838254336085, 6.3413447360338715, 6.33039315927695, 4.6379094516422645, 3.6770107646382146, 3.1314728881118534, 4.458470498239668, 7.317744717814501]",50,0.8,B,2,60
0.06,"[5.32, 13.24, 20.94, 27.5, 10.26, 20.22, 25.78, 29.6, 33.38, 32.26, 14.06, 24.38, 28.6, 33.72, 34.16, 33.12, 13.62, 25.32, 30.12, 31.66, 34.32, 32.42, 14.34, 25.44, 30.4, 32.96, 35.42, 34.42, 14.4, 25.42, 31.74, 31.3, 34.1, 31.24, 13.82, 25.94]","[2.944659642159559, 6.345687914012224, 6.680492466265997, 6.22781777878209, 5.0216266979811985, 7.415620578982488, 6.831171053280957, 4.59813626840888, 3.398018630355769, 3.1286040441874596, 4.987371807978668, 6.432982613541128, 4.444671196029727, 3.736417579250291, 2.7874353657739483, 3.2865837358967793, 4.3041982353255515, 5.786825290154828, 5.297823966074205, 3.5834654302498743, 3.126189569506269, 3.464631794200902, 5.316934823595955, 5.9010894877858915, 5.194188275056528, 3.9068751540569817, 2.9352884640775834, 3.0578770813912652, 5.495824017620384, 5.624617900854443, 6.087156100163286, 4.338955013853554, 3.370036032024414, 3.1204395294802394, 4.605630981167931, 6.125923503889858]",50,0.8,B,2,60
0.02,"[0.22, 0.38, 0.34, 0.42, 0.04, 0.08, 0.08, 0.26, 0.12, 0.2, 0.0, 0.02, 0.1, 0.12, 0.06, 0.14, 0.02, 0.08, 0.08, 0.02, 0.02, 0.04, 0.04, 0.02, 0.02, 0.06, 0.1, 0.1, 0.0, 0.06, 0.04, 0.02, 0.12, 0.1, 0.04, 0.08]","[0.4646701704940171, 0.6353530273696311, 0.5928141120356123, 0.758354825142114, 0.1979486637221575, 0.2740475156178698, 0.2740475156178698, 0.5996597674804388, 0.5938459911664716, 0.49487165930539334, 0.0, 0.14142135623730948, 0.36421567954234163, 0.38544964466377274, 0.2398979374820953, 0.49528388066742063, 0.1414213562373094, 0.44446711960297214, 0.2740475156178698, 0.1414213562373094, 0.1414213562373094, 0.1979486637221575, 0.19794866372215744, 0.14142135623730945, 0.14142135623730936, 0.23989793748209526, 0.3030457633656631, 0.36421567954234163, 0.0, 0.23989793748209526, 0.19794866372215753, 0.14142135623730934, 0.3282607226593161, 0.3030457633656631, 0.19794866372215741, 0.3404678653660854]",50,0.9,B,2,60
