beta,mean,std,n_iter,isolation_time,avg_isolation_delay,data_type,init_env,tau0
0.02,"[0.18, 0.34, 0.5, 0.58, 0.04, 0.1, 0.06, 0.1, 0.2, 0.3, 0.02, 0.06, 0.04, 0.1, 0.06, 0.1, 0.08, 0.06, 0.02, 0.08, 0.14, 0.24, 0.02, 0.04, 0.04, 0.02, 0.06, 0.06, 0.12, 0.08, 0.04, 0.04, 0.06, 0.08, 0.04, 0.04]","[0.4375255094603873, 0.5194188275056527, 0.762648446573665, 0.8592830423898609, 0.1979486637221575, 0.3030457633656632, 0.2398979374820953, 0.30304576336566313, 0.4517539514526255, 0.5802884574739972, 0.1414213562373094, 0.31363569143000175, 0.19794866372215744, 0.3642156795423417, 0.23989793748209526, 0.3030457633656631, 0.27404751561786983, 0.23989793748209529, 0.1414213562373094, 0.2740475156178697, 0.40456577881446554, 0.5174505793221386, 0.14142135623730945, 0.1979486637221575, 0.1979486637221575, 0.14142135623730948, 0.23989793748209526, 0.23989793748209529, 0.3282607226593161, 0.34046786536608536, 0.19794866372215744, 0.19794866372215753, 0.31363569143000214, 0.27404751561786966, 0.19794866372215744, 0.19794866372215747]",50,6.0,3.0,B,2,60
0.025,"[0.3, 0.72, 0.7, 1.02, 0.06, 0.02, 0.14, 0.16, 0.2, 0.24, 0.0, 0.0, 0.0, 0.06, 0.1, 0.08, 0.06, 0.1, 0.02, 0.06, 0.24, 0.18, 0.04, 0.1, 0.18, 0.26, 0.14, 0.26, 0.12, 0.24, 0.2, 0.46, 0.44, 0.5, 0.06, 0.18]","[0.5439837932759933, 0.8815570640309435, 0.8390957231764807, 0.9997958975384392, 0.23989793748209526, 0.14142135623730942, 0.4952838806674206, 0.3703280399090204, 0.4948716593053933, 0.47638091430094504, 0.0, 0.0, 0.0, 0.23989793748209526, 0.3030457633656632, 0.3404678653660853, 0.23989793748209526, 0.3642156795423417, 0.14142135623730948, 0.23989793748209523, 0.6869037302955034, 0.5602477586036455, 0.19794866372215747, 0.36421567954234163, 0.4375255094603875, 0.9216223495022462, 0.49528388066742085, 0.7774894185250154, 0.3282607226593161, 0.5174505793221382, 0.5345224838248486, 1.0538558938004556, 0.9293403409880348, 0.9313146293146641, 0.2398979374820953, 0.48191793695522916]",50,6.0,3.0,B,2,60
0.03,"[0.68, 1.12, 1.0, 1.38, 0.18, 0.18, 0.34, 0.58, 0.46, 0.54, 0.12, 0.18, 0.28, 0.36, 0.48, 0.42, 0.08, 0.3, 0.2, 0.62, 0.34, 0.48, 0.34, 0.34, 0.42, 0.4, 0.56, 0.76, 0.2, 0.14, 0.18, 0.42, 0.4, 0.54, 0.16, 0.26]","[0.8191583535332256, 1.0621503025966343, 0.8571428571428572, 1.2270755012281378, 0.48191793695522894, 0.3880879344916036, 0.7174216873994127, 1.1082252773268269, 0.9521190115972361, 0.8381222939355789, 0.38544964466377274, 0.3880879344916036, 0.607436903584837, 0.6928203230275509, 1.0736168130317685, 0.8103916916390196, 0.3404678653660855, 0.8630747123996129, 0.5714285714285711, 1.1933489148832628, 0.7722218143851189, 0.838852471765897, 0.6883876458946722, 0.7174216873994127, 1.031938931906183, 1.1065666703449761, 1.1807987611298183, 1.4646863563401482, 0.5714285714285714, 0.35050983275386544, 0.6288960200872896, 0.7309485031694876, 0.7559289460184544, 0.9082389328715619, 0.42185208743523994, 0.5272183453498838]",50,6.0,3.0,B,2,60
0.035,"[0.72, 1.48, 1.68, 2.28, 0.32, 0.44, 0.8, 0.94, 1.3, 1.46, 0.22, 0.24, 0.34, 0.66, 1.18, 1.06, 0.22, 0.38, 0.54, 0.82, 1.04, 1.3, 0.38, 0.62, 0.96, 0.84, 1.3, 1.12, 0.36, 0.32, 0.66, 0.74, 1.02, 1.34, 0.56, 0.66]","[0.7835033829029763, 1.2328828005937953, 1.2195683411664604, 1.7384017994487153, 0.6833291853200797, 0.7045044574821687, 1.124858267715973, 1.28428491975186, 1.8653664081715138, 1.7167838940226319, 0.615778916064352, 0.5554920598635313, 0.6262945776223707, 1.2055991820481224, 1.710591257132923, 1.5307727806968767, 0.5816935163286382, 0.6966391622992348, 1.0343093919941688, 1.2727922061357855, 1.427999885668548, 1.7525491637693278, 0.7795864942652718, 1.066942991419305, 1.4977534196664177, 1.3755889276812252, 1.9717391059774656, 1.6243051889773596, 0.8020382198638971, 0.7125693664765669, 1.171254342443979, 1.4258545593747618, 1.4775876644458186, 1.4653828642288373, 0.8369039151929604, 0.9816687167205419]",50,6.0,3.0,B,2,60
0.04,"[1.12, 2.12, 2.44, 3.58, 0.6, 0.72, 1.22, 1.86, 1.88, 2.66, 0.46, 0.9, 1.24, 1.62, 2.08, 2.18, 0.38, 0.44, 0.94, 1.26, 1.76, 2.06, 0.64, 0.94, 1.34, 1.66, 2.28, 2.72, 0.52, 0.88, 1.32, 1.72, 1.86, 2.92, 0.44, 0.66]","[0.9822921964383475, 1.6243051889773594, 1.5928411274018688, 1.9906926289252047, 0.9258200997725513, 1.0887176504718656, 1.9721530759811827, 2.3124331209303133, 2.4213337528843777, 2.7226187873487704, 0.9521190115972361, 1.6319513798279808, 1.7090395918557917, 2.3723750262777012, 2.9681300373075543, 2.8904487329048107, 0.7253429871306348, 1.0133798771981835, 1.7660055238317018, 1.893167090526629, 2.326072278519728, 2.510467880613459, 1.0644534862969801, 1.4344166132641396, 1.933696892863354, 2.134364121719073, 2.5317574762143678, 3.057543364953541, 0.7351245903010628, 1.2394863979133635, 1.8674439586706508, 2.2591311315166633, 2.1853874638944317, 2.9749978562846, 0.6749149606295839, 1.2055991820481224]",50,6.0,3.0,B,2,60
0.045,"[1.36, 2.4, 3.18, 4.0, 0.72, 1.22, 1.72, 2.18, 3.2, 4.4, 0.76, 0.92, 1.68, 2.08, 2.38, 3.1, 1.04, 1.94, 2.36, 3.56, 4.58, 5.52, 1.28, 1.98, 2.98, 3.74, 4.76, 6.46, 1.38, 2.76, 3.52, 4.26, 4.78, 6.12, 1.52, 2.18]","[1.1021315155420524, 1.653690986112889, 1.746015872943722, 2.5714285714285716, 1.0887176504718656, 1.568698927943349, 1.9487306177119925, 2.446905584360686, 3.3073819722257785, 3.927922024247863, 1.1528137715332578, 1.5628336378488399, 2.5269163267605395, 2.345990935487125, 3.0765074287548333, 3.494894235064306, 1.470249180602126, 2.0643722176635744, 2.4307553205889385, 2.9634508290718333, 4.319344243502426, 4.082016308499654, 1.4713592216667126, 2.1427619026454083, 2.958833195290167, 3.503991892638091, 4.245333572625023, 5.406760696062828, 1.5103723017176651, 3.2360217450897752, 3.3820655444474723, 4.109769346524529, 4.210240188989174, 5.4272178763664, 1.5938657921121546, 1.9762880067728705]",50,6.0,3.0,B,2,60
0.05,"[1.52, 3.42, 5.0, 6.42, 1.36, 2.04, 3.32, 4.8, 6.46, 7.64, 1.42, 2.32, 3.54, 5.02, 6.46, 7.56, 1.92, 3.12, 4.5, 5.78, 7.82, 9.52, 2.22, 4.2, 5.46, 7.08, 9.12, 10.42, 2.4, 3.5, 5.26, 6.36, 7.96, 9.7, 2.5, 3.54]","[1.2655562623057202, 2.1004372722587736, 2.7330180671012845, 3.405218084657961, 1.6005101227612473, 2.166159019545699, 3.158661561032276, 3.5742845723419436, 4.427234821337728, 4.69372138160791, 2.000918156594056, 3.0401396315945486, 3.704437493447169, 4.808538324306725, 5.859616202518415, 6.341183820462704, 1.9778363771287752, 3.04148191592486, 3.80252332977319, 4.532377850487737, 5.745237601878691, 6.512907122297499, 2.023232410711904, 3.7142857142857144, 4.52751226910969, 5.1778176791354245, 6.173147908647647, 6.03422213169965, 2.321153829895989, 3.5355339059327378, 4.956175286386445, 5.766759072831258, 6.230143969247502, 6.600092763726576, 2.21543748846726, 3.2901212681577063]",50,6.0,3.0,B,2,60
0.055,"[1.84, 3.94, 6.18, 8.4, 1.54, 3.0, 4.82, 5.84, 8.82, 11.02, 2.44, 4.18, 6.28, 9.36, 10.78, 12.42, 2.8, 5.3, 8.52, 9.8, 12.68, 13.66, 3.72, 6.4, 9.26, 11.72, 14.24, 16.56, 4.42, 7.8, 10.02, 12.48, 15.0, 16.62, 4.2, 7.06]","[1.3303367687797503, 2.385414865727271, 3.0618788416291602, 4.179639668093655, 1.820630077075247, 3.083861877846129, 4.82210048228202, 5.650934544346608, 5.791231936897259, 6.241696525000561, 2.572698099312098, 4.069247536118205, 5.314746523800069, 6.915702334218137, 7.522184875827132, 8.72268915658749, 3.0639443699324587, 4.454990322717908, 6.4877907311679355, 7.168525308739644, 7.947377952918221, 8.13310192600434, 3.4168848445354905, 4.989785484735137, 6.802790543863119, 7.516078004613083, 8.87224518900811, 9.806620004791016, 3.32025324827084, 5.1823877563477305, 6.156098685077113, 6.198222259944659, 7.174216873994125, 5.886303715284442, 3.5970509462897633, 5.563767626714979]",50,6.0,3.0,B,2,60
0.06,"[2.9, 5.54, 8.22, 11.28, 2.42, 4.46, 7.0, 9.92, 12.32, 14.96, 3.62, 6.24, 9.02, 12.44, 14.28, 17.8, 4.4, 7.3, 10.44, 12.36, 16.8, 19.12, 5.22, 9.56, 13.02, 16.96, 19.56, 23.96, 5.66, 9.44, 12.9, 16.68, 19.58, 21.14, 5.76, 11.16]","[1.9923322401401937, 3.7428026168329307, 4.816171737394923, 6.128021953389568, 2.696104521682484, 4.390202449890029, 6.2138751916947275, 7.729720009713899, 8.479122018468754, 8.407868035236946, 3.206434856627516, 5.2003139622644365, 6.554294432675731, 7.78580602829303, 8.889434223634625, 9.891245356065008, 3.568570284799085, 5.636071869879675, 6.8158279177280905, 7.249940182722973, 8.692008997243574, 8.082836438896878, 3.3520630260501147, 5.474094837113646, 6.345462785265049, 7.824503635557795, 7.791046666736461, 7.679710878911619, 3.6174745954850316, 5.047367469022534, 6.522332123292298, 6.2480690894818665, 6.177939686943391, 5.8484604637390145, 3.982410304920212, 5.358038020448477]",50,6.0,3.0,B,2,60
0.02,"[0.28, 0.36, 0.36, 0.5, 0.06, 0.1, 0.12, 0.16, 0.2, 0.18, 0.02, 0.02, 0.02, 0.06, 0.06, 0.02, 0.1, 0.06, 0.04, 0.08, 0.04, 0.1, 0.02, 0.04, 0.04, 0.02, 0.06, 0.04, 0.02, 0.06, 0.04, 0.02, 0.08, 0.04, 0.02, 0.0]","[0.5728553615932406, 0.5627918743883488, 0.59795570104161, 0.6468132241526726, 0.2398979374820952, 0.30304576336566297, 0.3854496446637728, 0.5095015571464864, 0.4948716593053931, 0.48191793695522905, 0.14142135623730936, 0.14142135623730948, 0.14142135623730945, 0.23989793748209526, 0.23989793748209529, 0.14142135623730936, 0.3030457633656632, 0.23989793748209523, 0.1979486637221575, 0.44446711960297197, 0.19794866372215753, 0.303045763365663, 0.14142135623730934, 0.19794866372215753, 0.1979486637221575, 0.14142135623730945, 0.23989793748209526, 0.28284271247461895, 0.14142135623730942, 0.2398979374820953, 0.1979486637221575, 0.14142135623730948, 0.34046786536608536, 0.1979486637221575, 0.14142135623730948, 0.0]",50,14.0,7.0,B,2,60
