beta,mean,std,n_iter,cleaningDay,first_clean_day,tau0,data_type,init_env
0.02,"[0.2, 0.0, 0.0, 0.02, 0.02, 0.04, 0.0, 0.04, 0.04, 0.02, 0.02, 0.0, 0.04, 0.0, 0.04, 0.0, 0.12, 0.02, 0.02, 0.04, 0.02, 0.06, 0.08, 0.06, 0.02, 0.02, 0.0, 0.0, 0.06, 0.02, 0.04, 0.0, 0.02, 0.04, 0.04, 0.0]","[0.4040610178208843, 0.0, 0.0, 0.14142135623730948, 0.14142135623730948, 0.19794866372215747, 0.0, 0.1979486637221575, 0.1979486637221575, 0.14142135623730942, 0.1414213562373094, 0.0, 0.1979486637221575, 0.0, 0.2828427124746188, 0.0, 0.38544964466377274, 0.1414213562373094, 0.14142135623730945, 0.1979486637221575, 0.14142135623730936, 0.23989793748209529, 0.3404678653660855, 0.23989793748209529, 0.14142135623730948, 0.1414213562373095, 0.0, 0.0, 0.2398979374820953, 0.14142135623730942, 0.1979486637221575, 0.0, 0.14142135623730942, 0.1979486637221575, 0.1979486637221575, 0.0]",50,60.0,20,40.0,B,2
0.025,"[0.14, 0.12, 0.08, 0.0, 0.0, 0.0, 0.0, 0.02, 0.0, 0.06, 0.0, 0.04, 0.06, 0.0, 0.0, 0.04, 0.12, 0.0, 0.06, 0.14, 0.08, 0.02, 0.04, 0.1, 0.02, 0.02, 0.06, 0.06, 0.04, 0.04, 0.06, 0.1, 0.0, 0.0, 0.02, 0.06]","[0.40456577881446554, 0.3854496446637727, 0.27404751561786983, 0.0, 0.0, 0.0, 0.0, 0.14142135623730942, 0.0, 0.2398979374820953, 0.0, 0.19794866372215741, 0.23989793748209529, 0.0, 0.0, 0.1979486637221575, 0.3854496446637728, 0.0, 0.23989793748209529, 0.35050983275386555, 0.34046786536608553, 0.14142135623730942, 0.19794866372215744, 0.303045763365663, 0.1414213562373095, 0.14142135623730942, 0.23989793748209526, 0.31363569143000214, 0.1979486637221575, 0.19794866372215747, 0.2398979374820953, 0.4164965639175213, 0.0, 0.0, 0.14142135623730945, 0.2398979374820953]",50,60.0,20,40.0,B,2
0.03,"[0.3, 0.18, 0.26, 0.08, 0.08, 0.04, 0.08, 0.18, 0.16, 0.12, 0.1, 0.0, 0.04, 0.0, 0.0, 0.14, 0.18, 0.08, 0.04, 0.06, 0.18, 0.08, 0.12, 0.02, 0.14, 0.08, 0.08, 0.0, 0.06, 0.08, 0.1, 0.04, 0.08, 0.08, 0.32, 0.1]","[0.5050762722761053, 0.3880879344916036, 0.5996597674804389, 0.34046786536608536, 0.34046786536608525, 0.1979486637221575, 0.2740475156178699, 0.3880879344916036, 0.37032803990902047, 0.32826072265931605, 0.303045763365663, 0.0, 0.19794866372215747, 0.0, 0.0, 0.4045657788144656, 0.38808793449160356, 0.2740475156178698, 0.19794866372215744, 0.23989793748209526, 0.5225526045191968, 0.3404678653660854, 0.328260722659316, 0.14142135623730942, 0.35050983275386566, 0.27404751561786966, 0.3404678653660854, 0.0, 0.23989793748209526, 0.3404678653660854, 0.3642156795423417, 0.1979486637221575, 0.27404751561786983, 0.2740475156178698, 0.6527805519311918, 0.303045763365663]",50,60.0,20,40.0,B,2
0.035,"[0.42, 0.22, 0.28, 0.04, 0.0, 0.14, 0.08, 0.14, 0.1, 0.14, 0.14, 0.02, 0.18, 0.06, 0.16, 0.16, 0.24, 0.18, 0.06, 0.16, 0.1, 0.14, 0.24, 0.04, 0.18, 0.08, 0.24, 0.0, 0.16, 0.12, 0.08, 0.3, 0.22, 0.32, 0.58, 0.28]","[0.64174506986332, 0.46467017049401715, 0.6074369035848369, 0.1979486637221575, 0.0, 0.4045657788144654, 0.2740475156178699, 0.45220547975269787, 0.3030457633656631, 0.4045657788144653, 0.4522054797526974, 0.14142135623730936, 0.522552604519197, 0.23989793748209529, 0.5480950312357399, 0.5480950312357398, 0.6869037302955036, 0.5602477586036454, 0.4242640687119288, 0.37032803990902047, 0.3030457633656632, 0.4045657788144656, 0.43141911058689997, 0.19794866372215747, 0.5602477586036455, 0.3404678653660854, 0.656521445318632, 0.0, 0.37032803990902047, 0.328260722659316, 0.27404751561786966, 0.7354021529276428, 0.6157789160643519, 0.652780551931192, 1.089654504315707, 0.8815570640309437]",50,60.0,20,40.0,B,2
0.04,"[0.68, 0.24, 0.48, 0.1, 0.04, 0.2, 0.18, 0.38, 0.32, 0.3, 0.24, 0.1, 0.36, 0.22, 0.22, 0.18, 0.34, 0.16, 0.26, 0.18, 0.22, 0.46, 0.4, 0.32, 0.26, 0.14, 0.24, 0.02, 0.08, 0.28, 0.14, 0.22, 0.36, 0.36, 0.48, 0.36]","[0.6833291853200798, 0.5174505793221383, 1.1109841197270618, 0.3030457633656631, 0.19794866372215744, 0.5714285714285711, 0.38808793449160356, 0.696639162299235, 0.76771593385968, 0.5802884574739972, 0.6869037302955036, 0.303045763365663, 0.8514093957572199, 0.7082603003566027, 0.5066899385990914, 0.43752550946038726, 0.6580738746446301, 0.4677344441069971, 0.5996597674804388, 0.5602477586036455, 0.7082603003566023, 0.9521190115972361, 0.857142857142857, 0.7677159338596801, 0.6642473107178667, 0.3505098327538655, 0.5910903104450633, 0.14142135623730942, 0.2740475156178699, 0.6074369035848367, 0.3505098327538655, 0.545482374058194, 0.8270922757788646, 0.662709343128183, 0.8141603913585718, 0.9424241429983236]",50,60.0,20,40.0,B,2
0.045,"[0.8, 0.52, 0.44, 0.12, 0.16, 0.34, 0.4, 0.42, 0.66, 0.42, 0.42, 0.22, 0.4, 0.08, 0.08, 0.18, 0.36, 0.22, 0.34, 0.44, 0.54, 0.38, 0.54, 0.24, 0.48, 0.28, 0.22, 0.02, 0.14, 0.24, 0.4, 0.26, 0.6, 0.66, 0.84, 0.32]","[0.9035079029052513, 0.8628382211738003, 0.7329003050503236, 0.38544964466377274, 0.5480950312357398, 0.7174216873994127, 0.9258200997725506, 0.8103916916390191, 1.0615737258948172, 0.7583548251421144, 0.8103916916390196, 0.615778916064352, 0.8806305718527105, 0.34046786536608553, 0.44446711960297214, 0.4375255094603874, 0.8270922757788647, 0.7899883750113424, 1.022402133433308, 0.929340340988034, 0.930437685024788, 0.7253429871306346, 0.9304376850247881, 0.6246631745450132, 1.232882800593796, 0.6401530429259447, 0.6788345354580988, 0.14142135623730942, 0.40456577881446565, 0.7439552323595165, 1.1248582677159726, 0.6327781311528596, 1.2289036095775179, 0.8715456595811227, 1.166890163237836, 0.6833291853200798]",50,60.0,20,40.0,B,2
0.05,"[1.0, 0.68, 0.86, 0.22, 0.24, 0.18, 0.4, 0.62, 0.74, 0.78, 0.96, 0.54, 0.78, 0.34, 0.52, 0.58, 0.74, 0.5, 0.64, 0.66, 0.76, 0.7, 0.88, 0.44, 0.62, 0.3, 0.62, 0.12, 0.52, 0.36, 0.62, 0.36, 0.66, 0.7, 1.28, 0.86]","[0.8081220356417685, 1.096190062471479, 1.125039681839839, 0.5816935163286383, 0.6869037302955036, 0.4819179369552289, 0.857142857142857, 0.8545197959278958, 1.1030569767140552, 1.0554039752722217, 1.6531972733130782, 1.0730463976122242, 1.074566832519514, 0.6580738746446301, 1.1471348514219852, 1.9387561760582686, 1.5754494013856908, 1.0926470386270253, 1.1385633625812157, 1.022402133433308, 1.2707060547392621, 1.199489687410476, 1.3036839481771236, 1.072095030816784, 1.066942991419305, 0.8144110179279557, 1.158641005485235, 0.4351870346207948, 0.9946797248873835, 0.9638358739104573, 1.1761229978715868, 0.662709343128183, 1.1536985776897126, 1.1649647450214353, 1.6664761795905925, 1.4984345572793554]",50,60.0,20,40.0,B,2
0.055,"[1.28, 0.76, 0.7, 0.16, 0.16, 0.56, 0.76, 0.58, 0.96, 0.96, 0.94, 0.76, 0.86, 0.36, 0.82, 1.02, 1.7, 0.88, 1.16, 1.26, 1.28, 0.7, 1.18, 1.08, 1.34, 0.86, 1.26, 0.46, 0.98, 0.52, 0.62, 0.48, 0.58, 1.06, 1.82, 1.24]","[1.050558646334299, 1.3024310080047403, 0.9741558354989901, 0.5841442371503113, 0.5841442371503113, 0.9722685444099174, 1.3785529236359797, 0.8351951989853412, 1.5902765771515135, 1.4136362144974832, 1.608776947033405, 1.492293126537211, 1.3998542198152968, 1.1563489339913182, 2.273987776608148, 1.6097914683053123, 2.0627898683133776, 1.3192453006417368, 1.9204591287778354, 1.9252352095899603, 1.8739895236350381, 1.3739560044050954, 1.4525136551397186, 2.1650281611968727, 2.2552433236747635, 1.937913879428503, 2.553988477432337, 1.0343093919941684, 1.6473850645858141, 0.9089127840335351, 1.1933489148832628, 0.838852471765897, 1.1967643452071854, 1.5702593052468388, 2.0070284664912257, 1.8796439089598314]",50,60.0,20,40.0,B,2
0.06,"[1.42, 0.88, 1.04, 0.5, 0.82, 0.68, 1.42, 1.72, 2.1, 1.8, 2.28, 0.82, 1.28, 0.58, 0.96, 1.1, 1.46, 0.98, 1.4, 1.42, 1.92, 1.2, 2.08, 1.26, 1.54, 0.84, 1.32, 0.68, 1.28, 1.34, 1.62, 1.62, 2.04, 1.82, 2.34, 1.4]","[1.1621584422521565, 1.3036839481771239, 1.5512996526283682, 1.417816660091372, 2.0171711855558363, 1.4348433747988258, 2.313139045733732, 2.330279829040421, 2.6127630225959835, 2.276768207215604, 2.755625044841025, 1.42413597149504, 1.6040764397277942, 1.3107094199987535, 2.3901157003845004, 1.98206241793023, 2.4092508785758207, 1.7784423361068364, 2.040408122440815, 1.874533955686162, 2.4145815541481825, 1.8294640678379568, 2.2024105532116303, 1.7821106495801378, 2.1496084123697066, 1.2348675877128175, 1.8454577442234454, 1.9213090775376493, 2.2949812146312225, 2.1628590300048387, 2.8989090136442286, 2.7692922546811007, 3.31945409822219, 2.1062588944885774, 2.4793843870556875, 2.4159335036125373]",50,60.0,20,40.0,B,2
0.02,"[0.14, 0.1, 0.1, 0.02, 0.0, 0.02, 0.02, 0.06, 0.06, 0.06, 0.0, 0.0, 0.02, 0.02, 0.04, 0.1, 0.0, 0.06, 0.12, 0.04, 0.06, 0.04, 0.04, 0.06, 0.08, 0.0, 0.02, 0.0, 0.02, 0.06, 0.02, 0.0, 0.02, 0.1, 0.0, 0.0]","[0.3505098327538655, 0.3030457633656632, 0.30304576336566313, 0.14142135623730942, 0.0, 0.14142135623730942, 0.14142135623730945, 0.2398979374820953, 0.3136356914300021, 0.3136356914300021, 0.0, 0.0, 0.14142135623730945, 0.14142135623730936, 0.28284271247461873, 0.3642156795423415, 0.0, 0.2398979374820953, 0.3854496446637728, 0.1979486637221575, 0.2398979374820953, 0.1979486637221575, 0.19794866372215744, 0.31363569143000186, 0.34046786536608553, 0.0, 0.14142135623730942, 0.0, 0.14142135623730942, 0.2398979374820953, 0.1414213562373095, 0.0, 0.1414213562373094, 0.3642156795423416, 0.0, 0.0]",50,90.0,20,70.0,B,2
