day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_patients,move2isol,daily_discharges,daily_admissions,prob_transmission,iteration
0,30,2,28,16,0,2,19,0,30,2,30,0,0,0,0,2,30,0,0,0,0.04,1
1,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,31,0,1,1,0.04,1
2,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,34,0,3,3,0.04,1
3,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,35,0,1,1,0.04,1
4,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,36,0,1,1,0.04,1
5,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,40,0,4,4,0.04,1
6,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,40,0,0,0,0.04,1
7,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,41,0,1,1,0.04,1
8,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,45,0,4,4,0.04,1
9,30,2,28,16,2,2,19,0,30,2,30,30,2,0,0,2,45,0,0,0,0.04,1
10,30,1,29,16,1,1,19,0,30,2,30,30,1,0,0,2,46,0,1,1,0.04,1
11,30,1,29,16,1,1,19,0,30,2,30,30,1,0,0,2,46,0,0,0,0.04,1
12,30,1,29,16,1,1,19,0,30,2,30,30,1,0,0,2,47,0,1,1,0.04,1
13,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,49,0,2,2,0.04,1
14,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,49,0,0,0,0.04,1
15,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,50,0,1,1,0.04,1
16,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,53,0,3,3,0.04,1
17,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,55,0,2,2,0.04,1
18,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,56,0,1,1,0.04,1
19,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,60,0,4,4,0.04,1
20,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,60,0,0,0,0.04,1
21,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,61,0,1,1,0.04,1
22,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,65,0,4,4,0.04,1
23,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,67,0,2,2,0.04,1
24,30,0,30,16,0,0,19,0,30,2,30,30,0,0,0,2,69,0,2,2,0.04,1
