prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_patients,move2isol
0.04308,1,28,3,25,16,3,0,19,0,30,9,30,28,3,0,0,120,2310,33
0.04308,2,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,22,2400,8
0.04308,3,29,0,29,15,0,0,19,0,30,0,30,29,0,1,0,20,2409,5
0.04308,4,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,60,2364,11
0.04308,5,29,0,29,15,0,0,19,0,30,0,30,29,0,1,0,53,2357,21
0.04308,6,30,0,30,16,0,0,19,0,30,1,30,30,0,0,0,18,2400,4
0.04308,7,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,50,2374,22
0.04308,8,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,23,2393,9
0.04308,9,29,0,29,15,0,0,19,0,30,0,30,29,0,1,0,88,2330,41
0.04308,10,28,0,28,15,0,0,19,0,30,0,30,28,0,1,0,46,2371,23
