prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_patients,move2isol
0.05,1,30,1,29,16,1,0,19,0,30,6,30,30,1,0,1,111,2313,49
0.05,2,29,0,29,16,0,0,19,0,30,0,30,29,0,0,0,41,2381,16
0.05,3,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,70,2355,29
0.05,4,29,0,29,16,0,0,19,0,30,0,30,29,0,0,0,98,2330,31
0.05,5,29,0,29,16,0,0,19,0,30,0,30,29,0,0,0,48,2372,22
0.05,6,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,138,2276,62
0.05,7,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,57,2366,22
0.05,8,30,3,27,15,3,0,19,0,30,3,30,30,3,0,1,149,2275,67
0.05,9,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,53,2374,21
0.05,10,28,0,28,16,0,0,19,0,30,0,30,28,0,0,0,47,2385,21
0.06,1,29,10,19,15,10,0,19,0,30,26,30,29,10,1,1,283,2147,102
0.06,2,30,7,23,16,7,0,19,0,30,14,30,30,7,0,0,216,2221,94
0.06,3,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,26,2390,13
0.06,4,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,47,2379,19
0.06,5,30,8,22,16,8,0,19,0,30,11,30,30,8,0,0,155,2265,59
0.06,6,29,6,23,15,6,0,19,0,30,11,30,29,6,1,0,146,2274,47
0.06,7,30,6,24,17,6,0,19,0,30,15,30,30,6,0,0,176,2251,66
0.06,8,30,0,30,16,0,0,19,0,30,0,30,30,0,0,0,30,2383,9
0.06,9,29,7,22,16,7,0,19,0,30,12,30,29,7,0,1,292,2141,114
0.06,10,30,8,22,14,8,0,19,1,30,18,30,30,8,0,0,177,2252,70
