prob_transmission,iteration,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol
0.1,1,30,28,2,13,28,0,19,0,30,30,30,30,28,0,0,298,291,491,31
0.1,2,30,28,2,13,28,0,19,0,30,30,30,30,28,0,1,361,354,589,157
0.1,3,30,27,3,14,27,0,19,0,30,30,30,30,27,0,0,318,311,473,35
0.1,4,30,29,1,16,29,0,19,0,30,30,30,30,29,0,1,216,209,333,12
0.1,5,30,27,3,12,27,0,19,0,30,30,30,30,27,0,1,267,260,443,39
0.1,6,30,29,1,13,29,0,19,1,30,30,30,30,29,0,2,280,273,430,37
0.1,7,30,27,3,15,27,0,19,0,30,30,30,30,27,0,0,247,240,380,101
0.1,8,30,29,1,15,29,0,19,0,30,30,30,30,29,0,2,357,350,594,144
0.1,9,30,29,1,15,29,0,19,0,30,30,30,30,29,0,0,319,312,472,129
0.1,10,30,26,4,14,26,0,19,0,30,30,30,30,26,0,0,321,314,467,159
