prob_transmission,day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_patients,move2isol,daily_discharges,daily_admissions,iteration
0.04,0,30.0,2.0,28.0,16.0,0.0,2.0,19.0,0.0,30.0,2.0,30.0,0.0,0.0,0.0,0.0,2.0,30.0,0.0,0.0,0.0,1.0
0.04,1,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,31.0,0.0,1.0,1.0,1.0
0.04,2,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,34.0,0.0,3.0,3.0,1.0
0.04,3,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,35.0,0.0,1.0,1.0,1.0
0.04,4,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,36.0,0.0,1.0,1.0,1.0
0.04,5,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,40.0,0.0,4.0,4.0,1.0
0.04,6,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,40.0,0.0,0.0,0.0,1.0
0.04,7,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,41.0,0.0,1.0,1.0,1.0
0.04,8,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,45.0,0.0,4.0,4.0,1.0
0.04,9,30.0,2.0,28.0,16.0,2.0,2.0,19.0,0.0,30.0,2.0,30.0,30.0,2.0,0.0,0.0,2.0,45.0,0.0,0.0,0.0,1.0
0.04,10,30.0,1.0,29.0,16.0,1.0,1.0,19.0,0.0,30.0,2.0,30.0,30.0,1.0,0.0,0.0,2.0,46.0,0.0,1.0,1.0,1.0
0.04,11,30.0,1.0,29.0,16.0,1.0,1.0,19.0,0.0,30.0,2.0,30.0,30.0,1.0,0.0,0.0,2.0,46.0,0.0,0.0,0.0,1.0
0.04,12,30.0,1.0,29.0,16.0,1.0,1.0,19.0,0.0,30.0,2.0,30.0,30.0,1.0,0.0,0.0,2.0,47.0,0.0,1.0,1.0,1.0
0.04,13,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,49.0,0.0,2.0,2.0,1.0
0.04,14,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,49.0,0.0,0.0,0.0,1.0
0.04,15,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,50.0,0.0,1.0,1.0,1.0
0.04,16,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,53.0,0.0,3.0,3.0,1.0
0.04,17,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,55.0,0.0,2.0,2.0,1.0
0.04,18,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,56.0,0.0,1.0,1.0,1.0
0.04,19,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,60.0,0.0,4.0,4.0,1.0
0.04,20,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,60.0,0.0,0.0,0.0,1.0
0.04,21,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,61.0,0.0,1.0,1.0,1.0
0.04,22,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,65.0,0.0,4.0,4.0,1.0
0.04,23,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,67.0,0.0,2.0,2.0,1.0
0.04,24,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,69.0,0.0,2.0,2.0,1.0
0.04,25,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,69.0,0.0,0.0,0.0,1.0
0.04,26,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,2.0,30.0,30.0,0.0,0.0,0.0,2.0,70.0,0.0,1.0,1.0,1.0
