prob_transmission,day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_patients,move2isol,daily_discharges,daily_admissions,iteration
0.04308,0,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.5
0.04308,1,30.0,0.4,29.6,16.0,0.4,0.0,19.0,0.0,30.0,10.1,30.0,30.0,0.4,0.0,0.4,0.4,31.6,0.0,1.6,1.6,5.5
0.04308,2,30.0,0.7,29.3,16.0,0.7,0.0,19.0,0.0,30.0,10.1,30.0,30.0,0.7,0.0,0.3,0.7,36.2,0.0,4.6,4.6,5.5
0.04308,3,30.0,0.7,29.3,16.0,0.7,0.0,19.0,0.0,30.0,10.1,30.0,30.0,0.7,0.0,0.0,0.7,39.7,0.0,3.5,3.5,5.5
0.04308,4,30.0,1.3,28.7,16.0,1.3,0.0,19.0,0.1,30.0,10.1,30.0,30.0,1.3,0.0,0.6,1.3,42.2,0.0,2.5,2.5,5.5
0.04308,5,30.0,1.8,28.2,16.0,1.8,0.0,19.0,0.0,30.0,10.1,30.0,30.0,1.8,0.0,0.5,1.8,44.2,0.0,2.0,2.0,5.5
0.04308,6,30.0,2.4,27.6,16.0,2.4,0.0,19.0,0.0,30.0,10.1,30.0,30.0,2.4,0.0,0.6,2.4,46.5,0.0,2.3,2.3,5.5
0.04308,7,30.0,2.5,27.5,16.0,2.5,0.0,19.0,0.0,30.0,10.1,30.0,30.0,2.5,0.0,0.1,2.5,48.3,0.0,1.8,1.8,5.5
0.04308,8,30.0,2.8,27.2,16.0,2.8,0.0,19.0,0.0,30.0,10.1,30.0,30.0,2.8,0.0,0.3,2.8,51.8,0.1,3.5,3.5,5.5
0.04308,9,30.0,2.7,27.3,15.8,2.7,0.0,19.0,0.0,30.0,10.3,30.0,30.0,2.7,0.0,0.1,2.9,56.8,0.4,5.0,5.0,5.5
0.04308,10,30.0,3.0,27.0,15.7,3.0,0.0,19.0,0.1,30.0,10.4,30.0,30.0,3.0,0.0,0.3,3.2,60.7,0.6,3.9,3.9,5.5
0.04308,11,30.0,3.3,26.7,15.7,3.3,0.0,19.0,0.0,30.0,10.4,30.0,30.0,3.3,0.0,0.4,3.6,63.8,0.9,3.1,3.1,5.5
