prob_transmission,day,patients,patient_C,patient_S,patient_isolated,patient_positive,patient_preinfection,hcws,hcw_C,goo,goo_C,beds,filled_beds,filled_sick_beds,empty_isolated_beds,daily_hcw_infections,cumulative_sick_patients,cumulative_sick_patients_by_HCW,cumulative_patients,move2isol,daily_discharges,daily_admissions,iteration
0.05,0,30.0,0.0,30.0,16.0,0.0,0.0,19.0,0.0,30.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,5.5
0.05,1,30.0,0.4,29.6,16.0,0.4,0.0,19.0,0.2,30.0,10.0,30.0,30.0,0.4,0.0,0.4,0.4,0.4,30.0,0.0,0.0,0.0,5.5
0.05,2,30.0,1.1,28.9,16.0,1.1,0.0,19.0,0.1,30.0,10.1,30.0,30.0,1.1,0.0,0.7,1.1,1.1,30.8,0.0,0.8,0.8,5.5
0.05,3,30.0,1.5,28.5,16.0,1.5,0.0,19.0,0.0,30.0,10.1,30.0,30.0,1.5,0.0,0.4,1.5,1.5,30.8,0.0,0.0,0.0,5.5
0.05,4,30.0,1.7,28.3,16.0,1.7,0.0,19.0,0.0,30.0,10.1,30.0,30.0,1.7,0.0,0.2,1.7,1.7,30.8,0.1,0.0,0.0,5.5
0.05,5,30.0,2.0,28.0,16.0,2.0,0.0,19.0,0.1,30.0,10.1,30.0,30.0,2.0,0.0,0.3,2.0,2.0,30.8,0.1,0.0,0.0,5.5
0.05,6,30.0,2.5,27.5,16.0,2.5,0.0,19.0,0.0,30.0,10.1,30.0,30.0,2.5,0.0,0.5,2.5,2.5,30.8,0.2,0.0,0.0,5.5
0.05,7,30.0,2.9,27.1,16.0,2.8,0.0,19.0,0.0,30.0,10.1,30.0,30.0,2.8,0.0,0.4,2.9,2.9,30.8,0.2,0.0,0.0,5.5
0.05,8,30.0,0.3,29.7,16.2,0.3,0.0,19.0,0.1,30.0,10.2,30.0,30.0,0.3,0.0,0.3,3.2,3.2,33.7,0.2,2.9,2.9,5.5
0.05,9,30.0,0.9,29.1,16.2,0.9,0.0,19.0,0.0,30.0,10.2,30.0,30.0,0.9,0.0,0.6,3.8,3.8,34.5,0.2,0.8,0.8,5.5
0.05,10,30.0,1.5,28.5,16.2,1.5,0.0,19.0,0.0,30.0,10.2,30.0,30.0,1.5,0.0,0.6,4.4,4.4,34.5,0.3,0.0,0.0,5.5
0.05,11,30.0,2.0,28.0,16.2,2.0,0.0,19.0,0.0,30.0,10.3,30.0,30.0,2.0,0.0,0.5,4.9,4.9,34.5,0.5,0.0,0.0,5.5
0.05,12,30.0,2.4,27.6,16.2,2.4,0.0,19.0,0.0,30.0,10.5,30.0,30.0,2.4,0.0,0.4,5.3,5.3,34.5,0.8,0.0,0.0,5.5
0.05,13,30.0,2.9,27.1,16.2,2.9,0.0,19.0,0.0,30.0,10.5,30.0,30.0,2.9,0.0,0.5,5.8,5.8,34.5,0.8,0.0,0.0,5.5
0.05,14,30.0,3.3,26.7,16.2,3.3,0.0,19.0,0.0,30.0,10.6,30.0,30.0,3.3,0.0,0.4,6.2,6.2,34.5,0.9,0.0,0.0,5.5
0.05,15,29.9,4.0,25.9,16.1,4.0,0.0,19.0,0.1,30.0,10.8,30.0,29.9,4.0,0.0,0.7,6.9,6.9,36.6,1.1,2.2,2.1,5.5
0.05,16,30.0,4.4,25.6,16.1,4.4,0.0,19.0,0.0,30.0,10.8,30.0,30.0,4.4,0.0,0.4,7.3,7.3,37.5,1.3,0.8,0.9,5.5
0.05,17,30.0,5.1,24.9,16.1,5.1,0.0,19.0,0.0,30.0,10.9,30.0,30.0,5.1,0.0,0.7,8.0,8.0,37.5,1.5,0.0,0.0,5.5
0.05,18,30.0,5.6,24.4,16.1,5.6,0.0,19.0,0.0,30.0,10.9,30.0,30.0,5.6,0.0,0.5,8.5,8.5,37.5,1.7,0.0,0.0,5.5
0.05,19,30.0,6.0,24.0,16.1,6.0,0.0,19.0,0.0,30.0,10.9,30.0,30.0,6.0,0.0,0.4,8.9,8.9,37.5,2.1,0.0,0.0,5.5
0.05,20,30.0,6.4,23.6,16.1,6.4,0.0,19.0,0.0,30.0,11.0,30.0,30.0,6.4,0.0,0.4,9.3,9.3,37.5,2.5,0.0,0.0,5.5
0.05,21,30.0,6.5,23.5,16.1,6.5,0.0,19.0,0.1,30.0,11.0,30.0,30.0,6.5,0.0,0.1,9.4,9.4,37.5,2.8,0.0,0.0,5.5
0.05,22,30.0,6.3,23.7,15.8,6.3,0.0,19.0,0.0,30.0,11.0,30.0,30.0,6.3,0.0,0.5,9.9,9.9,39.5,3.2,2.0,2.0,5.5
0.05,23,30.0,6.5,23.5,15.8,6.5,0.0,19.0,0.0,30.0,11.0,30.0,30.0,6.5,0.0,0.2,10.1,10.1,40.3,3.6,0.8,0.8,5.5
0.05,24,30.0,7.0,23.0,15.8,7.0,0.0,19.0,0.0,30.0,11.2,30.0,30.0,7.0,0.0,0.5,10.6,10.6,40.3,3.8,0.0,0.0,5.5
0.05,25,30.0,7.6,22.4,15.8,7.6,0.0,19.0,0.1,30.0,11.3,30.0,30.0,7.6,0.0,0.6,11.2,11.2,40.3,4.3,0.0,0.0,5.5
0.05,26,30.0,8.0,22.0,15.8,8.0,0.0,19.0,0.1,30.0,11.3,30.0,30.0,8.0,0.0,0.4,11.6,11.6,40.3,4.3,0.0,0.0,5.5
0.05,27,30.0,8.3,21.7,15.8,8.3,0.0,19.0,0.0,30.0,11.3,30.0,30.0,8.3,0.0,0.3,11.9,11.9,40.3,4.8,0.0,0.0,5.5
0.05,28,30.0,8.3,21.7,15.8,8.3,0.0,19.0,0.1,30.0,11.3,30.0,30.0,8.3,0.0,0.0,11.9,11.9,40.3,4.9,0.0,0.0,5.5
0.05,29,30.0,7.5,22.5,16.1,7.5,0.0,19.0,0.0,30.0,11.4,30.0,30.0,7.5,0.0,0.0,11.9,11.9,42.6,4.9,2.3,2.3,5.5
0.05,30,30.0,7.5,22.5,16.2,7.5,0.0,19.0,0.1,30.0,11.5,30.0,30.0,7.5,0.0,0.1,12.0,12.0,43.5,5.2,0.9,0.9,5.5
0.05,31,30.0,7.7,22.3,16.2,7.7,0.0,19.0,0.0,30.0,11.5,30.0,30.0,7.7,0.0,0.2,12.2,12.2,43.5,5.3,0.0,0.0,5.5
0.05,32,30.0,7.9,22.1,16.2,7.9,0.0,19.0,0.1,30.0,11.5,30.0,30.0,7.9,0.0,0.2,12.4,12.4,43.5,5.3,0.0,0.0,5.5
0.05,33,30.0,8.1,21.9,16.2,8.1,0.0,19.0,0.0,30.0,11.5,30.0,30.0,8.1,0.0,0.2,12.6,12.6,43.5,5.7,0.0,0.0,5.5
0.05,34,30.0,8.4,21.6,16.2,8.4,0.0,19.0,0.0,30.0,11.5,30.0,30.0,8.4,0.0,0.3,12.9,12.9,43.5,5.7,0.0,0.0,5.5
0.05,35,30.0,8.7,21.3,16.2,8.7,0.0,19.0,0.0,30.0,11.7,30.0,30.0,8.7,0.0,0.3,13.2,13.2,43.5,5.8,0.0,0.0,5.5
0.05,36,30.0,8.2,21.8,16.4,8.2,0.0,19.0,0.0,30.0,11.7,30.0,30.0,8.2,0.0,0.0,13.2,13.2,45.7,5.8,2.2,2.2,5.5
0.05,37,29.9,8.4,21.5,16.2,8.4,0.0,19.0,0.0,30.0,11.7,30.0,29.9,8.4,0.1,0.2,13.4,13.4,46.4,5.9,0.8,0.7,5.5
0.05,38,30.0,8.5,21.5,16.3,8.5,0.0,19.0,0.0,30.0,11.9,30.0,30.0,8.5,0.0,0.1,13.5,13.5,46.5,5.9,0.0,0.1,5.5
0.05,39,30.0,8.9,21.1,16.3,8.9,0.0,19.0,0.0,30.0,11.9,30.0,30.0,8.9,0.0,0.4,13.9,13.9,46.5,6.0,0.0,0.0,5.5
0.05,40,30.0,8.9,21.1,16.3,8.9,0.0,19.0,0.1,30.0,1.5,30.0,30.0,8.9,0.0,0.0,13.9,13.9,46.5,6.0,0.0,0.0,5.5
0.05,41,30.0,8.9,21.1,16.3,8.9,0.0,19.0,0.0,30.0,1.5,30.0,30.0,8.9,0.0,0.0,13.9,13.9,46.5,6.0,0.0,0.0,5.5
0.05,42,30.0,9.0,21.0,16.3,9.0,0.0,19.0,0.0,30.0,1.5,30.0,30.0,9.0,0.0,0.1,14.0,14.0,46.5,6.2,0.0,0.0,5.5
0.05,43,29.7,8.4,21.3,16.3,8.4,0.0,19.0,0.0,30.0,1.5,30.0,29.7,8.4,0.2,0.0,14.0,14.0,48.5,6.2,2.3,2.0,5.5
0.05,44,29.9,8.4,21.5,16.4,8.4,0.0,19.0,0.0,30.0,1.6,30.0,29.9,8.4,0.1,0.1,14.1,14.1,49.5,6.3,0.8,1.0,5.5
0.05,45,30.0,8.4,21.6,16.5,8.4,0.0,19.0,0.1,30.0,1.8,30.0,30.0,8.4,0.0,0.0,14.1,14.1,49.7,6.5,0.1,0.2,5.5
0.05,46,30.0,8.4,21.6,16.5,8.4,0.0,19.0,0.0,30.0,1.8,30.0,30.0,8.4,0.0,0.0,14.1,14.1,49.7,6.5,0.0,0.0,5.5
0.05,47,30.0,8.5,21.5,16.5,8.5,0.0,19.0,0.0,30.0,1.8,30.0,30.0,8.5,0.0,0.1,14.2,14.2,49.7,6.5,0.0,0.0,5.5
0.05,48,30.0,8.5,21.5,16.5,8.5,0.0,19.0,0.0,30.0,1.8,30.0,30.0,8.5,0.0,0.0,14.2,14.2,49.7,6.6,0.0,0.0,5.5
0.05,49,30.0,8.6,21.4,16.5,8.6,0.0,19.0,0.0,30.0,1.8,30.0,30.0,8.6,0.0,0.1,14.3,14.3,49.7,6.7,0.0,0.0,5.5
0.05,50,29.5,8.1,21.4,16.4,8.1,0.0,19.0,0.0,30.0,1.9,30.0,29.5,8.1,0.4,0.0,14.3,14.3,51.6,6.7,2.4,1.9,5.5
0.05,51,30.0,8.1,21.9,16.7,8.1,0.0,19.0,0.0,30.0,2.0,30.0,30.0,8.1,0.0,0.0,14.3,14.3,53.1,6.7,1.0,1.5,5.5
0.05,52,30.0,8.1,21.9,16.7,8.1,0.0,19.0,0.0,30.0,2.1,30.0,30.0,8.1,0.0,0.0,14.3,14.3,53.3,6.7,0.2,0.2,5.5
0.05,53,30.0,8.1,21.9,16.7,8.1,0.0,19.0,0.0,30.0,2.2,30.0,30.0,8.1,0.0,0.0,14.3,14.3,53.3,6.7,0.0,0.0,5.5
0.05,54,30.0,8.1,21.9,16.7,8.1,0.0,19.0,0.0,30.0,2.2,30.0,30.0,8.1,0.0,0.0,14.3,14.3,53.3,6.7,0.0,0.0,5.5
0.05,55,30.0,8.2,21.8,16.7,8.2,0.0,19.0,0.0,30.0,2.2,30.0,30.0,8.2,0.0,0.1,14.4,14.4,53.3,6.7,0.0,0.0,5.5
0.05,56,30.0,8.3,21.7,16.7,8.3,0.0,19.0,0.0,30.0,2.3,30.0,30.0,8.3,0.0,0.1,14.5,14.5,53.3,6.7,0.0,0.0,5.5
0.05,57,29.5,8.3,21.2,16.2,8.3,0.0,19.0,0.0,30.0,2.6,30.0,29.5,8.3,0.4,0.1,14.6,14.6,54.8,6.7,2.0,1.5,5.5
0.05,58,29.9,8.3,21.6,16.5,8.3,0.0,19.0,0.0,30.0,2.7,30.0,29.9,8.3,0.1,0.0,14.6,14.6,56.6,6.7,1.4,1.8,5.5
0.05,59,30.0,8.3,21.7,16.6,8.3,0.0,19.0,0.0,30.0,2.7,30.0,30.0,8.3,0.0,0.0,14.6,14.6,56.9,6.7,0.2,0.3,5.5
0.05,60,30.0,8.3,21.7,16.6,8.3,0.0,19.0,0.0,30.0,2.7,30.0,30.0,8.3,0.0,0.0,14.6,14.6,56.9,6.7,0.0,0.0,5.5
0.05,61,30.0,8.4,21.6,16.6,8.4,0.0,19.0,0.1,30.0,3.0,30.0,30.0,8.4,0.0,0.1,14.7,14.7,56.9,6.7,0.0,0.0,5.5
0.05,62,30.0,8.4,21.6,16.6,8.4,0.0,19.0,0.0,30.0,3.0,30.0,30.0,8.4,0.0,0.0,14.7,14.7,56.9,6.8,0.0,0.0,5.5
0.05,63,30.0,8.5,21.5,16.6,8.5,0.0,19.0,0.0,30.0,3.0,30.0,30.0,8.5,0.0,0.1,14.8,14.8,56.9,6.8,0.0,0.0,5.5
0.05,64,29.7,9.3,20.4,16.6,9.3,0.8,19.0,0.0,30.0,3.0,30.0,29.7,9.3,0.0,0.0,15.6,14.8,58.1,6.8,1.5,1.2,5.5
0.05,65,29.6,9.4,20.2,16.4,9.4,1.0,19.0,0.0,30.0,3.0,30.0,29.6,9.4,0.2,0.0,15.8,14.8,59.8,6.8,1.8,1.7,5.5
0.05,66,29.9,9.5,20.4,16.5,9.5,1.0,19.0,0.0,30.0,3.1,30.0,29.9,9.5,0.1,0.1,15.9,14.9,60.4,6.8,0.3,0.6,5.5
0.05,67,30.0,9.6,20.4,16.6,9.6,1.0,19.0,0.0,30.0,3.2,30.0,30.0,9.6,0.0,0.1,16.0,15.0,60.5,6.8,0.0,0.1,5.5
0.05,68,30.0,9.6,20.4,16.6,9.6,1.0,19.0,0.0,30.0,3.3,30.0,30.0,9.6,0.0,0.0,16.0,15.0,60.5,6.8,0.0,0.0,5.5
0.05,69,30.0,9.6,20.4,16.6,9.6,1.0,19.0,0.0,30.0,3.5,30.0,30.0,9.6,0.0,0.0,16.0,15.0,60.5,6.8,0.0,0.0,5.5
0.05,70,30.0,9.6,20.4,16.6,9.6,1.0,19.0,0.0,30.0,3.5,30.0,30.0,9.6,0.0,0.0,16.0,15.0,60.5,6.8,0.0,0.0,5.5
0.05,71,29.8,8.8,21.0,16.4,8.8,0.2,19.0,0.1,30.0,3.5,30.0,29.8,8.8,0.2,0.0,16.0,15.0,61.4,7.0,1.1,0.9,5.5
0.05,72,29.8,8.6,21.2,16.5,8.6,0.0,19.0,0.0,30.0,3.7,30.0,29.8,8.6,0.1,0.1,16.1,15.1,63.1,7.0,1.7,1.7,5.5
0.05,73,30.0,8.6,21.4,16.6,8.6,0.0,19.0,0.0,30.0,3.7,30.0,30.0,8.6,0.0,0.0,16.1,15.1,63.9,7.0,0.6,0.8,5.5
0.05,74,30.0,8.6,21.4,16.6,8.6,0.0,19.0,0.0,30.0,3.7,30.0,30.0,8.6,0.0,0.0,16.1,15.1,64.0,7.0,0.1,0.1,5.5
0.05,75,30.0,8.6,21.4,16.6,8.6,0.0,19.0,0.0,30.0,3.8,30.0,30.0,8.6,0.0,0.0,16.1,15.1,64.0,7.0,0.0,0.0,5.5
0.05,76,30.0,8.6,21.4,16.6,8.6,0.0,19.0,0.0,30.0,3.9,30.0,30.0,8.6,0.0,0.0,16.1,15.1,64.0,7.0,0.0,0.0,5.5
0.05,77,30.0,8.6,21.4,16.6,8.6,0.0,19.0,0.0,30.0,4.0,30.0,30.0,8.6,0.0,0.0,16.1,15.1,64.0,7.0,0.0,0.0,5.5
0.05,78,29.7,8.6,21.1,16.5,8.6,0.0,19.0,0.0,30.0,4.0,30.0,29.7,8.6,0.2,0.1,16.2,15.2,64.6,7.0,0.9,0.6,5.5
0.05,79,29.9,8.5,21.4,16.6,8.5,0.0,19.0,0.0,30.0,4.1,30.0,29.9,8.5,0.1,0.0,16.2,15.2,66.5,7.0,1.7,1.9,5.5
0.05,80,30.0,8.5,21.5,16.7,8.5,0.0,19.0,0.0,30.0,4.1,30.0,30.0,8.5,0.0,0.0,16.2,15.2,67.4,7.0,0.8,0.9,5.5
0.05,81,30.0,8.7,21.3,16.7,8.7,0.0,19.0,0.1,30.0,4.2,30.0,30.0,8.7,0.0,0.2,16.4,15.4,67.5,7.0,0.1,0.1,5.5
0.05,82,30.0,8.7,21.3,16.7,8.7,0.0,19.0,0.0,30.0,4.2,30.0,30.0,8.7,0.0,0.0,16.4,15.4,67.5,7.0,0.0,0.0,5.5
0.05,83,30.0,8.7,21.3,16.7,8.7,0.0,19.0,0.0,30.0,4.4,30.0,30.0,8.7,0.0,0.0,16.4,15.4,67.5,7.0,0.0,0.0,5.5
0.05,84,30.0,8.8,21.2,16.7,8.8,0.0,19.0,0.0,30.0,4.4,30.0,30.0,8.8,0.0,0.1,16.5,15.5,67.5,7.0,0.0,0.0,5.5
